"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14","getTables(String, String, String, String, String, String) [12] null, public, null, VIEW, null, tables;columns;views","","Thu Dec 04 00:48:12 UTC 2025","passed","Thu Dec 04 00:48:12 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","4","infFloatAsDoubleUserEngine(String) [1] select 'inf'::float","","Thu Dec 04 00:48:16 UTC 2025","passed","Thu Dec 04 00:48:16 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infFloatAsDoubleUserEngine"
"","5","infRealUserEngine(String) [2] select '+inf'::real","","Thu Dec 04 00:48:16 UTC 2025","passed","Thu Dec 04 00:48:16 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infRealUserEngine"
"","48","integerAndStringValues(PreparedStatementValueSetter) set ARRAY","","Thu Dec 04 00:48:13 UTC 2025","passed","Thu Dec 04 00:48:13 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","integerAndStringValues"
"","45","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) getObject(i, java.util.Map.of(""long"", Integer.class)","","Thu Dec 04 00:48:15 UTC 2025","passed","Thu Dec 04 00:48:15 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertRecordsUsingDifferentNumericTypes"
"","26","mixedCaseSelect(String, String) [1] select 1 as lower, 2 as UPPER, 3 AS MiXeD, lower,upper,mixed","","Thu Dec 04 00:48:27 UTC 2025","passed","Thu Dec 04 00:48:27 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","mixedCaseSelect"
"","30","nullSortOrder()","","Thu Dec 04 00:48:37 UTC 2025","passed","Thu Dec 04 00:48:37 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","nullSortOrder"
"","36","shouldThrowExceptionWhenExecutingWrongQueryWithJsonError()","","Thu Dec 04 00:48:16 UTC 2025","passed","Thu Dec 04 00:48:16 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldThrowExceptionWhenExecutingWrongQueryWithJsonError"
"","58","shouldInsertRecordsInBatch()","","Thu Dec 04 00:48:15 UTC 2025","passed","Thu Dec 04 00:48:16 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertRecordsInBatch"
"","5","cannotConnectToFireboltCoreWithInvalidUrl(String, String) [2] https://172.0.1.280, Invalid URL format. URL must be in the form: <protocol>://<host>:<port>. You must specify the port.","","Thu Dec 04 00:48:01 UTC 2025","passed","Thu Dec 04 00:48:01 UTC 2025","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","cannotConnectToFireboltCoreWithInvalidUrl"
"","60","shouldInsertAndSelectStruct()","","Thu Dec 04 00:48:14 UTC 2025","passed","Thu Dec 04 00:48:14 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertAndSelectStruct"
"","16","getTables(String, String, String, String, String, String) [4] null, null, null, TABLE, integration_test, views;tables","","Thu Dec 04 00:48:12 UTC 2025","passed","Thu Dec 04 00:48:12 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
