"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","92","getSchemasInformationSchema(String, String, String) [9] {database}, %schema, information_schema","","Thu Dec 04 03:53:05 UTC 2025","passed","Thu Dec 04 03:53:05 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getSchemasInformationSchema"
"","90","getTables(String, String, String, String, String, String) [10] {database}, %form%, null, null, tables, null","","Thu Dec 04 03:53:06 UTC 2025","passed","Thu Dec 04 03:53:06 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","844","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) getObject(i, java.util.Map.of(""long"", Integer.class)","","Thu Dec 04 03:51:33 UTC 2025","passed","Thu Dec 04 03:51:34 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertRecordsUsingDifferentNumericTypes"
"","10","shouldSendRequestWithUserAgentHeaderContainingDriverAndClientInfo()","","Thu Dec 04 04:02:08 UTC 2025","passed","Thu Dec 04 04:02:08 UTC 2025","","integration.tests.client.UsageTrackingTest","integration.tests.client.UsageTrackingTest","shouldSendRequestWithUserAgentHeaderContainingDriverAndClientInfo"
"","10784","preparedStatementBatchesWorkIfMergeParameterProvided()","","Thu Dec 04 03:49:12 UTC 2025","passed","Thu Dec 04 03:49:23 UTC 2025","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","preparedStatementBatchesWorkIfMergeParameterProvided"
"","545","shouldSelect1WithQueryTimeout()","","Thu Dec 04 03:52:28 UTC 2025","passed","Thu Dec 04 03:52:29 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldSelect1WithQueryTimeout"
"","537","setCorrectThenWrongParameterOnUserEngine()","","Thu Dec 04 03:52:17 UTC 2025","passed","Thu Dec 04 03:52:17 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","setCorrectThenWrongParameterOnUserEngine"
"","91","getSchemasInformationSchema(String, String, String) [2] null, information_schema, information_schema","","Thu Dec 04 03:53:04 UTC 2025","passed","Thu Dec 04 03:53:04 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getSchemasInformationSchema"
"","86","nanDoubleSystemEngine(String) [3] select '-nan'::double","","Thu Dec 04 03:51:43 UTC 2025","passed","Thu Dec 04 03:51:43 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanDoubleSystemEngine"
"","724","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) int","","Thu Dec 04 03:51:10 UTC 2025","passed","Thu Dec 04 03:51:11 UTC 2025","","integration.tests.PreparedStatementFbNumericTest","integration.tests.PreparedStatementFbNumericTest","shouldInsertRecordsUsingDifferentNumericTypes"
