"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","36","forcePgdateTimestampntzIsNotAKnownSettingForCore()","","Mon Dec 01 00:51:25 UTC 2025","passed","Mon Dec 01 00:51:25 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","forcePgdateTimestampntzIsNotAKnownSettingForCore"
"","29","failingQuery(String) [1] SELECT CONVERT(varchar, 3.14)","","Mon Dec 01 00:51:46 UTC 2025","passed","Mon Dec 01 00:51:46 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","failingQuery"
"","19","getTables(String, String, String, String, String, String) [4] null, null, null, TABLE, integration_test, views;tables","","Mon Dec 01 00:51:21 UTC 2025","passed","Mon Dec 01 00:51:21 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","147","doNotHaveToSpecifyTheDatabaseWhenConnectingToCore()","","Mon Dec 01 00:51:10 UTC 2025","passed","Mon Dec 01 00:51:10 UTC 2025","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","doNotHaveToSpecifyTheDatabaseWhenConnectingToCore"
"","18","shouldReturnTimestampFromTimestampTzWithTzWithHoursAndMinutesAndSeconds()","","Mon Dec 01 00:51:51 UTC 2025","passed","Mon Dec 01 00:51:51 UTC 2025","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldReturnTimestampFromTimestampTzWithTzWithHoursAndMinutesAndSeconds"
"","49","emptyIntegerAndStringValues(PreparedStatementValueSetter) set ARRAY","","Mon Dec 01 00:51:22 UTC 2025","passed","Mon Dec 01 00:51:22 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","emptyIntegerAndStringValues"
"","42","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) long","","Mon Dec 01 00:51:23 UTC 2025","passed","Mon Dec 01 00:51:23 UTC 2025","","integration.tests.PreparedStatementFbNumericTest","integration.tests.PreparedStatementFbNumericTest","shouldInsertRecordsUsingDifferentNumericTypes"
"","4","infDoubleUserEngine(String) [1] select 'inf'::double","","Mon Dec 01 00:51:25 UTC 2025","passed","Mon Dec 01 00:51:25 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infDoubleUserEngine"
"","57","shouldInsertRecordsInBatch()","","Mon Dec 01 00:51:23 UTC 2025","passed","Mon Dec 01 00:51:23 UTC 2025","","integration.tests.PreparedStatementFbNumericTest","integration.tests.PreparedStatementFbNumericTest","shouldInsertRecordsInBatch"
"","22","shouldFetchBoolean()","","Mon Dec 01 00:51:24 UTC 2025","passed","Mon Dec 01 00:51:24 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchBoolean"
"","36","maxFieldSize(int) [4] 50","","Mon Dec 01 00:51:26 UTC 2025","passed","Mon Dec 01 00:51:26 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","maxFieldSize"
"","19","getTables(String, String, String, String, String, String) [3] null, null, null, VIEW;TABLE, integration_test;tables;views, null","","Mon Dec 01 00:51:21 UTC 2025","passed","Mon Dec 01 00:51:21 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","39","shouldFailWhenParameterNotProvided()","","Mon Dec 01 00:51:23 UTC 2025","passed","Mon Dec 01 00:51:23 UTC 2025","","integration.tests.PreparedStatementFbNumericTest","integration.tests.PreparedStatementFbNumericTest","shouldFailWhenParameterNotProvided"
"","72","shouldParReplaceParamMarkersInMultistatementStatement()","","Mon Dec 01 00:51:24 UTC 2025","passed","Mon Dec 01 00:51:24 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldParReplaceParamMarkersInMultistatementStatement"
"","21","empty(String) query:/* {""app"": ""dbt"", ""dbt_version"": ""0.20.0"", ""profile_name"": ""jaffle_shop"", ""target_name"": ""fb_app"", ""connection_name"": ""macro_stage_external_sources""} */;","","Mon Dec 01 00:51:26 UTC 2025","passed","Mon Dec 01 00:51:26 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","empty"
"","46","integerAndStringValues(PreparedStatementValueSetter) set ARRAY","","Mon Dec 01 00:51:22 UTC 2025","passed","Mon Dec 01 00:51:22 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","integerAndStringValues"
"","26","shouldRetryOn502()","","Mon Dec 01 00:51:53 UTC 2025","passed","Mon Dec 01 00:51:53 UTC 2025","","integration.tests.client.RetryPolicyTest","integration.tests.client.RetryPolicyTest","shouldRetryOn502"
"","0","shouldFetchBooleanFromVariousObjects(Object, Object)","","Mon Dec 01 00:51:25 UTC 2025","skipped","Mon Dec 01 00:51:25 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchBooleanFromVariousObjects"
"","27","shouldThrowExceptionWhenExecutingWrongQuery()","","Mon Dec 01 00:51:25 UTC 2025","passed","Mon Dec 01 00:51:25 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldThrowExceptionWhenExecutingWrongQuery"
"","27","cannotChangeToDatabaseThatDoesNotExist()","","Mon Dec 01 00:51:26 UTC 2025","passed","Mon Dec 01 00:51:26 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","cannotChangeToDatabaseThatDoesNotExist"
"","21","empty(String) query:;","","Mon Dec 01 00:51:26 UTC 2025","passed","Mon Dec 01 00:51:26 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","empty"
"","51","mixedCaseTable(String, String, String, String) [2] CREATE FACT TABLE ""Case_Test"" (x long), Case_Test, case_test, ""Case_Test""","","Mon Dec 01 00:51:47 UTC 2025","passed","Mon Dec 01 00:51:47 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","mixedCaseTable"
"","14","getTables(String, String, String, String, String, String) [10] null, public, null, TABLE, integration_test, tables;columns;views","","Mon Dec 01 00:51:21 UTC 2025","passed","Mon Dec 01 00:51:21 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","44","integerAndStringValues(PreparedStatementValueSetter) set OBJECT","","Mon Dec 01 00:51:22 UTC 2025","passed","Mon Dec 01 00:51:22 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","integerAndStringValues"
"","68","intAndStringValues(PreparedStatementValueSetter) set ARRAY","","Mon Dec 01 00:51:22 UTC 2025","passed","Mon Dec 01 00:51:22 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","intAndStringValues"
"","24","empty(String) query:     ;","","Mon Dec 01 00:51:26 UTC 2025","passed","Mon Dec 01 00:51:26 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","empty"
"","4","minusInfDoubleUserEngine(String) [1] select '-inf'::double","","Mon Dec 01 00:51:25 UTC 2025","passed","Mon Dec 01 00:51:25 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","minusInfDoubleUserEngine"
"","4","infDoubleUserEngine(String) [2] select '+inf'::double","","Mon Dec 01 00:51:25 UTC 2025","passed","Mon Dec 01 00:51:25 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infDoubleUserEngine"
"","10092","preparedStatementBatchesWorkIfMergeParameterProvided()","","Mon Dec 01 00:51:11 UTC 2025","passed","Mon Dec 01 00:51:21 UTC 2025","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","preparedStatementBatchesWorkIfMergeParameterProvided"
"","24","shouldGetMultipleResultSets()","","Mon Dec 01 00:51:26 UTC 2025","passed","Mon Dec 01 00:51:26 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldGetMultipleResultSets"
"","46","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) short","","Mon Dec 01 00:51:24 UTC 2025","passed","Mon Dec 01 00:51:24 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertRecordsUsingDifferentNumericTypes"
"","69","preparedStatementUsingStringValueContainsStringNull()","","Mon Dec 01 00:51:21 UTC 2025","passed","Mon Dec 01 00:51:21 UTC 2025","","integration.tests.NullableValuesTest","integration.tests.NullableValuesTest","preparedStatementUsingStringValueContainsStringNull"
"","16","getTables(String, String, String, String, String, String) [11] null, public, null, TABLE;VIEW, integration_test, tables;columns;views","","Mon Dec 01 00:51:21 UTC 2025","passed","Mon Dec 01 00:51:21 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","34","maxFieldSize(int) [3] 5","","Mon Dec 01 00:51:26 UTC 2025","passed","Mon Dec 01 00:51:26 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","maxFieldSize"
"","15","shouldReturnTimestampFromTimestampTzWithTzWithHoursAndMinutes()","","Mon Dec 01 00:51:51 UTC 2025","passed","Mon Dec 01 00:51:51 UTC 2025","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldReturnTimestampFromTimestampTzWithTzWithHoursAndMinutes"
"","4","nanDoubleUserEngine(String) [2] select '+nan'::double","","Mon Dec 01 00:51:25 UTC 2025","passed","Mon Dec 01 00:51:25 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanDoubleUserEngine"
"","18","getTables(String, String, String, String, String, String) [5] null, null, null, VIEW, views;tables, integration_test","","Mon Dec 01 00:51:21 UTC 2025","passed","Mon Dec 01 00:51:21 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","18","getTables(String, String, String, String, String, String) [1] null, null, null, null, tables;views;integration_test, null","","Mon Dec 01 00:51:21 UTC 2025","passed","Mon Dec 01 00:51:21 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","74","connectToNotExistingDbInCore()","","Mon Dec 01 00:51:10 UTC 2025","passed","Mon Dec 01 00:51:10 UTC 2025","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","connectToNotExistingDbInCore"
