"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","72","infFloatUserEngine(String) [1] select 'inf'::float","","Tue Dec 02 05:58:57 UTC 2025","passed","Tue Dec 02 05:58:57 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infFloatUserEngine"
"","1892","unsuccessfulConnectV1(boolean, boolean) using db:false engine:false","","Tue Dec 02 05:57:26 UTC 2025","passed","Tue Dec 02 05:57:28 UTC 2025","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","unsuccessfulConnectV1"
"","1537","maxFieldSize(int) [3] 5","","Tue Dec 02 05:59:44 UTC 2025","passed","Tue Dec 02 05:59:45 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","maxFieldSize"
"","73","nanDoubleUserEngine(String) [3] select '-nan'::double","","Tue Dec 02 05:58:58 UTC 2025","passed","Tue Dec 02 05:58:58 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanDoubleUserEngine"
"","1346","nullSortOrder()","","Tue Dec 02 06:00:18 UTC 2025","passed","Tue Dec 02 06:00:20 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","nullSortOrder"
"","351","shouldReturnTimestampFromTimestamptzWithTime_zoneSettings()","","Tue Dec 02 06:07:22 UTC 2025","passed","Tue Dec 02 06:07:23 UTC 2025","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldReturnTimestampFromTimestamptzWithTime_zoneSettings"
"","670","connectToNotExistingDbV1(EngineType) SYSTEM_ENGINE","","Tue Dec 02 05:57:29 UTC 2025","passed","Tue Dec 02 05:57:29 UTC 2025","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","connectToNotExistingDbV1"
"","220","getTables(String, String, String, String, String, String) [2] null, null, null, TABLE;VIEW, tables;views;integration_test, null","","Tue Dec 02 05:57:33 UTC 2025","passed","Tue Dec 02 05:57:33 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","1522","emptyIntAndStringValues(PreparedStatementValueSetter) set ARRAY","","Tue Dec 02 05:58:03 UTC 2025","passed","Tue Dec 02 05:58:05 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","emptyIntAndStringValues"
"","73","infFloatUserEngine(String) [2] select '+inf'::float","","Tue Dec 02 05:58:58 UTC 2025","passed","Tue Dec 02 05:58:58 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infFloatUserEngine"
"","1926","shouldNotCloseStatementWithCloseOnCompletionIfItHasMoreResults()","","Tue Dec 02 06:00:25 UTC 2025","passed","Tue Dec 02 06:00:27 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldNotCloseStatementWithCloseOnCompletionIfItHasMoreResults"
"","1469","setCorrectThenWrongParameterOnSystemEngine()","","Tue Dec 02 05:59:30 UTC 2025","passed","Tue Dec 02 05:59:31 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","setCorrectThenWrongParameterOnSystemEngine"
"","218","getTables(String, String, String, String, String, String) [3] null, null, null, VIEW;TABLE, integration_test;tables;views, null","","Tue Dec 02 05:57:33 UTC 2025","passed","Tue Dec 02 05:57:33 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","1254","caseInsensitiveGetter()","","Tue Dec 02 05:59:35 UTC 2025","passed","Tue Dec 02 05:59:36 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","caseInsensitiveGetter"
"","1564","shouldSelect1WithQueryTimeout()","","Tue Dec 02 05:59:49 UTC 2025","passed","Tue Dec 02 05:59:50 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldSelect1WithQueryTimeout"
"","221","getTables(String, String, String, String, String, String) [6] null, null, %account%, null, accounts;service_accounts, tables;columns;views","","Tue Dec 02 05:57:33 UTC 2025","passed","Tue Dec 02 05:57:34 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","1962","preparedStatementUsingDefaultNulls()","","Tue Dec 02 05:57:44 UTC 2025","passed","Tue Dec 02 05:57:46 UTC 2025","","integration.tests.NullableValuesTest","integration.tests.NullableValuesTest","preparedStatementUsingDefaultNulls"
"","1189","successfulSettingOfPropertyThatRequiresAdvancedModeConfiguredWhenConnectionIsCreated()","","Tue Dec 02 05:59:28 UTC 2025","passed","Tue Dec 02 05:59:30 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","successfulSettingOfPropertyThatRequiresAdvancedModeConfiguredWhenConnectionIsCreated"
"","364","shouldRemoveOffsetDIffWhenTimestampOffsetHasChanged()","","Tue Dec 02 06:07:21 UTC 2025","passed","Tue Dec 02 06:07:21 UTC 2025","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldRemoveOffsetDIffWhenTimestampOffsetHasChanged"
"","2117","integerAndStringValues(PreparedStatementValueSetter) set ARRAY","","Tue Dec 02 05:57:58 UTC 2025","passed","Tue Dec 02 05:58:00 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","integerAndStringValues"
"","2797","shouldParReplaceParamMarkersInMultistatementStatement()","","Tue Dec 02 05:58:20 UTC 2025","passed","Tue Dec 02 05:58:22 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldParReplaceParamMarkersInMultistatementStatement"
"","72","nanRealUserEngine(String) [3] select '-nan'::real","","Tue Dec 02 05:58:58 UTC 2025","passed","Tue Dec 02 05:58:58 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanRealUserEngine"
"","218","getTables(String, String, String, String, String, String) [14] null, information_schema, null, TABLE;VIEW, tables;columns, integration_test","","Tue Dec 02 05:57:35 UTC 2025","passed","Tue Dec 02 05:57:35 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","73","nanFloatUserEngine(String) [2] select '+nan'::float","","Tue Dec 02 05:58:59 UTC 2025","passed","Tue Dec 02 05:58:59 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanFloatUserEngine"
"","1029","shouldReturnTrueWhenExecutingMultiStatementWithFirstStatementReturningAResultSet()","","Tue Dec 02 05:59:31 UTC 2025","passed","Tue Dec 02 05:59:32 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldReturnTrueWhenExecutingMultiStatementWithFirstStatementReturningAResultSet"
