"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8","cannotConnectToFireboltCoreWithInvalidUrl(String, String) [6] https://172.0.0.1:-2, Invalid URL format. URL must be in the form: <protocol>://<host>:<port>. Invalid port number :-2","","Sat Nov 08 00:47:59 UTC 2025","passed","Sat Nov 08 00:47:59 UTC 2025","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","cannotConnectToFireboltCoreWithInvalidUrl"
"","2","cannotConnectToFireboltCoreWithInvalidUrl(String, String) [8] https://172.0.0.1:70000, Invalid URL format. URL must be in the form: <protocol>://<host>:<port>. The port value should be a positive integer between 1 and 65535. You have the port as:70000","","Sat Nov 08 00:47:59 UTC 2025","passed","Sat Nov 08 00:47:59 UTC 2025","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","cannotConnectToFireboltCoreWithInvalidUrl"
"","30","unlimitedMaxFieldSize(int) [2] -1","","Sat Nov 08 00:48:13 UTC 2025","passed","Sat Nov 08 00:48:13 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","unlimitedMaxFieldSize"
"","44","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) getObject(i, java.util.Map.of(""long"", Integer.class)","","Sat Nov 08 00:48:13 UTC 2025","passed","Sat Nov 08 00:48:13 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertRecordsUsingDifferentNumericTypes"
"","52","shouldReplaceParamMarkers()","","Sat Nov 08 00:48:12 UTC 2025","passed","Sat Nov 08 00:48:12 UTC 2025","","integration.tests.PreparedStatementFbNumericTest","integration.tests.PreparedStatementFbNumericTest","shouldReplaceParamMarkers"
"","71","shouldReturnLimitedNumberOfLines()","","Sat Nov 08 00:48:14 UTC 2025","passed","Sat Nov 08 00:48:14 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldReturnLimitedNumberOfLines"
"","22","empty(String) query:-- SELECT 1;","","Sat Nov 08 00:48:14 UTC 2025","passed","Sat Nov 08 00:48:14 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","empty"
"","48","shouldReplaceParamMarkers()","","Sat Nov 08 00:48:13 UTC 2025","passed","Sat Nov 08 00:48:13 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldReplaceParamMarkers"
"","25","shouldResetTheParameterIndex()","","Sat Nov 08 00:48:11 UTC 2025","passed","Sat Nov 08 00:48:11 UTC 2025","","integration.tests.PreparedStatementFbNumericTest","integration.tests.PreparedStatementFbNumericTest","shouldResetTheParameterIndex"
"","30","unlimitedMaxFieldSize(int) [3] 100","","Sat Nov 08 00:48:13 UTC 2025","passed","Sat Nov 08 00:48:13 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","unlimitedMaxFieldSize"
