"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","86","minusInfRealUserEngine(String) [1] select '-inf'::real","","Sat Nov 08 06:13:07 UTC 2025","passed","Sat Nov 08 06:13:07 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","minusInfRealUserEngine"
"","278","getTables(String, String, String, String, String, String) [1] null, null, null, null, tables;views;integration_test, null","","Sat Nov 08 06:10:53 UTC 2025","passed","Sat Nov 08 06:10:54 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","13136","shouldExecuteBatch()","","Sat Nov 08 06:14:27 UTC 2025","passed","Sat Nov 08 06:14:40 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldExecuteBatch"
"","272","getTables(String, String, String, String, String, String) [8] null, public, null, null, integration_test, tables;columns;views","","Sat Nov 08 06:10:55 UTC 2025","passed","Sat Nov 08 06:10:56 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","3007","shouldFetchTimestampAndDate(Object, Object, boolean) [3] 2019-07-31T11:15:13, 2019-07-31, false","","Sat Nov 08 06:12:19 UTC 2025","passed","Sat Nov 08 06:12:22 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchTimestampAndDate"
"","2406","successfulSettingOfPropertyThatRequiresAdvancedModeConfiguredWhenConnectionIsCreated()","","Sat Nov 08 06:13:42 UTC 2025","passed","Sat Nov 08 06:13:45 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","successfulSettingOfPropertyThatRequiresAdvancedModeConfiguredWhenConnectionIsCreated"
"","3308","shouldReplaceParamMarkers()","","Sat Nov 08 06:12:49 UTC 2025","passed","Sat Nov 08 06:12:52 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldReplaceParamMarkers"
"","5210","shouldInsertAndSelectByteArray()","","Sat Nov 08 06:13:01 UTC 2025","passed","Sat Nov 08 06:13:06 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertAndSelectByteArray"
"","279","shouldReturnColumns()","","Sat Nov 08 06:10:58 UTC 2025","passed","Sat Nov 08 06:10:58 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","shouldReturnColumns"
"","85","nanDoubleUserEngine(String) [1] select 'nan'::double","","Sat Nov 08 06:13:06 UTC 2025","passed","Sat Nov 08 06:13:07 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanDoubleUserEngine"
"","4903","shouldInsertAndRetrieveUrl()","","Sat Nov 08 06:11:56 UTC 2025","passed","Sat Nov 08 06:12:01 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertAndRetrieveUrl"
"","679","successfulConnectV1(boolean, boolean) using db:true engine:false","","Sat Nov 08 06:10:51 UTC 2025","passed","Sat Nov 08 06:10:52 UTC 2025","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","successfulConnectV1"
"","268","getTables(String, String, String, String, String, String) [11] null, public, null, TABLE;VIEW, integration_test, tables;columns;views","","Sat Nov 08 06:10:56 UTC 2025","passed","Sat Nov 08 06:10:56 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","85","infRealUserEngine(String) [2] select '+inf'::real","","Sat Nov 08 06:13:07 UTC 2025","passed","Sat Nov 08 06:13:07 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infRealUserEngine"
"","86","minusInfDoubleUserEngine(String) [1] select '-inf'::double","","Sat Nov 08 06:13:07 UTC 2025","passed","Sat Nov 08 06:13:07 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","minusInfDoubleUserEngine"
"","272","getTables(String, String, String, String, String, String) [3] null, null, null, VIEW;TABLE, integration_test;tables;views, null","","Sat Nov 08 06:10:54 UTC 2025","passed","Sat Nov 08 06:10:54 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","2766","setWrongParameterOnSystemEngineOnUserEngine()","","Sat Nov 08 06:14:45 UTC 2025","passed","Sat Nov 08 06:14:48 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","setWrongParameterOnSystemEngineOnUserEngine"
"","2821","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) getObject(Long.class)","","Sat Nov 08 06:12:42 UTC 2025","passed","Sat Nov 08 06:12:45 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertRecordsUsingDifferentNumericTypes"
"","272","getTables(String, String, String, String, String, String) [9] null, information_schema, null, null, tables;columns, integration_test","","Sat Nov 08 06:10:56 UTC 2025","passed","Sat Nov 08 06:10:56 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","270","getTables(String, String, String, String, String, String) [6] null, null, %account%, null, accounts;service_accounts, tables;columns;views","","Sat Nov 08 06:10:55 UTC 2025","passed","Sat Nov 08 06:10:55 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","3005","preparedStatementUsingExplicitNulls()","","Sat Nov 08 06:11:01 UTC 2025","passed","Sat Nov 08 06:11:04 UTC 2025","","integration.tests.NullableValuesTest","integration.tests.NullableValuesTest","preparedStatementUsingExplicitNulls"
"","4104","shouldInsertRecordsInBatch()","","Sat Nov 08 06:12:52 UTC 2025","passed","Sat Nov 08 06:12:56 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertRecordsInBatch"
"","1905","nullSortOrder()","","Sat Nov 08 06:14:53 UTC 2025","passed","Sat Nov 08 06:14:55 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","nullSortOrder"
"","961","successfulConnectUnsuccessfulSelectV1(boolean, boolean) using db:false engine:true","","Sat Nov 08 06:10:50 UTC 2025","passed","Sat Nov 08 06:10:51 UTC 2025","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","successfulConnectUnsuccessfulSelectV1"
"","1684","empty(String) query:;","","Sat Nov 08 06:14:11 UTC 2025","passed","Sat Nov 08 06:14:13 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","empty"
"","3028","shouldReturnFalseWhenExecutingMultiStatementWithFirstStatementNotReturningAResultSet()","","Sat Nov 08 06:15:07 UTC 2025","passed","Sat Nov 08 06:15:10 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldReturnFalseWhenExecutingMultiStatementWithFirstStatementNotReturningAResultSet"
"","1957","mixedCaseSelect(String, String) [1] select 1 as lower, 2 as UPPER, 3 AS MiXeD, lower,upper,mixed","","Sat Nov 08 06:14:41 UTC 2025","passed","Sat Nov 08 06:14:43 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","mixedCaseSelect"
"","2533","setCorrectThenWrongParameterOnUserEngine()","","Sat Nov 08 06:13:38 UTC 2025","passed","Sat Nov 08 06:13:41 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","setCorrectThenWrongParameterOnUserEngine"
"","3238","integerAndStringWithNullValues(PreparedStatementValueSetter) set OBJECT","","Sat Nov 08 06:11:25 UTC 2025","passed","Sat Nov 08 06:11:29 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","integerAndStringWithNullValues"
"","286","shouldReturnSchema()","","Sat Nov 08 06:10:53 UTC 2025","passed","Sat Nov 08 06:10:53 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","shouldReturnSchema"
"","4600","shouldParReplaceParamMarkersInMultistatementStatement()","","Sat Nov 08 06:12:06 UTC 2025","passed","Sat Nov 08 06:12:11 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldParReplaceParamMarkersInMultistatementStatement"
"","3124","integerAndStringValues(PreparedStatementValueSetter) set ARRAY","","Sat Nov 08 06:11:29 UTC 2025","passed","Sat Nov 08 06:11:32 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","integerAndStringValues"
"","269","shouldRemoveOffsetDIffWhenTimestampOffsetHasChangedCET()","","Sat Nov 08 06:22:16 UTC 2025","passed","Sat Nov 08 06:22:16 UTC 2025","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldRemoveOffsetDIffWhenTimestampOffsetHasChangedCET"
"","1197","maxFieldSize(int) [1] 1","","Sat Nov 08 06:14:00 UTC 2025","passed","Sat Nov 08 06:14:01 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","maxFieldSize"
"","182","getMetadata()","","Sat Nov 08 06:10:58 UTC 2025","passed","Sat Nov 08 06:10:58 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getMetadata"
"","3195","integerAndStringWithNullValues(PreparedStatementValueSetter) set ARRAY","","Sat Nov 08 06:11:22 UTC 2025","passed","Sat Nov 08 06:11:25 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","integerAndStringWithNullValues"
"","3508","shouldFetchTimestampAndDate(Object, Object, boolean) [2] 2019-07-31 11:15:13.0, 2019-07-31, true","","Sat Nov 08 06:12:15 UTC 2025","passed","Sat Nov 08 06:12:19 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchTimestampAndDate"
"","269","getTables(String, String, String, String, String, String) [7] null, null, %test, null, integration_test, tables;columns;views","","Sat Nov 08 06:10:55 UTC 2025","passed","Sat Nov 08 06:10:55 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","2953","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) int","","Sat Nov 08 06:12:36 UTC 2025","passed","Sat Nov 08 06:12:39 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertRecordsUsingDifferentNumericTypes"
"","170","shouldHaveCorrectInfo()","","Sat Nov 08 06:11:09 UTC 2025","passed","Sat Nov 08 06:11:09 UTC 2025","","integration.tests.NumericTypesTest","integration.tests.NumericTypesTest","shouldHaveCorrectInfo"
"","3171","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) long","","Sat Nov 08 06:12:39 UTC 2025","passed","Sat Nov 08 06:12:42 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertRecordsUsingDifferentNumericTypes"
