"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22","getTables(String, String, String, String, String, String) [30] {database}, %form%, %in%, VIEW, engines, tables","","Mon Nov 10 03:50:28 UTC 2025","passed","Mon Nov 10 03:50:28 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","457","shouldInsertRecordsInBatch()","","Mon Nov 10 03:49:13 UTC 2025","passed","Mon Nov 10 03:49:14 UTC 2025","","integration.tests.PreparedStatementFbNumericTest","integration.tests.PreparedStatementFbNumericTest","shouldInsertRecordsInBatch"
"","371","preparedStatementUsingExplicitNulls()","","Mon Nov 10 03:48:59 UTC 2025","passed","Mon Nov 10 03:49:00 UTC 2025","","integration.tests.NullableValuesTest","integration.tests.NullableValuesTest","preparedStatementUsingExplicitNulls"
"","23","getTables(String, String, String, String, String, String) [13] null, information_schema, null, TABLE, null, integration_test","","Mon Nov 10 03:48:55 UTC 2025","passed","Mon Nov 10 03:48:55 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","1910","canUsePreparedStatementsToInsertFalseValueInBooleanColumn()","","Mon Nov 10 03:59:15 UTC 2025","passed","Mon Nov 10 03:59:17 UTC 2025","","integration.tests.datatype.BooleanTest","integration.tests.datatype.BooleanTest","canUsePreparedStatementsToInsertFalseValueInBooleanColumn"
"","9","shouldRetryOn502()","","Mon Nov 10 03:59:15 UTC 2025","passed","Mon Nov 10 03:59:15 UTC 2025","","integration.tests.client.RetryPolicyTest","integration.tests.client.RetryPolicyTest","shouldRetryOn502"
"","197","mixedCaseSelect(String, String) [1] select 1 as lower, 2 as UPPER, 3 AS MiXeD, lower,upper,mixed","","Mon Nov 10 03:50:13 UTC 2025","passed","Mon Nov 10 03:50:13 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","mixedCaseSelect"
"","32","getSchemasInformationSchema(String, String, String) [2] null, information_schema, information_schema","","Mon Nov 10 03:50:27 UTC 2025","passed","Mon Nov 10 03:50:27 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getSchemasInformationSchema"
"","19","nanFloatAsDoubleSystemEngine(String) [2] select '+nan'::float","","Mon Nov 10 03:49:27 UTC 2025","passed","Mon Nov 10 03:49:27 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanFloatAsDoubleSystemEngine"
"","72","shouldThrowExceptionWhenExecutingWrongQuery()","","Mon Nov 10 03:51:22 UTC 2025","passed","Mon Nov 10 03:51:22 UTC 2025","","integration.tests.SystemEngineTest","integration.tests.SystemEngineTest","shouldThrowExceptionWhenExecutingWrongQuery"
"","203","mixedCaseSelect(String, String) [2] select 1 as ""lower"", 2 as ""UPPER"", 3 AS ""MiXeD"", lower,UPPER,MiXeD","","Mon Nov 10 03:50:13 UTC 2025","passed","Mon Nov 10 03:50:14 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","mixedCaseSelect"
"","18","infDoubleSystemEngine(String) [2] select '+inf'::double","","Mon Nov 10 03:49:27 UTC 2025","passed","Mon Nov 10 03:49:27 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infDoubleSystemEngine"
"","46","getColumns(String, String, String, String, String, String) [18] {database}, information%, %in%, null, information_schema.engines.engine_name, information_schema.tables.table_name","","Mon Nov 10 03:50:29 UTC 2025","passed","Mon Nov 10 03:50:29 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","32","getColumns(String, String, String, String, String, String) [20] {database}, %form%, %in%, null, information_schema.engines.engine_name, information_schema.tables.table_name","","Mon Nov 10 03:50:29 UTC 2025","passed","Mon Nov 10 03:50:29 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","36","shouldThrowExceptionOn400WithoutRetry()","","Mon Nov 10 03:59:15 UTC 2025","passed","Mon Nov 10 03:59:15 UTC 2025","","integration.tests.client.RetryPolicyTest","integration.tests.client.RetryPolicyTest","shouldThrowExceptionOn400WithoutRetry"
"","906","shouldRollbackTableCreationAndDataInsertion()","","Mon Nov 10 03:59:12 UTC 2025","passed","Mon Nov 10 03:59:12 UTC 2025","","integration.tests.TransactionTest","integration.tests.TransactionTest","shouldRollbackTableCreationAndDataInsertion"
"","22","getColumns(String, String, String, String, String, String) [32] null, null, %in%, no-one, null, information_schema.columns.column_name","","Mon Nov 10 03:50:29 UTC 2025","passed","Mon Nov 10 03:50:29 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","207","shouldGetMultipleResultSets()","","Mon Nov 10 03:50:01 UTC 2025","passed","Mon Nov 10 03:50:01 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldGetMultipleResultSets"
"","20","nanRealSystemEngine(String) [1] select 'nan'::real","","Mon Nov 10 03:49:26 UTC 2025","passed","Mon Nov 10 03:49:26 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanRealSystemEngine"
"","23819","useEngineMixedCase()","","Mon Nov 10 03:50:30 UTC 2025","passed","Mon Nov 10 03:50:54 UTC 2025","","integration.tests.SystemEngineTest","integration.tests.SystemEngineTest","useEngineMixedCase"
"","53","getColumns(String, String, String, String, String, String) [9] {database}, %schema, null, null, information_schema.columns.column_name, null","","Mon Nov 10 03:50:29 UTC 2025","passed","Mon Nov 10 03:50:29 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","393","shouldRollbackTransactionSuccessfully()","","Mon Nov 10 03:59:09 UTC 2025","passed","Mon Nov 10 03:59:10 UTC 2025","","integration.tests.TransactionTest","integration.tests.TransactionTest","shouldRollbackTransactionSuccessfully"
"","31","getColumns(String, String, String, String, String, String) [22] null, information_schema, %in%, last_altered, information_schema.engines.last_altered, information_schema.engines.engine_name","","Mon Nov 10 03:50:29 UTC 2025","passed","Mon Nov 10 03:50:29 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","435","shouldInsertAndSelectStruct()","","Mon Nov 10 03:49:14 UTC 2025","passed","Mon Nov 10 03:49:14 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertAndSelectStruct"
"","219","shouldFailWhenParameterNotProvided()","","Mon Nov 10 03:49:09 UTC 2025","passed","Mon Nov 10 03:49:09 UTC 2025","","integration.tests.PreparedStatementFbNumericTest","integration.tests.PreparedStatementFbNumericTest","shouldFailWhenParameterNotProvided"
