"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2364","shouldInsertAndSelectStreams()","","Fri Dec 12 08:08:35 UTC 2025","passed","Fri Dec 12 08:08:37 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertAndSelectStreams"
"","36","nanDoubleUserEngine(String) [3] select '-nan'::double","","Fri Dec 12 08:09:01 UTC 2025","passed","Fri Dec 12 08:09:01 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanDoubleUserEngine"
"","1743","setCorrectThenWrongParameterOnSystemEngine()","","Fri Dec 12 08:09:26 UTC 2025","passed","Fri Dec 12 08:09:28 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","setCorrectThenWrongParameterOnSystemEngine"
"","2480","shouldFetchTimestampAndDate(Object, Object, boolean) [3] 2019-07-31T11:15:13, 2019-07-31, false","","Fri Dec 12 08:08:30 UTC 2025","passed","Fri Dec 12 08:08:33 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchTimestampAndDate"
"","1334","setCorrectThenWrongParameterOnUserEngine()","","Fri Dec 12 08:09:23 UTC 2025","passed","Fri Dec 12 08:09:24 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","setCorrectThenWrongParameterOnUserEngine"
"","766","maxFieldSize(int) [3] 5","","Fri Dec 12 08:09:42 UTC 2025","passed","Fri Dec 12 08:09:42 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","maxFieldSize"
"","1920","integerAndStringWithNullValues(PreparedStatementValueSetter) set OBJECT","","Fri Dec 12 08:07:48 UTC 2025","passed","Fri Dec 12 08:07:50 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","integerAndStringWithNullValues"
"","114","getTables(String, String, String, String, String, String) [2] null, null, null, TABLE;VIEW, tables;views;integration_test, null","","Fri Dec 12 08:07:27 UTC 2025","passed","Fri Dec 12 08:07:27 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","637","shouldThrowExceptionWhenTryingToReuseStatementClosedOnCompletion()","","Fri Dec 12 08:09:24 UTC 2025","passed","Fri Dec 12 08:09:25 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldThrowExceptionWhenTryingToReuseStatementClosedOnCompletion"
"","36","nanRealUserEngine(String) [3] select '-nan'::real","","Fri Dec 12 08:09:01 UTC 2025","passed","Fri Dec 12 08:09:01 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanRealUserEngine"
"","7","shouldRetryOn502()","","Fri Dec 12 08:17:37 UTC 2025","passed","Fri Dec 12 08:17:37 UTC 2025","","integration.tests.client.RetryPolicyTest","integration.tests.client.RetryPolicyTest","shouldRetryOn502"
"","106","shouldGetTimeObjectsInDefaultUTCTimezone()","","Fri Dec 12 08:17:34 UTC 2025","passed","Fri Dec 12 08:17:34 UTC 2025","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldGetTimeObjectsInDefaultUTCTimezone"
"","689","shouldSelect1WithEngine()","","Fri Dec 12 08:10:08 UTC 2025","passed","Fri Dec 12 08:10:09 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldSelect1WithEngine"
"","1824","empty(String) query:     ;","","Fri Dec 12 08:09:48 UTC 2025","passed","Fri Dec 12 08:09:50 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","empty"
"","105","shouldGetParsedTimeStampExtTimeObjects()","","Fri Dec 12 08:17:34 UTC 2025","passed","Fri Dec 12 08:17:34 UTC 2025","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldGetParsedTimeStampExtTimeObjects"
"","2358","shouldInsertAndSelectDateTime()","","Fri Dec 12 08:08:17 UTC 2025","passed","Fri Dec 12 08:08:19 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertAndSelectDateTime"
"","621","setWrongParameterOnSystemEngineOnUserEngine()","","Fri Dec 12 08:10:12 UTC 2025","passed","Fri Dec 12 08:10:12 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","setWrongParameterOnSystemEngineOnUserEngine"
"","2056","nullArrays(PreparedStatementValueSetter) set OBJECT","","Fri Dec 12 08:08:05 UTC 2025","passed","Fri Dec 12 08:08:07 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","nullArrays"
"","1753","shouldGetMultipleResultSets()","","Fri Dec 12 08:09:56 UTC 2025","passed","Fri Dec 12 08:09:58 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldGetMultipleResultSets"
"","2440","shouldFetchTimestampAndDate(Object, Object, boolean) [1] 2019-07-31T11:15:13, 2019-07-31, true","","Fri Dec 12 08:08:25 UTC 2025","passed","Fri Dec 12 08:08:28 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchTimestampAndDate"
"","679","unlimitedMaxFieldSize(int) [3] 100","","Fri Dec 12 08:09:22 UTC 2025","passed","Fri Dec 12 08:09:23 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","unlimitedMaxFieldSize"
"","1497","shouldSelect1()","","Fri Dec 12 08:10:22 UTC 2025","passed","Fri Dec 12 08:10:24 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldSelect1"
"","1990","integerAndStringValues(PreparedStatementValueSetter) set ARRAY","","Fri Dec 12 08:07:50 UTC 2025","passed","Fri Dec 12 08:07:52 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","integerAndStringValues"
"","2144","emptyIntegerAndStringValues(PreparedStatementValueSetter) set OBJECT","","Fri Dec 12 08:07:44 UTC 2025","passed","Fri Dec 12 08:07:46 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","emptyIntegerAndStringValues"
"","101","shouldReturnTimestampFromTimestampntz()","","Fri Dec 12 08:17:37 UTC 2025","passed","Fri Dec 12 08:17:37 UTC 2025","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldReturnTimestampFromTimestampntz"
"","1381","shouldThrowExceptionWhenExecutingWrongQueryV1()","","Fri Dec 12 08:10:19 UTC 2025","passed","Fri Dec 12 08:10:21 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldThrowExceptionWhenExecutingWrongQueryV1"
"","29","shouldSendRequestWithUserAgentHeaderContainingDriverAndClientInfo()","","Fri Dec 12 08:17:37 UTC 2025","passed","Fri Dec 12 08:17:37 UTC 2025","","integration.tests.client.UsageTrackingTest","integration.tests.client.UsageTrackingTest","shouldSendRequestWithUserAgentHeaderContainingDriverAndClientInfo"
"","4089","shouldInsertAndRetrieveUrl()","","Fri Dec 12 08:08:13 UTC 2025","passed","Fri Dec 12 08:08:17 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertAndRetrieveUrl"
"","105","getTables(String, String, String, String, String, String) [5] null, null, null, VIEW, views;tables, integration_test","","Fri Dec 12 08:07:28 UTC 2025","passed","Fri Dec 12 08:07:28 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","0","shouldFetchBooleanFromVariousObjects(Object, Object)","","Fri Dec 12 08:08:57 UTC 2025","skipped","Fri Dec 12 08:08:57 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchBooleanFromVariousObjects"
"","1993","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) short","","Fri Dec 12 08:08:39 UTC 2025","passed","Fri Dec 12 08:08:41 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertRecordsUsingDifferentNumericTypes"
"","138","shouldReturnTimestampFromTimestampTzWithTzWithHoursAndMinutesAndSecondsWhenUsingTime_ZoneSetting()","","Fri Dec 12 08:17:35 UTC 2025","passed","Fri Dec 12 08:17:35 UTC 2025","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldReturnTimestampFromTimestampTzWithTzWithHoursAndMinutesAndSecondsWhenUsingTime_ZoneSetting"
"","36","nanRealUserEngine(String) [2] select '+nan'::real","","Fri Dec 12 08:09:01 UTC 2025","passed","Fri Dec 12 08:09:01 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanRealUserEngine"
"","1699","empty(String) query:/* {""app"": ""dbt"", ""dbt_version"": ""0.20.0"", ""profile_name"": ""jaffle_shop"", ""target_name"": ""fb_app"", ""connection_name"": ""macro_stage_external_sources""} */;","","Fri Dec 12 08:09:53 UTC 2025","passed","Fri Dec 12 08:09:55 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","empty"
"","109","shouldRemoveOffsetDIffWhenTimestampOffsetHasChangedCET()","","Fri Dec 12 08:17:34 UTC 2025","passed","Fri Dec 12 08:17:34 UTC 2025","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldRemoveOffsetDIffWhenTimestampOffsetHasChangedCET"
"","1667","shouldReturnTrueWhenExecutingMultiStatementWithFirstStatementReturningAResultSet()","","Fri Dec 12 08:09:28 UTC 2025","passed","Fri Dec 12 08:09:30 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldReturnTrueWhenExecutingMultiStatementWithFirstStatementReturningAResultSet"
"","172","shouldReturnTimestampFromTimestamptzWithTime_zoneSettings()","","Fri Dec 12 08:17:34 UTC 2025","passed","Fri Dec 12 08:17:35 UTC 2025","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldReturnTimestampFromTimestamptzWithTime_zoneSettings"
"","2212","integerAndStringValues(PreparedStatementValueSetter) set OBJECT","","Fri Dec 12 08:07:52 UTC 2025","passed","Fri Dec 12 08:07:54 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","integerAndStringValues"
