"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","53","preparedStatementUsingDefaultNulls()","","Thu Dec 11 00:48:49 UTC 2025","passed","Thu Dec 11 00:48:49 UTC 2025","","integration.tests.NullableValuesTest","integration.tests.NullableValuesTest","preparedStatementUsingDefaultNulls"
"","14","shouldRemoveOffsetDIffWhenTimestampOffsetHasChangedCET()","","Thu Dec 11 00:49:18 UTC 2025","passed","Thu Dec 11 00:49:18 UTC 2025","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldRemoveOffsetDIffWhenTimestampOffsetHasChangedCET"
"","19","getTables(String, String, String, String, String, String) [9] null, information_schema, null, null, tables;columns, integration_test","","Thu Dec 11 00:48:48 UTC 2025","passed","Thu Dec 11 00:48:48 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","40","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) long","","Thu Dec 11 00:48:51 UTC 2025","passed","Thu Dec 11 00:48:51 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertRecordsUsingDifferentNumericTypes"
"","33","caseInsensitiveGetter()","","Thu Dec 11 00:48:52 UTC 2025","passed","Thu Dec 11 00:48:52 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","caseInsensitiveGetter"
"","22","mixedCaseSelect(String, String) [2] select 1 as ""lower"", 2 as ""UPPER"", 3 AS ""MiXeD"", lower,UPPER,MiXeD","","Thu Dec 11 00:49:03 UTC 2025","passed","Thu Dec 11 00:49:03 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","mixedCaseSelect"
"","51","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) short","","Thu Dec 11 00:48:51 UTC 2025","passed","Thu Dec 11 00:48:51 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertRecordsUsingDifferentNumericTypes"
"","27","maxFieldSize(int) [4] 50","","Thu Dec 11 00:48:53 UTC 2025","passed","Thu Dec 11 00:48:53 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","maxFieldSize"
"","21","empty(String) query:--;","","Thu Dec 11 00:48:53 UTC 2025","passed","Thu Dec 11 00:48:53 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","empty"
"","79","shouldInsertAndRetrieveUrl()","","Thu Dec 11 00:48:50 UTC 2025","passed","Thu Dec 11 00:48:50 UTC 2025","","integration.tests.PreparedStatementFbNumericTest","integration.tests.PreparedStatementFbNumericTest","shouldInsertAndRetrieveUrl"
"","27","maxFieldSize(int) [3] 5","","Thu Dec 11 00:48:53 UTC 2025","passed","Thu Dec 11 00:48:53 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","maxFieldSize"
"","54","emptyIntegerAndStringValues(PreparedStatementValueSetter) set ARRAY","","Thu Dec 11 00:48:49 UTC 2025","passed","Thu Dec 11 00:48:49 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","emptyIntegerAndStringValues"
