"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","657","willFailToSetTheBooleanValue()","","Thu Dec 11 04:35:55 UTC 2025","passed","Thu Dec 11 04:35:56 UTC 2025","","integration.tests.datatype.BooleanTest","integration.tests.datatype.BooleanTest","willFailToSetTheBooleanValue"
"","307","shouldReturnTrueWhenExecutingMultiStatementWithFirstStatementReturningAResultSet()","","Thu Dec 11 04:24:30 UTC 2025","passed","Thu Dec 11 04:24:31 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldReturnTrueWhenExecutingMultiStatementWithFirstStatementReturningAResultSet"
"","549","canDetectFileCacheCreationTime()","","Thu Dec 11 04:19:13 UTC 2025","passed","Thu Dec 11 04:19:14 UTC 2025","","integration.tests.CachedConnectionTest","integration.tests.CachedConnectionTest","canDetectFileCacheCreationTime"
"","37","getTables(String, String, String, String, String, String) [15] null, information_schema, null, VIEW, tables;columns, null","","Thu Dec 11 04:20:18 UTC 2025","passed","Thu Dec 11 04:20:18 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","411","shouldExecuteQueryWithMultipleFiles()","","Thu Dec 11 04:23:10 UTC 2025","passed","Thu Dec 11 04:23:10 UTC 2025","","integration.tests.ParquetStatementTest","integration.tests.ParquetStatementTest","shouldExecuteQueryWithMultipleFiles"
"","537","mixedCaseTable(String, String, String, String) [1] CREATE FACT TABLE Case_Test (x long), case_test, Case_Test, case_test","","Thu Dec 11 04:25:04 UTC 2025","passed","Thu Dec 11 04:25:04 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","mixedCaseTable"
"","254","shouldThrowExceptionWhenTryingToExecuteQueryThatWouldReturnMultipleResultSets()","","Thu Dec 11 04:24:33 UTC 2025","passed","Thu Dec 11 04:24:34 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldThrowExceptionWhenTryingToExecuteQueryThatWouldReturnMultipleResultSets"
"","275","shouldSelect1WithQueryTimeout()","","Thu Dec 11 04:24:36 UTC 2025","passed","Thu Dec 11 04:24:37 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldSelect1WithQueryTimeout"
"","281","setCorrectThenWrongParameterOnSystemEngine()","","Thu Dec 11 04:24:30 UTC 2025","passed","Thu Dec 11 04:24:30 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","setCorrectThenWrongParameterOnSystemEngine"
"","306","shouldGetMultipleResultSets()","","Thu Dec 11 04:24:38 UTC 2025","passed","Thu Dec 11 04:24:39 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldGetMultipleResultSets"
"","38","getTables(String, String, String, String, String, String) [22] null, information_schema, %in%, VIEW, engines, tables","","Thu Dec 11 04:25:08 UTC 2025","passed","Thu Dec 11 04:25:08 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","0","canInsertBigDecimalUsingPreparedStatement()","","Thu Dec 11 04:35:53 UTC 2025","skipped","Thu Dec 11 04:35:53 UTC 2025","","integration.tests.datatype.BigDecimalTest","integration.tests.datatype.BigDecimalTest","canInsertBigDecimalUsingPreparedStatement"
"","29","nanDoubleUserEngine(String) [3] select '-nan'::double","","Thu Dec 11 04:23:53 UTC 2025","passed","Thu Dec 11 04:23:53 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanDoubleUserEngine"
"","38","getSchemasInformationSchema(String, String, String) [7] {database}, information_schema, information_schema","","Thu Dec 11 04:25:06 UTC 2025","passed","Thu Dec 11 04:25:06 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getSchemasInformationSchema"
"","394","emptyIntAndStringValues(PreparedStatementValueSetter) set ARRAY","","Thu Dec 11 04:23:23 UTC 2025","passed","Thu Dec 11 04:23:23 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","emptyIntAndStringValues"
"","32","nanFloatAsDoubleSystemEngine(String) [2] select '+nan'::float","","Thu Dec 11 04:23:53 UTC 2025","passed","Thu Dec 11 04:23:53 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanFloatAsDoubleSystemEngine"
"","290","maxFieldSize(int) [4] 50","","Thu Dec 11 04:24:35 UTC 2025","passed","Thu Dec 11 04:24:35 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","maxFieldSize"
"","58","shouldReturnColumnsFromSelect()","","Thu Dec 11 04:20:17 UTC 2025","passed","Thu Dec 11 04:20:17 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","shouldReturnColumnsFromSelect"
"","398","shouldFailSQLInjectionAttempt()","","Thu Dec 11 04:23:26 UTC 2025","passed","Thu Dec 11 04:23:27 UTC 2025","","integration.tests.PreparedStatementFbNumericTest","integration.tests.PreparedStatementFbNumericTest","shouldFailSQLInjectionAttempt"
"","37","getTables(String, String, String, String, String, String) [18] {database}, information%, %in%, null, engines, tables","","Thu Dec 11 04:25:07 UTC 2025","passed","Thu Dec 11 04:25:07 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","777","shouldInsertAndRetrieveUrl()","","Thu Dec 11 04:23:28 UTC 2025","passed","Thu Dec 11 04:23:28 UTC 2025","","integration.tests.PreparedStatementFbNumericTest","integration.tests.PreparedStatementFbNumericTest","shouldInsertAndRetrieveUrl"
"","466","shouldRollbackTransactionSuccessfully()","","Thu Dec 11 04:35:46 UTC 2025","passed","Thu Dec 11 04:35:47 UTC 2025","","integration.tests.TransactionTest","integration.tests.TransactionTest","shouldRollbackTransactionSuccessfully"
"","33","successfulConnect(boolean, boolean) V2 using db:true engine:true","","Thu Dec 11 04:19:57 UTC 2025","passed","Thu Dec 11 04:19:57 UTC 2025","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","successfulConnect"
