"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1644","shouldFetchBoolean()","","Tue Feb 17 06:48:00 UTC 2026","passed","Tue Feb 17 06:48:01 UTC 2026","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchBoolean"
"","24","infFloatUserEngine(String) [1] select 'inf'::float","","Tue Feb 17 06:48:31 UTC 2026","passed","Tue Feb 17 06:48:31 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infFloatUserEngine"
"","2433","shouldInsertAndRetrieveUrl()","","Tue Feb 17 06:47:56 UTC 2026","passed","Tue Feb 17 06:47:58 UTC 2026","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertAndRetrieveUrl"
"","98","shouldHandleLargeDecimals()","","Tue Feb 17 06:47:31 UTC 2026","passed","Tue Feb 17 06:47:31 UTC 2026","","integration.tests.NumericTypesTest","integration.tests.NumericTypesTest","shouldHandleLargeDecimals"
"","944","setCorrectThenWrongParameterOnUserEngine()","","Tue Feb 17 06:48:59 UTC 2026","passed","Tue Feb 17 06:49:00 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","setCorrectThenWrongParameterOnUserEngine"
"","19","minusInfRealUserEngine(String) [1] select '-inf'::real","","Tue Feb 17 06:48:31 UTC 2026","passed","Tue Feb 17 06:48:31 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","minusInfRealUserEngine"
"","1863","integerAndStringWithNullValues(PreparedStatementValueSetter) set OBJECT","","Tue Feb 17 06:47:39 UTC 2026","passed","Tue Feb 17 06:47:41 UTC 2026","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","integerAndStringWithNullValues"
"","2138","shouldParReplaceParamMarkersInMultistatementStatement()","","Tue Feb 17 06:48:01 UTC 2026","passed","Tue Feb 17 06:48:03 UTC 2026","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldParReplaceParamMarkersInMultistatementStatement"
"","1484","shouldThrowExceptionWhenTryingToReuseStatementClosedOnCompletion()","","Tue Feb 17 06:49:00 UTC 2026","passed","Tue Feb 17 06:49:01 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","shouldThrowExceptionWhenTryingToReuseStatementClosedOnCompletion"
"","133","getTables(String, String, String, String, String, String) [11] null, public, null, TABLE;VIEW, integration_test, tables;columns;views","","Tue Feb 17 06:47:21 UTC 2026","passed","Tue Feb 17 06:47:21 UTC 2026","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","2201","nullableBiDimensionalArray()","","Tue Feb 17 06:47:51 UTC 2026","passed","Tue Feb 17 06:47:54 UTC 2026","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","nullableBiDimensionalArray"
"","1544","emptyIntegerAndStringValues(PreparedStatementValueSetter) set OBJECT","","Tue Feb 17 06:47:36 UTC 2026","passed","Tue Feb 17 06:47:38 UTC 2026","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","emptyIntegerAndStringValues"
"","423276","shouldExecuteRequestWithoutTimeoutV1()","","Tue Feb 17 06:49:58 UTC 2026","passed","Tue Feb 17 06:57:01 UTC 2026","","integration.tests.TimeoutTest","integration.tests.TimeoutTest","shouldExecuteRequestWithoutTimeoutV1"
"","732","byteaArray()","","Tue Feb 17 06:47:45 UTC 2026","passed","Tue Feb 17 06:47:46 UTC 2026","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","byteaArray"
"","19","nanRealUserEngine(String) [2] select '+nan'::real","","Tue Feb 17 06:48:31 UTC 2026","passed","Tue Feb 17 06:48:31 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanRealUserEngine"
"","1460","caseInsensitiveGetter()","","Tue Feb 17 06:49:07 UTC 2026","passed","Tue Feb 17 06:49:09 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","caseInsensitiveGetter"
"","1568","empty(String) query:--;","","Tue Feb 17 06:49:25 UTC 2026","passed","Tue Feb 17 06:49:27 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","empty"
"","1558","nullSortOrder()","","Tue Feb 17 06:49:47 UTC 2026","passed","Tue Feb 17 06:49:49 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","nullSortOrder"
"","125","getTables(String, String, String, String, String, String) [4] null, null, null, TABLE, integration_test, views;tables","","Tue Feb 17 06:47:20 UTC 2026","passed","Tue Feb 17 06:47:20 UTC 2026","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","1536","shouldFetchTimestampAndDate(Object, Object, boolean) [1] 2019-07-31T11:15:13, 2019-07-31, true","","Tue Feb 17 06:48:04 UTC 2026","passed","Tue Feb 17 06:48:06 UTC 2026","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchTimestampAndDate"
"","2349","preparedStatementUsingExplicitNulls()","","Tue Feb 17 06:47:24 UTC 2026","passed","Tue Feb 17 06:47:27 UTC 2026","","integration.tests.NullableValuesTest","integration.tests.NullableValuesTest","preparedStatementUsingExplicitNulls"
"","1259","emptyIntAndStringValues(PreparedStatementValueSetter) set ARRAY","","Tue Feb 17 06:47:46 UTC 2026","passed","Tue Feb 17 06:47:47 UTC 2026","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","emptyIntAndStringValues"
"","146","shouldReturnSchema()","","Tue Feb 17 06:47:19 UTC 2026","passed","Tue Feb 17 06:47:19 UTC 2026","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","shouldReturnSchema"
"","1520","nullArrays(PreparedStatementValueSetter) set OBJECT","","Tue Feb 17 06:47:50 UTC 2026","passed","Tue Feb 17 06:47:51 UTC 2026","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","nullArrays"
"","751","shouldSelect1WithEngine()","","Tue Feb 17 06:49:39 UTC 2026","passed","Tue Feb 17 06:49:40 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","shouldSelect1WithEngine"
"","0","shouldFetchBooleanFromVariousObjects(Object, Object)","","Tue Feb 17 06:48:28 UTC 2026","skipped","Tue Feb 17 06:48:28 UTC 2026","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchBooleanFromVariousObjects"
"","21","infDoubleUserEngine(String) [2] select '+inf'::double","","Tue Feb 17 06:48:31 UTC 2026","passed","Tue Feb 17 06:48:31 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infDoubleUserEngine"
"","144","getTables(String, String, String, String, String, String) [6] null, null, %account%, null, accounts;service_accounts, tables;columns;views","","Tue Feb 17 06:47:20 UTC 2026","passed","Tue Feb 17 06:47:20 UTC 2026","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","23668","shouldCancelQueryV1()","","Tue Feb 17 06:48:31 UTC 2026","passed","Tue Feb 17 06:48:55 UTC 2026","","integration.tests.StatementCancelTest","integration.tests.StatementCancelTest","shouldCancelQueryV1"
"","73","shouldHaveCorrectInfo()","","Tue Feb 17 06:47:31 UTC 2026","passed","Tue Feb 17 06:47:31 UTC 2026","","integration.tests.NumericTypesTest","integration.tests.NumericTypesTest","shouldHaveCorrectInfo"
"","270","shouldUseTLS()","","Tue Feb 17 06:57:08 UTC 2026","passed","Tue Feb 17 06:57:08 UTC 2026","","integration.tests.client.TLSTest","integration.tests.client.TLSTest","shouldUseTLS"
"","174","shouldReturnTimestampFromTimestamptzWithTime_zoneSettings()","","Tue Feb 17 06:57:05 UTC 2026","passed","Tue Feb 17 06:57:05 UTC 2026","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldReturnTimestampFromTimestamptzWithTime_zoneSettings"
"","1499","shouldFetchTimestampAndDate(Object, Object, boolean) [2] 2019-07-31 11:15:13.0, 2019-07-31, true","","Tue Feb 17 06:48:06 UTC 2026","passed","Tue Feb 17 06:48:07 UTC 2026","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchTimestampAndDate"
"","1525","shouldGetMultipleResultSets()","","Tue Feb 17 06:49:31 UTC 2026","passed","Tue Feb 17 06:49:32 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","shouldGetMultipleResultSets"
"","1565","shouldReuseStatementWhenNotCloseOnCompletion()","","Tue Feb 17 06:49:46 UTC 2026","passed","Tue Feb 17 06:49:47 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","shouldReuseStatementWhenNotCloseOnCompletion"
"","20","nanFloatUserEngine(String) [3] select '-nan'::float","","Tue Feb 17 06:48:31 UTC 2026","passed","Tue Feb 17 06:48:31 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanFloatUserEngine"
"","124","getTables(String, String, String, String, String, String) [9] null, information_schema, null, null, tables;columns, integration_test","","Tue Feb 17 06:47:21 UTC 2026","passed","Tue Feb 17 06:47:21 UTC 2026","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","1549","shouldSelect1()","","Tue Feb 17 06:49:54 UTC 2026","passed","Tue Feb 17 06:49:56 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","shouldSelect1"
"","1503","empty(String) query:     ;","","Tue Feb 17 06:49:24 UTC 2026","passed","Tue Feb 17 06:49:25 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","empty"
