"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2016","shouldCompareAllTimeStampsWithMultipleThreads()","","Mon Feb 16 06:56:37 UTC 2026","passed","Mon Feb 16 06:56:39 UTC 2026","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldCompareAllTimeStampsWithMultipleThreads"
"","1131","mixedCaseSelect(String, String) [2] select 1 as ""lower"", 2 as ""UPPER"", 3 AS ""MiXeD"", lower,UPPER,MiXeD","","Mon Feb 16 06:49:24 UTC 2026","passed","Mon Feb 16 06:49:25 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","mixedCaseSelect"
"","2218","preparedStatementUsingDefaultNulls()","","Mon Feb 16 06:47:00 UTC 2026","passed","Mon Feb 16 06:47:03 UTC 2026","","integration.tests.NullableValuesTest","integration.tests.NullableValuesTest","preparedStatementUsingDefaultNulls"
"","1921","preparedStatementUsingExplicitTypedNulls()","","Mon Feb 16 06:46:58 UTC 2026","passed","Mon Feb 16 06:47:00 UTC 2026","","integration.tests.NullableValuesTest","integration.tests.NullableValuesTest","preparedStatementUsingExplicitTypedNulls"
"","693","successfulConnectV1(boolean, boolean) using db:true engine:false","","Mon Feb 16 06:46:48 UTC 2026","passed","Mon Feb 16 06:46:49 UTC 2026","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","successfulConnectV1"
"","349","shouldReturnTimestampFromTimestampntz()","","Mon Feb 16 06:56:39 UTC 2026","passed","Mon Feb 16 06:56:40 UTC 2026","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldReturnTimestampFromTimestampntz"
"","2015","emptyIntegerAndStringValues(PreparedStatementValueSetter) set OBJECT","","Mon Feb 16 06:47:09 UTC 2026","passed","Mon Feb 16 06:47:11 UTC 2026","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","emptyIntegerAndStringValues"
"","227","successfulConnectV1(boolean, boolean) using db:true engine:true","","Mon Feb 16 06:46:49 UTC 2026","passed","Mon Feb 16 06:46:49 UTC 2026","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","successfulConnectV1"
"","10","shouldSendRequestWithUserAgentHeaderContainingDriverAndClientInfo()","","Mon Feb 16 06:56:40 UTC 2026","passed","Mon Feb 16 06:56:40 UTC 2026","","integration.tests.client.UsageTrackingTest","integration.tests.client.UsageTrackingTest","shouldSendRequestWithUserAgentHeaderContainingDriverAndClientInfo"
"","992","shouldFetchSpecialCharacters()","","Mon Feb 16 06:47:38 UTC 2026","passed","Mon Feb 16 06:47:39 UTC 2026","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchSpecialCharacters"
"","1013","shouldFetchBoolean()","","Mon Feb 16 06:47:35 UTC 2026","passed","Mon Feb 16 06:47:36 UTC 2026","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchBoolean"
"","1038","connectToNotExistingDbV1(EngineType) SYSTEM_ENGINE","","Mon Feb 16 06:46:46 UTC 2026","passed","Mon Feb 16 06:46:47 UTC 2026","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","connectToNotExistingDbV1"
"","1519","shouldSelect1WithQueryTimeout()","","Mon Feb 16 06:49:02 UTC 2026","passed","Mon Feb 16 06:49:03 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","shouldSelect1WithQueryTimeout"
"","241","shouldUseTLS()","","Mon Feb 16 06:56:40 UTC 2026","passed","Mon Feb 16 06:56:40 UTC 2026","","integration.tests.client.TLSTest","integration.tests.client.TLSTest","shouldUseTLS"
"","984","byteaArray()","","Mon Feb 16 06:47:19 UTC 2026","passed","Mon Feb 16 06:47:20 UTC 2026","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","byteaArray"
"","198","getTables(String, String, String, String, String, String) [14] null, information_schema, null, TABLE;VIEW, tables;columns, integration_test","","Mon Feb 16 06:46:53 UTC 2026","passed","Mon Feb 16 06:46:53 UTC 2026","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","422","shouldReturnTimestampFromTimestampTzWithTzWithHoursAndMinutesAndSecondsWhenUsingTime_ZoneSetting()","","Mon Feb 16 06:56:36 UTC 2026","passed","Mon Feb 16 06:56:37 UTC 2026","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldReturnTimestampFromTimestampTzWithTzWithHoursAndMinutesAndSecondsWhenUsingTime_ZoneSetting"
