"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1636","shouldCancelAsyncQueryWithFiles()","","Fri Dec 12 12:14:26 UTC 2025","passed","Fri Dec 12 12:14:27 UTC 2025","","integration.tests.ParquetStatementTest","integration.tests.ParquetStatementTest","shouldCancelAsyncQueryWithFiles"
"","31","infDoubleUserEngine(String) [1] select 'inf'::double","","Fri Dec 12 12:15:07 UTC 2025","passed","Fri Dec 12 12:15:08 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infDoubleUserEngine"
"","42","getTables(String, String, String, String, String, String) [30] {database}, %form%, %in%, VIEW, engines, tables","","Fri Dec 12 12:16:16 UTC 2025","passed","Fri Dec 12 12:16:16 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","37","getColumns(String, String, String, String, String, String) [28] {database}, information%, %in%, engine_name, information_schema.engines.engine_name, information_schema.engines.description","","Fri Dec 12 12:16:18 UTC 2025","passed","Fri Dec 12 12:16:18 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","71","getColumns(String, String, String, String, String, String) [8] {database}, information%, null, null, information_schema.columns.column_name, null","","Fri Dec 12 12:16:17 UTC 2025","passed","Fri Dec 12 12:16:17 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","37","getTables(String, String, String, String, String, String) [15] null, information_schema, null, VIEW, tables;columns, null","","Fri Dec 12 12:11:10 UTC 2025","passed","Fri Dec 12 12:11:10 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","28","nanFloatAsDoubleUserEngine(String) [2] select '+nan'::float","","Fri Dec 12 12:15:07 UTC 2025","passed","Fri Dec 12 12:15:07 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanFloatAsDoubleUserEngine"
"","34","nanFloatAsDoubleSystemEngine(String) [3] select '-nan'::float","","Fri Dec 12 12:15:08 UTC 2025","passed","Fri Dec 12 12:15:08 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanFloatAsDoubleSystemEngine"
"","32","infDoubleSystemEngine(String) [2] select '+inf'::double","","Fri Dec 12 12:15:08 UTC 2025","passed","Fri Dec 12 12:15:08 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infDoubleSystemEngine"
"","42","getTables(String, String, String, String, String, String) [11] null, public, null, TABLE;VIEW, integration_test, tables;columns;views","","Fri Dec 12 12:11:10 UTC 2025","passed","Fri Dec 12 12:11:10 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
