"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","cannotConnectToFireboltCoreWithInvalidUrl(String, String) [8] https://172.0.0.1:70000, Invalid URL format. URL must be in the form: <protocol>://<host>:<port>. The port value should be a positive integer between 1 and 65535. You have the port as:70000","","Thu Nov 06 00:47:54 UTC 2025","passed","Thu Nov 06 00:47:54 UTC 2025","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","cannotConnectToFireboltCoreWithInvalidUrl"
"","327","shouldUseTLS()","","Thu Nov 06 00:48:36 UTC 2025","passed","Thu Nov 06 00:48:37 UTC 2025","","integration.tests.client.TLSTest","integration.tests.client.TLSTest","shouldUseTLS"
"","21","mixedCaseSelect(String, String) [2] select 1 as ""lower"", 2 as ""UPPER"", 3 AS ""MiXeD"", lower,UPPER,MiXeD","","Thu Nov 06 00:48:20 UTC 2025","passed","Thu Nov 06 00:48:20 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","mixedCaseSelect"
"","19","shouldReturnTimestampFromTimestampTzWithTzWithHoursAndMinutes()","","Thu Nov 06 00:48:34 UTC 2025","passed","Thu Nov 06 00:48:34 UTC 2025","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldReturnTimestampFromTimestampTzWithTzWithHoursAndMinutes"
"","0","shouldFetchBooleanFromVariousObjects(Object, Object)","","Thu Nov 06 00:48:08 UTC 2025","skipped","Thu Nov 06 00:48:08 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchBooleanFromVariousObjects"
"","57","shouldInsertAndSelectStruct()","","Thu Nov 06 00:48:07 UTC 2025","passed","Thu Nov 06 00:48:07 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertAndSelectStruct"
"","4","nanDoubleUserEngine(String) [2] select '+nan'::double","","Thu Nov 06 00:48:09 UTC 2025","passed","Thu Nov 06 00:48:09 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanDoubleUserEngine"
"","3","nanDoubleUserEngine(String) [3] select '-nan'::double","","Thu Nov 06 00:48:09 UTC 2025","passed","Thu Nov 06 00:48:09 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanDoubleUserEngine"
"","17","getTables(String, String, String, String, String, String) [11] null, public, null, TABLE;VIEW, integration_test, tables;columns;views","","Thu Nov 06 00:48:05 UTC 2025","passed","Thu Nov 06 00:48:05 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","9","shouldRemoveOffsetDIffWhenTimestampOffsetHasChanged()","","Thu Nov 06 00:48:34 UTC 2025","passed","Thu Nov 06 00:48:34 UTC 2025","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldRemoveOffsetDIffWhenTimestampOffsetHasChanged"
"","13","shouldSendRequestWithUserAgentHeaderContainingDriverAndClientInfo()","","Thu Nov 06 00:48:37 UTC 2025","passed","Thu Nov 06 00:48:37 UTC 2025","","integration.tests.client.UsageTrackingTest","integration.tests.client.UsageTrackingTest","shouldSendRequestWithUserAgentHeaderContainingDriverAndClientInfo"
"","51","shouldFetchTimestampAndDate(Object, Object, boolean) [4] 2019-07-31 11:15:13.0, 2019-07-31, false","","Thu Nov 06 00:48:08 UTC 2025","passed","Thu Nov 06 00:48:08 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchTimestampAndDate"
"","4","nanRealUserEngine(String) [1] select 'nan'::real","","Thu Nov 06 00:48:09 UTC 2025","passed","Thu Nov 06 00:48:09 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanRealUserEngine"
"","5","nanFloatAsDoubleUserEngine(String) [3] select '-nan'::float","","Thu Nov 06 00:48:09 UTC 2025","passed","Thu Nov 06 00:48:09 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanFloatAsDoubleUserEngine"
"","50","emptyIntegerAndStringValues(PreparedStatementValueSetter) set OBJECT","","Thu Nov 06 00:48:05 UTC 2025","passed","Thu Nov 06 00:48:05 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","emptyIntegerAndStringValues"
"","4","nanRealUserEngine(String) [2] select '+nan'::real","","Thu Nov 06 00:48:09 UTC 2025","passed","Thu Nov 06 00:48:09 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanRealUserEngine"
"","39","shouldReturnFalseWhenExecutingMultiStatementWithFirstStatementNotReturningAResultSet()","","Thu Nov 06 00:48:30 UTC 2025","passed","Thu Nov 06 00:48:30 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldReturnFalseWhenExecutingMultiStatementWithFirstStatementNotReturningAResultSet"
"","181","canUsePreparedStatementsToInsertFalseValueInBooleanColumn()","","Thu Nov 06 00:48:37 UTC 2025","passed","Thu Nov 06 00:48:37 UTC 2025","","integration.tests.datatype.BooleanTest","integration.tests.datatype.BooleanTest","canUsePreparedStatementsToInsertFalseValueInBooleanColumn"
"","3","cannotConnectToFireboltCoreWithInvalidUrl(String, String) [5] http://172.0.0.1:-2, Invalid URL format. URL must be in the form: <protocol>://<host>:<port>. Invalid port number :-2","","Thu Nov 06 00:47:54 UTC 2025","passed","Thu Nov 06 00:47:54 UTC 2025","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","cannotConnectToFireboltCoreWithInvalidUrl"
"","22","shouldGetBooleans()","","Thu Nov 06 00:48:10 UTC 2025","passed","Thu Nov 06 00:48:10 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldGetBooleans"
"","3","nanRealUserEngine(String) [3] select '-nan'::real","","Thu Nov 06 00:48:09 UTC 2025","passed","Thu Nov 06 00:48:09 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanRealUserEngine"
"","62","connectToNotExistingDbInCore()","","Thu Nov 06 00:47:54 UTC 2025","passed","Thu Nov 06 00:47:54 UTC 2025","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","connectToNotExistingDbInCore"
"","46","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) getObject(i, java.util.Map.of(""long"", Integer.class)","","Thu Nov 06 00:48:08 UTC 2025","passed","Thu Nov 06 00:48:08 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertRecordsUsingDifferentNumericTypes"
"","35","doNotSupportStatements(String, String) [1] USE ENGINE ""test_engine"", USE ENGINE is not supported in Firebolt Core","","Thu Nov 06 00:48:09 UTC 2025","passed","Thu Nov 06 00:48:09 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","doNotSupportStatements"
"","64","shouldInsertAndSelectBlobClob()","","Thu Nov 06 00:48:08 UTC 2025","passed","Thu Nov 06 00:48:08 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertAndSelectBlobClob"
"","46","shouldFetchTimestampAndDate(Object, Object, boolean) [2] 2019-07-31 11:15:13.0, 2019-07-31, true","","Thu Nov 06 00:48:08 UTC 2025","passed","Thu Nov 06 00:48:08 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchTimestampAndDate"
"","29","shouldSelect1WithQueryTimeout()","","Thu Nov 06 00:48:09 UTC 2025","passed","Thu Nov 06 00:48:09 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldSelect1WithQueryTimeout"
"","17","getTables(String, String, String, String, String, String) [7] null, null, %test, null, integration_test, tables;columns;views","","Thu Nov 06 00:48:05 UTC 2025","passed","Thu Nov 06 00:48:05 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","9","shouldGetParsedTimeStampExtTimeObjects()","","Thu Nov 06 00:48:34 UTC 2025","passed","Thu Nov 06 00:48:34 UTC 2025","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldGetParsedTimeStampExtTimeObjects"
"","20","getTables(String, String, String, String, String, String) [9] null, information_schema, null, null, tables;columns, integration_test","","Thu Nov 06 00:48:05 UTC 2025","passed","Thu Nov 06 00:48:05 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","49","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) short","","Thu Nov 06 00:48:07 UTC 2025","passed","Thu Nov 06 00:48:07 UTC 2025","","integration.tests.PreparedStatementFbNumericTest","integration.tests.PreparedStatementFbNumericTest","shouldInsertRecordsUsingDifferentNumericTypes"
"","40","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) short","","Thu Nov 06 00:48:08 UTC 2025","passed","Thu Nov 06 00:48:08 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertRecordsUsingDifferentNumericTypes"
"","47","emptyIntAndStringValues(PreparedStatementValueSetter) set ARRAY","","Thu Nov 06 00:48:06 UTC 2025","passed","Thu Nov 06 00:48:06 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","emptyIntAndStringValues"
"","49","shouldFailAllPreparedStatementsFromBatchIfOneFails()","","Thu Nov 06 00:48:08 UTC 2025","passed","Thu Nov 06 00:48:08 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFailAllPreparedStatementsFromBatchIfOneFails"
"","26","shouldFetchSpecialCharacters()","","Thu Nov 06 00:48:08 UTC 2025","passed","Thu Nov 06 00:48:08 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchSpecialCharacters"
"","58","preparedStatementUsingDefaultNulls()","","Thu Nov 06 00:48:05 UTC 2025","passed","Thu Nov 06 00:48:05 UTC 2025","","integration.tests.NullableValuesTest","integration.tests.NullableValuesTest","preparedStatementUsingDefaultNulls"
"","23","shouldThrowExceptionWhenExecutingWrongQuery()","","Thu Nov 06 00:48:09 UTC 2025","passed","Thu Nov 06 00:48:09 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldThrowExceptionWhenExecutingWrongQuery"
"","29","shouldSetParametersWithRepeatingValues()","","Thu Nov 06 00:48:06 UTC 2025","passed","Thu Nov 06 00:48:06 UTC 2025","","integration.tests.PreparedStatementFbNumericTest","integration.tests.PreparedStatementFbNumericTest","shouldSetParametersWithRepeatingValues"
"","4","minusInfDoubleUserEngine(String) [1] select '-inf'::double","","Thu Nov 06 00:48:09 UTC 2025","passed","Thu Nov 06 00:48:09 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","minusInfDoubleUserEngine"
"","59","preparedStatementUsingExplicitTypedNulls()","","Thu Nov 06 00:48:05 UTC 2025","passed","Thu Nov 06 00:48:05 UTC 2025","","integration.tests.NullableValuesTest","integration.tests.NullableValuesTest","preparedStatementUsingExplicitTypedNulls"
"","32","maxFieldSize(int) [2] 3","","Thu Nov 06 00:48:09 UTC 2025","passed","Thu Nov 06 00:48:09 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","maxFieldSize"
"","35","shouldThrowExceptionWhenTryingToExecuteQueryThatWouldReturnMultipleResultSets()","","Thu Nov 06 00:48:09 UTC 2025","passed","Thu Nov 06 00:48:09 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldThrowExceptionWhenTryingToExecuteQueryThatWouldReturnMultipleResultSets"
"","45","integerAndStringValues(PreparedStatementValueSetter) set OBJECT","","Thu Nov 06 00:48:06 UTC 2025","passed","Thu Nov 06 00:48:06 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","integerAndStringValues"
"","42","shouldFailSQLInjectionAttempt()","","Thu Nov 06 00:48:07 UTC 2025","passed","Thu Nov 06 00:48:07 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFailSQLInjectionAttempt"
"","39","shouldReturnSchema()","","Thu Nov 06 00:48:04 UTC 2025","passed","Thu Nov 06 00:48:05 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","shouldReturnSchema"
"","182","shouldInsertAndRetrieveUrl()","","Thu Nov 06 00:48:06 UTC 2025","passed","Thu Nov 06 00:48:06 UTC 2025","","integration.tests.PreparedStatementFbNumericTest","integration.tests.PreparedStatementFbNumericTest","shouldInsertAndRetrieveUrl"
"","43","emptyIntAndStringValues(PreparedStatementValueSetter) set OBJECT","","Thu Nov 06 00:48:06 UTC 2025","passed","Thu Nov 06 00:48:06 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","emptyIntAndStringValues"
