"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","656","nullArrays(PreparedStatementValueSetter) set OBJECT","","Thu Nov 06 03:48:40 UTC 2025","passed","Thu Nov 06 03:48:41 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","nullArrays"
"","87","getColumns(String, String, String, String, String, String) [27] {database}, information_schema, %ac%, account_id, information_schema.accounts.account_id, information_schema.accounts.region","","Thu Nov 06 03:50:43 UTC 2025","passed","Thu Nov 06 03:50:43 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","78","nanDoubleSystemEngine(String) [1] select 'nan'::double","","Thu Nov 06 03:49:22 UTC 2025","passed","Thu Nov 06 03:49:22 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanDoubleSystemEngine"
"","77","infFloatAsDoubleUserEngine(String) [1] select 'inf'::float","","Thu Nov 06 03:49:21 UTC 2025","passed","Thu Nov 06 03:49:21 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infFloatAsDoubleUserEngine"
"","128","getColumns(String, String, String, String, String, String) [4] null, %schema, null, null, information_schema.columns.column_name, null","","Thu Nov 06 03:50:41 UTC 2025","passed","Thu Nov 06 03:50:41 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","699","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) int","","Thu Nov 06 03:49:12 UTC 2025","passed","Thu Nov 06 03:49:12 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertRecordsUsingDifferentNumericTypes"
"","123","getColumns(String, String, String, String, String, String) [8] {database}, information%, null, null, information_schema.columns.column_name, null","","Thu Nov 06 03:50:41 UTC 2025","passed","Thu Nov 06 03:50:41 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","78","nanRealSystemEngine(String) [1] select 'nan'::real","","Thu Nov 06 03:49:22 UTC 2025","passed","Thu Nov 06 03:49:22 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanRealSystemEngine"
"","85","getColumns(String, String, String, String, String, String) [23] null, information%, %in%, description, information_schema.engines.description, information_schema.engines.engine_name","","Thu Nov 06 03:50:43 UTC 2025","passed","Thu Nov 06 03:50:43 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","83","getTables(String, String, String, String, String, String) [10] {database}, %form%, null, null, tables, null","","Thu Nov 06 03:50:38 UTC 2025","passed","Thu Nov 06 03:50:38 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","614","nullArrays(PreparedStatementValueSetter) set ARRAY","","Thu Nov 06 03:48:40 UTC 2025","passed","Thu Nov 06 03:48:40 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","nullArrays"
"","363394","shouldExecuteRequestWithoutTimeoutV2()","","Thu Nov 06 03:52:33 UTC 2025","passed","Thu Nov 06 03:58:36 UTC 2025","","integration.tests.TimeoutTest","integration.tests.TimeoutTest","shouldExecuteRequestWithoutTimeoutV2"
"","77","minusInfDoubleUserEngine(String) [1] select '-inf'::double","","Thu Nov 06 03:49:21 UTC 2025","passed","Thu Nov 06 03:49:21 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","minusInfDoubleUserEngine"
"","85","getTables(String, String, String, String, String, String) [27] {database}, information_schema, %in%, VIEW, engines, tables","","Thu Nov 06 03:50:40 UTC 2025","passed","Thu Nov 06 03:50:40 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","76","nanFloatAsDoubleUserEngine(String) [2] select '+nan'::float","","Thu Nov 06 03:49:21 UTC 2025","passed","Thu Nov 06 03:49:21 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanFloatAsDoubleUserEngine"
"","82","getTables(String, String, String, String, String, String) [8] {database}, information%, null, null, tables, null","","Thu Nov 06 03:50:38 UTC 2025","passed","Thu Nov 06 03:50:38 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","101","getSchemas()","","Thu Nov 06 03:50:36 UTC 2025","passed","Thu Nov 06 03:50:36 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getSchemas"
"","84","getTables(String, String, String, String, String, String) [1] null, null, null, null, tables, null","","Thu Nov 06 03:50:37 UTC 2025","passed","Thu Nov 06 03:50:37 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","440","setWrongParameterOnSystemEngineForV2(String, String, String) [1] set foo=bar, query param not allowed: foo, 0","","Thu Nov 06 03:50:00 UTC 2025","passed","Thu Nov 06 03:50:00 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","setWrongParameterOnSystemEngineForV2"
"","158","shouldReturnTimestampFromTimestampTzWithTzWithHoursAndMinutes()","","Thu Nov 06 03:58:42 UTC 2025","passed","Thu Nov 06 03:58:42 UTC 2025","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldReturnTimestampFromTimestampTzWithTzWithHoursAndMinutes"
"","782","preparedStatementUsingStringValueContainsStringNull()","","Thu Nov 06 03:48:29 UTC 2025","passed","Thu Nov 06 03:48:30 UTC 2025","","integration.tests.NullableValuesTest","integration.tests.NullableValuesTest","preparedStatementUsingStringValueContainsStringNull"
"","85","getTables(String, String, String, String, String, String) [6] {database}, null, null, null, tables, null","","Thu Nov 06 03:50:38 UTC 2025","passed","Thu Nov 06 03:50:38 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","758","shouldFetchTimestampAndDate(Object, Object, boolean) [3] 2019-07-31T11:15:13, 2019-07-31, false","","Thu Nov 06 03:49:06 UTC 2025","passed","Thu Nov 06 03:49:06 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchTimestampAndDate"
"","774","shouldWorkWithPreparedStatements()","","Thu Nov 06 03:59:00 UTC 2025","passed","Thu Nov 06 03:59:01 UTC 2025","","integration.tests.TransactionTest","integration.tests.TransactionTest","shouldWorkWithPreparedStatements"
"","76","infRealSystemEngine(String) [1] select 'inf'::real","","Thu Nov 06 03:49:20 UTC 2025","passed","Thu Nov 06 03:49:20 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infRealSystemEngine"
"","179","getColumns(String, String, String, String, String, String) [5] null, %form%, null, null, information_schema.columns.column_name, null","","Thu Nov 06 03:50:41 UTC 2025","passed","Thu Nov 06 03:50:41 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
