"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3312","preparedStatementUsingDefaultNulls()","","Fri Nov 07 05:52:30 UTC 2025","passed","Fri Nov 07 05:52:34 UTC 2025","","integration.tests.NullableValuesTest","integration.tests.NullableValuesTest","preparedStatementUsingDefaultNulls"
"","0","shouldFetchBooleanFromVariousObjects(Object, Object)","","Fri Nov 07 05:54:29 UTC 2025","skipped","Fri Nov 07 05:54:29 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchBooleanFromVariousObjects"
"","1744","shouldFetchBoolean()","","Fri Nov 07 05:53:32 UTC 2025","passed","Fri Nov 07 05:53:33 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchBoolean"
"","267","shouldReturnSchema()","","Fri Nov 07 05:52:15 UTC 2025","passed","Fri Nov 07 05:52:15 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","shouldReturnSchema"
"","639","connectToNotExistingDbV1(EngineType) CUSTOM_ENGINE","","Fri Nov 07 05:52:10 UTC 2025","passed","Fri Nov 07 05:52:10 UTC 2025","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","connectToNotExistingDbV1"
"","268","shouldRemoveOffsetDIffWhenTimestampOffsetHasChangedCET()","","Fri Nov 07 06:03:26 UTC 2025","passed","Fri Nov 07 06:03:27 UTC 2025","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldRemoveOffsetDIffWhenTimestampOffsetHasChangedCET"
"","1804","byteaArray()","","Fri Nov 07 05:53:00 UTC 2025","passed","Fri Nov 07 05:53:02 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","byteaArray"
"","3927","unlimitedMaxFieldSize(int) [1] 0","","Fri Nov 07 05:54:55 UTC 2025","passed","Fri Nov 07 05:54:59 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","unlimitedMaxFieldSize"
"","1589","empty(String) query:--;","","Fri Nov 07 05:55:35 UTC 2025","passed","Fri Nov 07 05:55:37 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","empty"
"","80","nanRealUserEngine(String) [3] select '-nan'::real","","Fri Nov 07 05:54:32 UTC 2025","passed","Fri Nov 07 05:54:32 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanRealUserEngine"
"","1193","nullSortOrder()","","Fri Nov 07 05:56:08 UTC 2025","passed","Fri Nov 07 05:56:09 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","nullSortOrder"
