"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13","getTables(String, String, String, String, String, String) [15] null, information_schema, null, VIEW, tables;columns, null","","Wed Nov 12 10:59:38 UTC 2025","passed","Wed Nov 12 10:59:38 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","14","shouldRemoveOffsetDIffWhenTimestampOffsetHasChangedCET()","","Wed Nov 12 11:02:15 UTC 2025","passed","Wed Nov 12 11:02:15 UTC 2025","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldRemoveOffsetDIffWhenTimestampOffsetHasChangedCET"
"","62","shouldInsertAndSelectByteArray()","","Wed Nov 12 11:01:50 UTC 2025","passed","Wed Nov 12 11:01:50 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertAndSelectByteArray"
"","24","maxFieldSize(int) [4] 50","","Wed Nov 12 11:01:51 UTC 2025","passed","Wed Nov 12 11:01:51 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","maxFieldSize"
"","2","cannotConnectToFireboltCoreWithInvalidUrl(String, String) [10] http://mydomain.com, Invalid URL format. URL must be in the form: <protocol>://<host>:<port>. You must specify the port.","","Wed Nov 12 10:59:27 UTC 2025","passed","Wed Nov 12 10:59:27 UTC 2025","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","cannotConnectToFireboltCoreWithInvalidUrl"
"","21","shouldGetBooleans()","","Wed Nov 12 11:01:51 UTC 2025","passed","Wed Nov 12 11:01:51 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldGetBooleans"
"","18","shouldReturnTimestampFromTimestamptz()","","Wed Nov 12 11:02:15 UTC 2025","passed","Wed Nov 12 11:02:15 UTC 2025","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldReturnTimestampFromTimestamptz"
"","9","shouldHandleLargeDecimals()","","Wed Nov 12 10:59:38 UTC 2025","passed","Wed Nov 12 10:59:38 UTC 2025","","integration.tests.NumericTypesTest","integration.tests.NumericTypesTest","shouldHandleLargeDecimals"
"","59","shouldInsertAndSelectStruct()","","Wed Nov 12 10:59:40 UTC 2025","passed","Wed Nov 12 10:59:40 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertAndSelectStruct"
"","17","getTables(String, String, String, String, String, String) [2] null, null, null, TABLE;VIEW, tables;views;integration_test, null","","Wed Nov 12 10:59:38 UTC 2025","passed","Wed Nov 12 10:59:38 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","4","nanDoubleUserEngine(String) [3] select '-nan'::double","","Wed Nov 12 11:01:50 UTC 2025","passed","Wed Nov 12 11:01:50 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanDoubleUserEngine"
"","4","infRealUserEngine(String) [2] select '+inf'::real","","Wed Nov 12 11:01:50 UTC 2025","passed","Wed Nov 12 11:01:50 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infRealUserEngine"
"","21","getTables(String, String, String, String, String, String) [10] null, public, null, TABLE, integration_test, tables;columns;views","","Wed Nov 12 10:59:38 UTC 2025","passed","Wed Nov 12 10:59:38 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","10","shouldHaveCorrectInfo()","","Wed Nov 12 10:59:38 UTC 2025","passed","Wed Nov 12 10:59:38 UTC 2025","","integration.tests.NumericTypesTest","integration.tests.NumericTypesTest","shouldHaveCorrectInfo"
"","49","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) getObject(Long.class)","","Wed Nov 12 11:01:42 UTC 2025","passed","Wed Nov 12 11:01:42 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertRecordsUsingDifferentNumericTypes"
"","7","shouldGetTimeObjectsInDefaultUTCTimezone()","","Wed Nov 12 11:02:15 UTC 2025","passed","Wed Nov 12 11:02:15 UTC 2025","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldGetTimeObjectsInDefaultUTCTimezone"
"","3","nanFloatAsDoubleUserEngine(String) [3] select '-nan'::float","","Wed Nov 12 11:01:50 UTC 2025","passed","Wed Nov 12 11:01:50 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanFloatAsDoubleUserEngine"
