"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","47","minusInfDoubleUserEngine(String) [1] select '-inf'::double","","Wed Feb 11 06:33:25 UTC 2026","passed","Wed Feb 11 06:33:25 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","minusInfDoubleUserEngine"
"","4018","shouldInsertAndSelectStreams()","","Wed Feb 11 06:32:51 UTC 2026","passed","Wed Feb 11 06:32:55 UTC 2026","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertAndSelectStreams"
"","2298","empty(String) query:;","","Wed Feb 11 06:34:36 UTC 2026","passed","Wed Feb 11 06:34:38 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","empty"
"","49","nanFloatUserEngine(String) [1] select 'nan'::float","","Wed Feb 11 06:33:25 UTC 2026","passed","Wed Feb 11 06:33:25 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanFloatUserEngine"
"","48","nanRealUserEngine(String) [2] select '+nan'::real","","Wed Feb 11 06:33:25 UTC 2026","passed","Wed Feb 11 06:33:25 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanRealUserEngine"
"","153","getTables(String, String, String, String, String, String) [6] null, null, %account%, null, accounts;service_accounts, tables;columns;views","","Wed Feb 11 06:31:29 UTC 2026","passed","Wed Feb 11 06:31:29 UTC 2026","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","2960","integerAndStringValues(PreparedStatementValueSetter) set OBJECT","","Wed Feb 11 06:32:05 UTC 2026","passed","Wed Feb 11 06:32:08 UTC 2026","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","integerAndStringValues"
"","47","nanDoubleUserEngine(String) [1] select 'nan'::double","","Wed Feb 11 06:33:24 UTC 2026","passed","Wed Feb 11 06:33:25 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanDoubleUserEngine"
"","4632","nullableBiDimensionalArray()","","Wed Feb 11 06:32:19 UTC 2026","passed","Wed Feb 11 06:32:24 UTC 2026","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","nullableBiDimensionalArray"
"","2491","nullArrays(PreparedStatementValueSetter) set ARRAY","","Wed Feb 11 06:32:14 UTC 2026","passed","Wed Feb 11 06:32:17 UTC 2026","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","nullArrays"
"","3002","integerAndStringValues(PreparedStatementValueSetter) set ARRAY","","Wed Feb 11 06:32:02 UTC 2026","passed","Wed Feb 11 06:32:05 UTC 2026","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","integerAndStringValues"
"","2464","empty(String) query:/* {""app"": ""dbt"", ""dbt_version"": ""0.20.0"", ""profile_name"": ""jaffle_shop"", ""target_name"": ""fb_app"", ""connection_name"": ""macro_stage_external_sources""} */;","","Wed Feb 11 06:34:45 UTC 2026","passed","Wed Feb 11 06:34:48 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","empty"
"","2834","shouldInsertAndSelectDateTime()","","Wed Feb 11 06:32:31 UTC 2026","passed","Wed Feb 11 06:32:34 UTC 2026","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertAndSelectDateTime"
"","2414","shouldThrowExceptionWhenTryingToExecuteQueryThatWouldReturnMultipleResultSets()","","Wed Feb 11 06:34:18 UTC 2026","passed","Wed Feb 11 06:34:21 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","shouldThrowExceptionWhenTryingToExecuteQueryThatWouldReturnMultipleResultSets"
"","215","shouldReturnTimestampFromTimestampTzWithTzWithHoursAndMinutesAndSecondsWhenUsingTime_ZoneSetting()","","Wed Feb 11 06:42:39 UTC 2026","passed","Wed Feb 11 06:42:39 UTC 2026","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldReturnTimestampFromTimestampTzWithTzWithHoursAndMinutesAndSecondsWhenUsingTime_ZoneSetting"
"","48","nanRealUserEngine(String) [3] select '-nan'::real","","Wed Feb 11 06:33:25 UTC 2026","passed","Wed Feb 11 06:33:25 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanRealUserEngine"
"","51","infRealUserEngine(String) [1] select 'inf'::real","","Wed Feb 11 06:33:25 UTC 2026","passed","Wed Feb 11 06:33:25 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infRealUserEngine"
"","2780","intAndStringValues(PreparedStatementValueSetter) set OBJECT","","Wed Feb 11 06:31:48 UTC 2026","passed","Wed Feb 11 06:31:51 UTC 2026","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","intAndStringValues"
"","159","successfulConnectV1(boolean, boolean) using db:true engine:true","","Wed Feb 11 06:31:27 UTC 2026","passed","Wed Feb 11 06:31:27 UTC 2026","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","successfulConnectV1"
