"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10238","successfulConnectWithoutStartingTheEngine()","","Wed Nov 05 15:27:18 UTC 2025","passed","Wed Nov 05 15:27:28 UTC 2025","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","successfulConnectWithoutStartingTheEngine"
"","454","setWrongParameterOnSystemEngineForV2(String, String, String) [2] set foo=bar, Unknown setting foo, 1","","Wed Nov 05 15:29:28 UTC 2025","passed","Wed Nov 05 15:29:29 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","setWrongParameterOnSystemEngineForV2"
"","48","successfulConnect(boolean, boolean) V2 using db:true engine:false","","Wed Nov 05 15:27:07 UTC 2025","passed","Wed Nov 05 15:27:07 UTC 2025","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","successfulConnect"
"","56","getTables(String, String, String, String, String, String) [4] null, null, null, TABLE, integration_test, views;tables","","Wed Nov 05 15:27:29 UTC 2025","passed","Wed Nov 05 15:27:29 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","1532","shouldFailSQLInjectionAttempt()","","Wed Nov 05 15:28:05 UTC 2025","passed","Wed Nov 05 15:28:06 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFailSQLInjectionAttempt"
"","49","nanDoubleUserEngine(String) [3] select '-nan'::double","","Wed Nov 05 15:28:34 UTC 2025","passed","Wed Nov 05 15:28:34 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanDoubleUserEngine"
"","306","shouldUseTLS()","","Wed Nov 05 15:38:59 UTC 2025","passed","Wed Nov 05 15:38:59 UTC 2025","","integration.tests.client.TLSTest","integration.tests.client.TLSTest","shouldUseTLS"
"","987","canUseTimestampParameterWithSqlType()","","Wed Nov 05 15:28:06 UTC 2025","passed","Wed Nov 05 15:28:07 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","canUseTimestampParameterWithSqlType"
"","2908","useDatabase(String) [1] ","","Wed Nov 05 15:30:53 UTC 2025","passed","Wed Nov 05 15:30:56 UTC 2025","","integration.tests.SystemEngineTest","integration.tests.SystemEngineTest","useDatabase"
"","142","getTables(String, String, String, String, String, String) [13] null, information_schema, null, TABLE, null, integration_test","","Wed Nov 05 15:27:30 UTC 2025","passed","Wed Nov 05 15:27:30 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","798","emptyIntegerAndStringValues(PreparedStatementValueSetter) set OBJECT","","Wed Nov 05 15:27:38 UTC 2025","passed","Wed Nov 05 15:27:39 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","emptyIntegerAndStringValues"
"","51","infDoubleSystemEngine(String) [1] select 'inf'::double","","Wed Nov 05 15:28:36 UTC 2025","passed","Wed Nov 05 15:28:36 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infDoubleSystemEngine"
"","54","getSchemasInformationSchema(String, String, String) [9] {database}, %schema, information_schema","","Wed Nov 05 15:30:15 UTC 2025","passed","Wed Nov 05 15:30:15 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getSchemasInformationSchema"
"","1385","validatesOnSystemEngineIfParameterProvided()","","Wed Nov 05 15:27:04 UTC 2025","passed","Wed Nov 05 15:27:06 UTC 2025","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","validatesOnSystemEngineIfParameterProvided"
"","109","nanDoubleSystemEngine(String) [2] select '+nan'::double","","Wed Nov 05 15:28:36 UTC 2025","passed","Wed Nov 05 15:28:36 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanDoubleSystemEngine"
"","122","getColumns(String, String, String, String, String, String) [15] null, %form%, %in%, null, information_schema.engines.engine_name, information_schema.tables.table_name","","Wed Nov 05 15:30:19 UTC 2025","passed","Wed Nov 05 15:30:20 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","539","shouldNotCommitTransactionWhenConnectionClosesOnAutoCommitFalse()","","Wed Nov 05 15:38:49 UTC 2025","passed","Wed Nov 05 15:38:49 UTC 2025","","integration.tests.TransactionTest","integration.tests.TransactionTest","shouldNotCommitTransactionWhenConnectionClosesOnAutoCommitFalse"
"","49","minusInfRealSystemEngine(String) [1] select '-inf'::real","","Wed Nov 05 15:28:35 UTC 2025","passed","Wed Nov 05 15:28:36 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","minusInfRealSystemEngine"
"","53","getColumns(String, String, String, String, String, String) [22] null, information_schema, %in%, last_altered, information_schema.engines.last_altered, information_schema.engines.engine_name","","Wed Nov 05 15:30:20 UTC 2025","passed","Wed Nov 05 15:30:20 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","134","infRealSystemEngine(String) [1] select 'inf'::real","","Wed Nov 05 15:28:34 UTC 2025","passed","Wed Nov 05 15:28:34 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infRealSystemEngine"
"","52","getColumns(String, String, String, String, String, String) [26] {database}, null, %in%, table_catalog, information_schema.indexes.table_catalog, information_schema.indexes.table_schema","","Wed Nov 05 15:30:20 UTC 2025","passed","Wed Nov 05 15:30:20 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","688","shouldWorkWithPreparedStatements()","","Wed Nov 05 15:38:58 UTC 2025","passed","Wed Nov 05 15:38:58 UTC 2025","","integration.tests.TransactionTest","integration.tests.TransactionTest","shouldWorkWithPreparedStatements"
"","55","getColumns(String, String, String, String, String, String) [23] null, information%, %in%, description, information_schema.engines.description, information_schema.engines.engine_name","","Wed Nov 05 15:30:20 UTC 2025","passed","Wed Nov 05 15:30:20 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","504","shouldSetParametersWithRepeatingValues()","","Wed Nov 05 15:27:48 UTC 2025","passed","Wed Nov 05 15:27:49 UTC 2025","","integration.tests.PreparedStatementFbNumericTest","integration.tests.PreparedStatementFbNumericTest","shouldSetParametersWithRepeatingValues"
"","1182","unlimitedMaxFieldSize(int) [1] 0","","Wed Nov 05 15:29:11 UTC 2025","passed","Wed Nov 05 15:29:12 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","unlimitedMaxFieldSize"
"","56","getTables(String, String, String, String, String, String) [8] null, public, null, null, integration_test, tables;columns;views","","Wed Nov 05 15:27:29 UTC 2025","passed","Wed Nov 05 15:27:30 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","52","nanFloatAsDoubleSystemEngine(String) [2] select '+nan'::float","","Wed Nov 05 15:28:36 UTC 2025","passed","Wed Nov 05 15:28:36 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanFloatAsDoubleSystemEngine"
"","489","failedSettingPropertyThatRequiresAdvancedModeThatWasNotSet()","","Wed Nov 05 15:29:29 UTC 2025","passed","Wed Nov 05 15:29:29 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","failedSettingPropertyThatRequiresAdvancedModeThatWasNotSet"
"","54","getTables(String, String, String, String, String, String) [9] null, information_schema, null, null, tables;columns, integration_test","","Wed Nov 05 15:27:30 UTC 2025","passed","Wed Nov 05 15:27:30 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","60","shouldReturnColumns()","","Wed Nov 05 15:27:30 UTC 2025","passed","Wed Nov 05 15:27:30 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","shouldReturnColumns"
"","1163","failedSettingPropertyThatRequiresAdvancedModeThatWasUnset()","","Wed Nov 05 15:29:20 UTC 2025","passed","Wed Nov 05 15:29:22 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","failedSettingPropertyThatRequiresAdvancedModeThatWasUnset"
