"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21","getSchemasInformationSchema(String, String, String) [9] {database}, %schema, information_schema","","Mon Nov 24 14:39:20 UTC 2025","passed","Mon Nov 24 14:39:20 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getSchemasInformationSchema"
"","415","shouldWorkWithPreparedStatements()","","Mon Nov 24 14:47:35 UTC 2025","passed","Mon Nov 24 14:47:35 UTC 2025","","integration.tests.TransactionTest","integration.tests.TransactionTest","shouldWorkWithPreparedStatements"
"","672","shouldParReplaceParamMarkersInMultistatementStatement()","","Mon Nov 24 14:38:06 UTC 2025","passed","Mon Nov 24 14:38:07 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldParReplaceParamMarkersInMultistatementStatement"
"","1470","executeCancelServerSideAsyncQueryAfterQueryHasFinishedTest()","","Mon Nov 24 14:36:21 UTC 2025","passed","Mon Nov 24 14:36:22 UTC 2025","","integration.tests.AsyncQueryTest","integration.tests.AsyncQueryTest","executeCancelServerSideAsyncQueryAfterQueryHasFinishedTest"
"","606","shouldInsertAndRetrieveUrl()","","Mon Nov 24 14:38:05 UTC 2025","passed","Mon Nov 24 14:38:05 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertAndRetrieveUrl"
"","29","getColumns(String, String, String, String, String, String) [13] null, information%, %in%, null, information_schema.engines.engine_name, information_schema.tables.table_name","","Mon Nov 24 14:39:21 UTC 2025","passed","Mon Nov 24 14:39:21 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","101","getTables(String, String, String, String, String, String) [8] null, public, null, null, integration_test, tables;columns;views","","Mon Nov 24 14:37:41 UTC 2025","passed","Mon Nov 24 14:37:41 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","10269","willUseRandomQueryLabelIfNoneExplicitlySet()","","Mon Nov 24 14:39:07 UTC 2025","passed","Mon Nov 24 14:39:17 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","willUseRandomQueryLabelIfNoneExplicitlySet"
"","401","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) short","","Mon Nov 24 14:38:11 UTC 2025","passed","Mon Nov 24 14:38:12 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertRecordsUsingDifferentNumericTypes"
"","17","successfulConnect(boolean, boolean) V2 using db:true engine:false","","Mon Nov 24 14:37:20 UTC 2025","passed","Mon Nov 24 14:37:20 UTC 2025","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","successfulConnect"
"","389","shouldInsertAndSelectDateTime()","","Mon Nov 24 14:38:05 UTC 2025","passed","Mon Nov 24 14:38:06 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertAndSelectDateTime"
"","20","getTables(String, String, String, String, String, String) [15] null, %form%, %in%, null, engines, tables","","Mon Nov 24 14:39:20 UTC 2025","passed","Mon Nov 24 14:39:20 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","307","shouldUseTLS()","","Mon Nov 24 14:47:35 UTC 2025","passed","Mon Nov 24 14:47:36 UTC 2025","","integration.tests.client.TLSTest","integration.tests.client.TLSTest","shouldUseTLS"
"","42","shouldThrowExceptionOn400WithoutRetry()","","Mon Nov 24 14:47:35 UTC 2025","passed","Mon Nov 24 14:47:35 UTC 2025","","integration.tests.client.RetryPolicyTest","integration.tests.client.RetryPolicyTest","shouldThrowExceptionOn400WithoutRetry"
"","344","shouldNotCommitTransactionWhenConnectionClosesOnAutoCommitFalse()","","Mon Nov 24 14:47:30 UTC 2025","passed","Mon Nov 24 14:47:30 UTC 2025","","integration.tests.TransactionTest","integration.tests.TransactionTest","shouldNotCommitTransactionWhenConnectionClosesOnAutoCommitFalse"
"","15","infRealUserEngine(String) [1] select 'inf'::real","","Mon Nov 24 14:38:17 UTC 2025","passed","Mon Nov 24 14:38:17 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infRealUserEngine"
"","449","willFailToSetTheBooleanValue()","","Mon Nov 24 14:47:37 UTC 2025","passed","Mon Nov 24 14:47:38 UTC 2025","","integration.tests.datatype.BooleanTest","integration.tests.datatype.BooleanTest","willFailToSetTheBooleanValue"
"","20","getTables(String, String, String, String, String, String) [3] null, information%, null, null, tables, null","","Mon Nov 24 14:39:20 UTC 2025","passed","Mon Nov 24 14:39:20 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","81","shouldThrowExceptionWhenExecutingWrongQuery()","","Mon Nov 24 14:40:17 UTC 2025","passed","Mon Nov 24 14:40:17 UTC 2025","","integration.tests.SystemEngineTest","integration.tests.SystemEngineTest","shouldThrowExceptionWhenExecutingWrongQuery"
"","45","shouldReturnTimestampFromTimestamptz()","","Mon Nov 24 14:47:22 UTC 2025","passed","Mon Nov 24 14:47:22 UTC 2025","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldReturnTimestampFromTimestamptz"
"","502","preparedStatementUsingStringValueContainsStringNull()","","Mon Nov 24 14:37:46 UTC 2025","passed","Mon Nov 24 14:37:46 UTC 2025","","integration.tests.NullableValuesTest","integration.tests.NullableValuesTest","preparedStatementUsingStringValueContainsStringNull"
"","273","cannotChangeToDatabaseThatDoesNotExist()","","Mon Nov 24 14:38:50 UTC 2025","passed","Mon Nov 24 14:38:51 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","cannotChangeToDatabaseThatDoesNotExist"
