"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1848","shouldInsertAndSelectDateTime()","","Fri Dec 12 06:02:21 UTC 2025","passed","Fri Dec 12 06:02:23 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertAndSelectDateTime"
"","239","shouldUseTLS()","","Fri Dec 12 06:11:51 UTC 2025","passed","Fri Dec 12 06:11:51 UTC 2025","","integration.tests.client.TLSTest","integration.tests.client.TLSTest","shouldUseTLS"
"","1745","unlimitedMaxFieldSize(int) [2] -1","","Fri Dec 12 06:03:28 UTC 2025","passed","Fri Dec 12 06:03:30 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","unlimitedMaxFieldSize"
"","144","shouldRemoveOffsetDIffWhenTimestampOffsetHasChangedCET()","","Fri Dec 12 06:11:48 UTC 2025","passed","Fri Dec 12 06:11:48 UTC 2025","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldRemoveOffsetDIffWhenTimestampOffsetHasChangedCET"
"","746","shouldThrowExceptionWhenTryingToReuseStatementClosedOnCompletion()","","Fri Dec 12 06:03:34 UTC 2025","passed","Fri Dec 12 06:03:34 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldThrowExceptionWhenTryingToReuseStatementClosedOnCompletion"
"","1852","maxFieldSize(int) [4] 50","","Fri Dec 12 06:03:54 UTC 2025","passed","Fri Dec 12 06:03:56 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","maxFieldSize"
"","138","getTables(String, String, String, String, String, String) [12] null, public, null, VIEW, null, tables;columns;views","","Fri Dec 12 06:01:34 UTC 2025","passed","Fri Dec 12 06:01:34 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","106","shouldHandleLargeDecimals()","","Fri Dec 12 06:01:45 UTC 2025","passed","Fri Dec 12 06:01:45 UTC 2025","","integration.tests.NumericTypesTest","integration.tests.NumericTypesTest","shouldHandleLargeDecimals"
"","0","shouldFetchBooleanFromVariousObjects(Object, Object)","","Fri Dec 12 06:03:04 UTC 2025","skipped","Fri Dec 12 06:03:04 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchBooleanFromVariousObjects"
"","2835","shouldReturnLimitedNumberOfLines()","","Fri Dec 12 06:03:40 UTC 2025","passed","Fri Dec 12 06:03:42 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldReturnLimitedNumberOfLines"
"","1825","setCorrectThenWrongParameterOnSystemEngine()","","Fri Dec 12 06:03:36 UTC 2025","passed","Fri Dec 12 06:03:38 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","setCorrectThenWrongParameterOnSystemEngine"
"","2265","integerAndStringValues(PreparedStatementValueSetter) set ARRAY","","Fri Dec 12 06:01:57 UTC 2025","passed","Fri Dec 12 06:01:59 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","integerAndStringValues"
"","49","infRealUserEngine(String) [1] select 'inf'::real","","Fri Dec 12 06:03:08 UTC 2025","passed","Fri Dec 12 06:03:08 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infRealUserEngine"
"","139","shouldGetParsedTimeStampExtTimeObjects()","","Fri Dec 12 06:11:48 UTC 2025","passed","Fri Dec 12 06:11:48 UTC 2025","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldGetParsedTimeStampExtTimeObjects"
"","2090","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) byte","","Fri Dec 12 06:02:43 UTC 2025","passed","Fri Dec 12 06:02:45 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertRecordsUsingDifferentNumericTypes"
