"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","459","shouldInsertAndSelectStruct()","","Wed Dec 10 04:18:57 UTC 2025","passed","Wed Dec 10 04:18:57 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertAndSelectStruct"
"","37","shouldReturnTimestampFromTimestampTzWithTzWithHoursAndMinutesWhenUsingTime_ZoneSettings()","","Wed Dec 10 04:30:44 UTC 2025","passed","Wed Dec 10 04:30:44 UTC 2025","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldReturnTimestampFromTimestampTzWithTzWithHoursAndMinutesWhenUsingTime_ZoneSettings"
"","5380","executeServerSideAsyncTest()","","Wed Dec 10 04:11:46 UTC 2025","passed","Wed Dec 10 04:11:52 UTC 2025","","integration.tests.AsyncQueryTest","integration.tests.AsyncQueryTest","executeServerSideAsyncTest"
"","404","shouldNotCommitTransactionWhenConnectionClosesOnAutoCommitFalse()","","Wed Dec 10 04:30:52 UTC 2025","passed","Wed Dec 10 04:30:52 UTC 2025","","integration.tests.TransactionTest","integration.tests.TransactionTest","shouldNotCommitTransactionWhenConnectionClosesOnAutoCommitFalse"
"","281","successfulSettingOfPropertyThatRequiresAdvancedModePreviouslySetAtRuntime()","","Wed Dec 10 04:19:43 UTC 2025","passed","Wed Dec 10 04:19:43 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","successfulSettingOfPropertyThatRequiresAdvancedModePreviouslySetAtRuntime"
"","335","emptyIntAndStringValues(PreparedStatementValueSetter) set OBJECT","","Wed Dec 10 04:18:47 UTC 2025","passed","Wed Dec 10 04:18:47 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","emptyIntAndStringValues"
"","62","getColumns(String, String, String, String, String, String) [2] null, information_schema, null, null, information_schema.columns.column_name, null","","Wed Dec 10 04:20:17 UTC 2025","passed","Wed Dec 10 04:20:17 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","0","canInsertBigDecimalUsingPreparedStatement()","","Wed Dec 10 04:30:59 UTC 2025","skipped","Wed Dec 10 04:30:59 UTC 2025","","integration.tests.datatype.BigDecimalTest","integration.tests.datatype.BigDecimalTest","canInsertBigDecimalUsingPreparedStatement"
"","25","getTables(String, String, String, String, String, String) [9] null, information_schema, null, null, tables;columns, integration_test","","Wed Dec 10 04:15:12 UTC 2025","passed","Wed Dec 10 04:15:12 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","24","getTables(String, String, String, String, String, String) [12] null, public, null, VIEW, null, tables;columns;views","","Wed Dec 10 04:15:12 UTC 2025","passed","Wed Dec 10 04:15:12 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","601","shouldParReplaceParamMarkersInMultistatementStatement()","","Wed Dec 10 04:18:59 UTC 2025","passed","Wed Dec 10 04:19:00 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldParReplaceParamMarkersInMultistatementStatement"
"","236","unlimitedMaxFieldSize(int) [2] -1","","Wed Dec 10 04:19:40 UTC 2025","passed","Wed Dec 10 04:19:41 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","unlimitedMaxFieldSize"
"","371","shouldSelect1WithEngine()","","Wed Dec 10 04:20:01 UTC 2025","passed","Wed Dec 10 04:20:02 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldSelect1WithEngine"
"","1845","whenCommitFailsTheNextRunOnTheSameTransactionWillFailIfRollbackIsNotExecuted()","","Wed Dec 10 04:30:46 UTC 2025","passed","Wed Dec 10 04:30:48 UTC 2025","","integration.tests.TransactionTest","integration.tests.TransactionTest","whenCommitFailsTheNextRunOnTheSameTransactionWillFailIfRollbackIsNotExecuted"
"","29","getTables(String, String, String, String, String, String) [1] null, null, null, null, tables;views;integration_test, null","","Wed Dec 10 04:15:11 UTC 2025","passed","Wed Dec 10 04:15:11 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","272","maxFieldSize(int) [3] 5","","Wed Dec 10 04:19:45 UTC 2025","passed","Wed Dec 10 04:19:45 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","maxFieldSize"
"","58","getColumns(String, String, String, String, String, String) [5] null, %form%, null, null, information_schema.columns.column_name, null","","Wed Dec 10 04:20:17 UTC 2025","passed","Wed Dec 10 04:20:17 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","429","shouldFetchTimestampWithTimezone()","","Wed Dec 10 04:19:09 UTC 2025","passed","Wed Dec 10 04:19:09 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchTimestampWithTimezone"
"","27","getTables(String, String, String, String, String, String) [2] null, information_schema, null, null, tables, null","","Wed Dec 10 04:20:16 UTC 2025","passed","Wed Dec 10 04:20:16 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","400","canUseTimestampParameterWithSqlType()","","Wed Dec 10 04:18:58 UTC 2025","passed","Wed Dec 10 04:18:58 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","canUseTimestampParameterWithSqlType"
"","211","shouldThrowExceptionWhenStartingTransactionDuringTransaction()","","Wed Dec 10 04:30:50 UTC 2025","passed","Wed Dec 10 04:30:50 UTC 2025","","integration.tests.TransactionTest","integration.tests.TransactionTest","shouldThrowExceptionWhenStartingTransactionDuringTransaction"
"","26","getTables(String, String, String, String, String, String) [2] null, null, null, TABLE;VIEW, tables;views;integration_test, null","","Wed Dec 10 04:15:11 UTC 2025","passed","Wed Dec 10 04:15:12 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
