"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","490","successfulSettingOfPropertyThatRequiresAdvancedModePreviouslySetAtRuntime()","","Fri Jul 03 05:05:23 UTC 2026","passed","Fri Jul 03 05:05:23 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","successfulSettingOfPropertyThatRequiresAdvancedModePreviouslySetAtRuntime"
"","10223","successfulConnectWithoutStartingTheEngine()","","Fri Jul 03 05:03:28 UTC 2026","passed","Fri Jul 03 05:03:38 UTC 2026","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","successfulConnectWithoutStartingTheEngine"
"","73","getTables(String, String, String, String, String, String) [32] null, null, %in%, VIEW;TABLE, engines, tables","","Fri Jul 03 05:06:06 UTC 2026","passed","Fri Jul 03 05:06:07 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","656","shouldFailAllPreparedStatementsFromBatchIfOneFails()","","Fri Jul 03 05:04:30 UTC 2026","passed","Fri Jul 03 05:04:30 UTC 2026","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFailAllPreparedStatementsFromBatchIfOneFails"
"","477","shouldSelect1WithEngine()","","Fri Jul 03 05:05:46 UTC 2026","passed","Fri Jul 03 05:05:46 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","shouldSelect1WithEngine"
"","759","canUseTimestampParameterWithSqlType()","","Fri Jul 03 05:04:26 UTC 2026","passed","Fri Jul 03 05:04:27 UTC 2026","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","canUseTimestampParameterWithSqlType"
"","70","getColumns(String, String, String, String, String, String) [29] {database}, %schema, %in%, region, information_schema.engines.region, information_schema.engines.status","","Fri Jul 03 05:06:09 UTC 2026","passed","Fri Jul 03 05:06:09 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","428","failedSettingPropertyThatRequiresAdvancedModeThatWasNotSet()","","Fri Jul 03 05:05:29 UTC 2026","passed","Fri Jul 03 05:05:29 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","failedSettingPropertyThatRequiresAdvancedModeThatWasNotSet"
"","839","mixedCaseTable(String, String, String, String) [1] CREATE FACT TABLE Case_Test (x long), case_test, Case_Test, case_test","","Fri Jul 03 05:06:00 UTC 2026","passed","Fri Jul 03 05:06:00 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","mixedCaseTable"
"","427","maxFieldSize(int) [3] 5","","Fri Jul 03 05:05:26 UTC 2026","passed","Fri Jul 03 05:05:26 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","maxFieldSize"
"","116","getColumns(String, String, String, String, String, String) [8] {database}, information%, null, null, information_schema.columns.column_name, null","","Fri Jul 03 05:06:08 UTC 2026","passed","Fri Jul 03 05:06:08 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","159","shouldHandleLargeDecimals()","","Fri Jul 03 05:03:48 UTC 2026","passed","Fri Jul 03 05:03:48 UTC 2026","","integration.tests.NumericTypesTest","integration.tests.NumericTypesTest","shouldHandleLargeDecimals"
"","866","shouldInsertAndSelectStruct()","","Fri Jul 03 05:04:25 UTC 2026","passed","Fri Jul 03 05:04:25 UTC 2026","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertAndSelectStruct"
"","69","getSchemasInformationSchema(String, String, String) [11] wrong_catalog, null, null","","Fri Jul 03 05:06:04 UTC 2026","passed","Fri Jul 03 05:06:04 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getSchemasInformationSchema"
"","429","setWrongParameterOnSystemEngineOnUserEngine()","","Fri Jul 03 05:05:58 UTC 2026","passed","Fri Jul 03 05:05:58 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","setWrongParameterOnSystemEngineOnUserEngine"
"","441","maxFieldSize(int) [1] 1","","Fri Jul 03 05:05:25 UTC 2026","passed","Fri Jul 03 05:05:25 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","maxFieldSize"
"","28325","shouldCancelQueryV2()","","Fri Jul 03 05:04:49 UTC 2026","passed","Fri Jul 03 05:05:17 UTC 2026","","integration.tests.StatementCancelTest","integration.tests.StatementCancelTest","shouldCancelQueryV2"
"","490","shouldReuseStatementWhenNotCloseOnCompletion()","","Fri Jul 03 05:05:59 UTC 2026","passed","Fri Jul 03 05:05:59 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","shouldReuseStatementWhenNotCloseOnCompletion"
"","473","caseInsensitiveGetter()","","Fri Jul 03 05:05:22 UTC 2026","passed","Fri Jul 03 05:05:23 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","caseInsensitiveGetter"
"","606","shouldNotCloseStatementWithCloseOnCompletionIfItHasMoreResults()","","Fri Jul 03 05:06:01 UTC 2026","passed","Fri Jul 03 05:06:02 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","shouldNotCloseStatementWithCloseOnCompletionIfItHasMoreResults"
"","1569","shouldCompareAllTimeStampsWithMultipleThreads()","","Fri Jul 03 05:13:37 UTC 2026","passed","Fri Jul 03 05:13:38 UTC 2026","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldCompareAllTimeStampsWithMultipleThreads"
"","365488","shouldExecuteRequestWithoutTimeoutV2()","","Fri Jul 03 05:07:26 UTC 2026","passed","Fri Jul 03 05:13:32 UTC 2026","","integration.tests.TimeoutTest","integration.tests.TimeoutTest","shouldExecuteRequestWithoutTimeoutV2"
"","73","getTables(String, String, String, String, String, String) [13] null, information%, %in%, null, engines, tables","","Fri Jul 03 05:06:05 UTC 2026","passed","Fri Jul 03 05:06:05 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","70","getTables(String, String, String, String, String, String) [5] null, null, null, VIEW, views;tables, integration_test","","Fri Jul 03 05:03:39 UTC 2026","passed","Fri Jul 03 05:03:39 UTC 2026","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","69","getTables(String, String, String, String, String, String) [7] {database}, information_schema, null, null, tables, null","","Fri Jul 03 05:06:05 UTC 2026","passed","Fri Jul 03 05:06:05 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","423","setWrongParameterOnUserEngineForV2()","","Fri Jul 03 05:05:27 UTC 2026","passed","Fri Jul 03 05:05:28 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","setWrongParameterOnUserEngineForV2"
"","69","getTables(String, String, String, String, String, String) [23] null, information%, %in%, VIEW, engines, tables","","Fri Jul 03 05:06:06 UTC 2026","passed","Fri Jul 03 05:06:06 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","61","infDoubleUserEngine(String) [1] select 'inf'::double","","Fri Jul 03 05:04:48 UTC 2026","passed","Fri Jul 03 05:04:48 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infDoubleUserEngine"
