"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 26 03:47:03 GMT 2025","Fri Sep 26 03:47:04 GMT 2025","598","","integration.tests.PreparedStatementTest","","integration.tests.PreparedStatementTest","shouldInsertRecordsUsingDifferentNumericTypes","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) getObject(Long.class)",""
"passed","Fri Sep 26 03:48:21 GMT 2025","Fri Sep 26 03:48:21 GMT 2025","50","","integration.tests.SystemEngineDatabaseMetaDataTest","","integration.tests.SystemEngineDatabaseMetaDataTest","getSchemasInformationSchema","getSchemasInformationSchema(String, String, String) [5] null, %form%, information_schema",""
"passed","Fri Sep 26 03:46:04 GMT 2025","Fri Sep 26 03:46:04 GMT 2025","119","","integration.tests.ConnectionTest","","integration.tests.ConnectionTest","connectToNotExistingDbV2","connectToNotExistingDbV2(EngineType) SYSTEM_ENGINE",""
"passed","Fri Sep 26 03:47:43 GMT 2025","Fri Sep 26 03:47:43 GMT 2025","353","","integration.tests.StatementTest","","integration.tests.StatementTest","setCorrectThenWrongParameterOnSystemEngine","setCorrectThenWrongParameterOnSystemEngine()",""
"passed","Fri Sep 26 03:47:52 GMT 2025","Fri Sep 26 03:47:52 GMT 2025","376","","integration.tests.StatementTest","","integration.tests.StatementTest","shouldGetBooleans","shouldGetBooleans()",""
"passed","Fri Sep 26 03:47:06 GMT 2025","Fri Sep 26 03:47:07 GMT 2025","792","","integration.tests.PreparedStatementTest","","integration.tests.PreparedStatementTest","shouldInsertAndSelectBlobClob","shouldInsertAndSelectBlobClob()",""
"passed","Fri Sep 26 03:58:55 GMT 2025","Fri Sep 26 03:58:55 GMT 2025","81","","integration.tests.TransactionTest","","integration.tests.TransactionTest","shouldThrowExceptionWhenRollbackWithNoTransaction","shouldThrowExceptionWhenRollbackWithNoTransaction()",""
"passed","Fri Sep 26 03:43:56 GMT 2025","Fri Sep 26 03:44:02 GMT 2025","5654","","integration.tests.AsyncQueryTest","","integration.tests.AsyncQueryTest","executeServerSideAsyncTest","executeServerSideAsyncTest()",""
"passed","Fri Sep 26 03:48:23 GMT 2025","Fri Sep 26 03:48:23 GMT 2025","49","","integration.tests.SystemEngineDatabaseMetaDataTest","","integration.tests.SystemEngineDatabaseMetaDataTest","getTables","getTables(String, String, String, String, String, String) [23] null, information%, %in%, VIEW, engines, tables",""
"passed","Fri Sep 26 03:47:48 GMT 2025","Fri Sep 26 03:47:49 GMT 2025","330","","integration.tests.StatementTest","","integration.tests.StatementTest","cannotChangeToDatabaseThatDoesNotExist","cannotChangeToDatabaseThatDoesNotExist()",""
"passed","Fri Sep 26 03:48:25 GMT 2025","Fri Sep 26 03:48:25 GMT 2025","64","","integration.tests.SystemEngineDatabaseMetaDataTest","","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns","getColumns(String, String, String, String, String, String) [20] {database}, %form%, %in%, null, information_schema.engines.engine_name, information_schema.tables.table_name",""
"passed","Fri Sep 26 03:48:21 GMT 2025","Fri Sep 26 03:48:21 GMT 2025","48","","integration.tests.SystemEngineDatabaseMetaDataTest","","integration.tests.SystemEngineDatabaseMetaDataTest","getSchemasInformationSchema","getSchemasInformationSchema(String, String, String) [11] wrong_catalog, null, null",""
"passed","Fri Sep 26 03:48:20 GMT 2025","Fri Sep 26 03:48:20 GMT 2025","315","","integration.tests.StatementTest","","integration.tests.StatementTest","shouldSelect1","shouldSelect1()",""
"passed","Fri Sep 26 03:48:22 GMT 2025","Fri Sep 26 03:48:22 GMT 2025","51","","integration.tests.SystemEngineDatabaseMetaDataTest","","integration.tests.SystemEngineDatabaseMetaDataTest","getTables","getTables(String, String, String, String, String, String) [7] {database}, information_schema, null, null, tables, null",""
"passed","Fri Sep 26 03:46:47 GMT 2025","Fri Sep 26 03:46:47 GMT 2025","573","","integration.tests.PreparedStatementFbNumericTest","","integration.tests.PreparedStatementFbNumericTest","shouldInsertRecordsUsingDifferentNumericTypes","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) short",""
"passed","Fri Sep 26 03:58:56 GMT 2025","Fri Sep 26 03:58:56 GMT 2025","441","","integration.tests.TransactionTest","","integration.tests.TransactionTest","shouldNotCommitTransactionWhenConnectionClosesOnAutoCommitFalse","shouldNotCommitTransactionWhenConnectionClosesOnAutoCommitFalse()",""
"passed","Fri Sep 26 03:48:22 GMT 2025","Fri Sep 26 03:48:22 GMT 2025","50","","integration.tests.SystemEngineDatabaseMetaDataTest","","integration.tests.SystemEngineDatabaseMetaDataTest","getTables","getTables(String, String, String, String, String, String) [2] null, information_schema, null, null, tables, null",""
"passed","Fri Sep 26 03:47:10 GMT 2025","Fri Sep 26 03:47:10 GMT 2025","44","","integration.tests.SpecialValuesTest","","integration.tests.SpecialValuesTest","infDoubleSystemEngine","infDoubleSystemEngine(String) [2] select '+inf'::double",""
"passed","Fri Sep 26 03:49:34 GMT 2025","Fri Sep 26 03:49:36 GMT 2025","1448","","integration.tests.SystemEngineTest","","integration.tests.SystemEngineTest","useDatabase","useDatabase(String) [1] ",""
"passed","Fri Sep 26 03:48:22 GMT 2025","Fri Sep 26 03:48:22 GMT 2025","49","","integration.tests.SystemEngineDatabaseMetaDataTest","","integration.tests.SystemEngineDatabaseMetaDataTest","getTables","getTables(String, String, String, String, String, String) [9] {database}, %schema, null, null, tables, null",""
"passed","Fri Sep 26 03:48:24 GMT 2025","Fri Sep 26 03:48:24 GMT 2025","86","","integration.tests.SystemEngineDatabaseMetaDataTest","","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns","getColumns(String, String, String, String, String, String) [6] {database}, null, null, null, information_schema.columns.column_name, null",""
"passed","Fri Sep 26 03:46:54 GMT 2025","Fri Sep 26 03:46:55 GMT 2025","330","","integration.tests.PreparedStatementTest","","integration.tests.PreparedStatementTest","shouldFetchBoolean","shouldFetchBoolean()",""
"passed","Fri Sep 26 03:48:21 GMT 2025","Fri Sep 26 03:48:21 GMT 2025","68","","integration.tests.SystemEngineDatabaseMetaDataTest","","integration.tests.SystemEngineDatabaseMetaDataTest","getSchemas","getSchemas()",""
"passed","Fri Sep 26 03:46:51 GMT 2025","Fri Sep 26 03:46:52 GMT 2025","660","","integration.tests.PreparedStatementTest","","integration.tests.PreparedStatementTest","shouldInsertAndSelectStruct","shouldInsertAndSelectStruct()",""
"passed","Fri Sep 26 03:47:09 GMT 2025","Fri Sep 26 03:47:09 GMT 2025","43","","integration.tests.SpecialValuesTest","","integration.tests.SpecialValuesTest","nanRealUserEngine","nanRealUserEngine(String) [3] select '-nan'::real",""
"passed","Fri Sep 26 03:48:21 GMT 2025","Fri Sep 26 03:48:21 GMT 2025","53","","integration.tests.SystemEngineDatabaseMetaDataTest","","integration.tests.SystemEngineDatabaseMetaDataTest","getSchemasInformationSchema","getSchemasInformationSchema(String, String, String) [7] {database}, information_schema, information_schema",""
"passed","Fri Sep 26 03:58:50 GMT 2025","Fri Sep 26 03:58:50 GMT 2025","42","","integration.tests.TimestampTest","","integration.tests.TimestampTest","shouldGetTimeObjectsInDefaultUTCTimezone","shouldGetTimeObjectsInDefaultUTCTimezone()",""
"passed","Fri Sep 26 03:48:25 GMT 2025","Fri Sep 26 03:48:25 GMT 2025","49","","integration.tests.SystemEngineDatabaseMetaDataTest","","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns","getColumns(String, String, String, String, String, String) [30] {database}, %form%, %in%, type, information_schema.engines.type, information_schema.engines.status",""
"passed","Fri Sep 26 03:47:07 GMT 2025","Fri Sep 26 03:47:08 GMT 2025","557","","integration.tests.PreparedStatementTest","","integration.tests.PreparedStatementTest","shouldFetchTimestampWithTimezone","shouldFetchTimestampWithTimezone()",""
"passed","Fri Sep 26 03:46:48 GMT 2025","Fri Sep 26 03:46:48 GMT 2025","528","","integration.tests.PreparedStatementFbNumericTest","","integration.tests.PreparedStatementFbNumericTest","shouldInsertRecordsUsingDifferentNumericTypes","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) long",""
"passed","Fri Sep 26 03:46:55 GMT 2025","Fri Sep 26 03:46:55 GMT 2025","780","","integration.tests.PreparedStatementTest","","integration.tests.PreparedStatementTest","shouldParReplaceParamMarkersInMultistatementStatement","shouldParReplaceParamMarkersInMultistatementStatement()",""
"passed","Fri Sep 26 03:48:24 GMT 2025","Fri Sep 26 03:48:24 GMT 2025","58","","integration.tests.SystemEngineDatabaseMetaDataTest","","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns","getColumns(String, String, String, String, String, String) [12] null, information_schema, %in%, null, information_schema.engines.engine_name, information_schema.tables.table_name",""
"passed","Fri Sep 26 03:48:24 GMT 2025","Fri Sep 26 03:48:24 GMT 2025","90","","integration.tests.SystemEngineDatabaseMetaDataTest","","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns","getColumns(String, String, String, String, String, String) [10] {database}, %form%, null, null, information_schema.columns.column_name, null",""
"passed","Fri Sep 26 03:46:30 GMT 2025","Fri Sep 26 03:46:30 GMT 2025","548","","integration.tests.NullableValuesTest","","integration.tests.NullableValuesTest","preparedStatementUsingExplicitNulls","preparedStatementUsingExplicitNulls()",""
"passed","Fri Sep 26 03:47:47 GMT 2025","Fri Sep 26 03:47:47 GMT 2025","257","","integration.tests.StatementTest","","integration.tests.StatementTest","shouldThrowExceptionWhenTryingToExecuteQueryThatWouldReturnMultipleResultSets","shouldThrowExceptionWhenTryingToExecuteQueryThatWouldReturnMultipleResultSets()",""
"passed","Fri Sep 26 03:49:36 GMT 2025","Fri Sep 26 03:49:37 GMT 2025","1358","","integration.tests.SystemEngineTest","","integration.tests.SystemEngineTest","useDatabase","useDatabase(String) [2] DATABASE",""
"passed","Fri Sep 26 03:46:54 GMT 2025","Fri Sep 26 03:46:54 GMT 2025","550","","integration.tests.PreparedStatementTest","","integration.tests.PreparedStatementTest","shouldInsertAndSelectDateTime","shouldInsertAndSelectDateTime()",""
"passed","Fri Sep 26 03:47:01 GMT 2025","Fri Sep 26 03:47:02 GMT 2025","549","","integration.tests.PreparedStatementTest","","integration.tests.PreparedStatementTest","shouldInsertRecordsUsingDifferentNumericTypes","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) byte",""
"passed","Fri Sep 26 03:48:23 GMT 2025","Fri Sep 26 03:48:23 GMT 2025","50","","integration.tests.SystemEngineDatabaseMetaDataTest","","integration.tests.SystemEngineDatabaseMetaDataTest","getTables","getTables(String, String, String, String, String, String) [34] wrong_catalog, %form%, %in%, VIEW, null, engines",""
"passed","Fri Sep 26 03:48:25 GMT 2025","Fri Sep 26 03:48:25 GMT 2025","49","","integration.tests.SystemEngineDatabaseMetaDataTest","","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns","getColumns(String, String, String, String, String, String) [26] {database}, null, %in%, table_catalog, information_schema.indexes.table_catalog, information_schema.indexes.table_schema",""
"passed","Fri Sep 26 03:46:42 GMT 2025","Fri Sep 26 03:46:43 GMT 2025","934","","integration.tests.PreparedStatementFbNumericTest","","integration.tests.PreparedStatementFbNumericTest","shouldInsertAndRetrieveUrl","shouldInsertAndRetrieveUrl()",""
"passed","Fri Sep 26 03:58:59 GMT 2025","Fri Sep 26 03:58:59 GMT 2025","773","","integration.tests.TransactionTest","","integration.tests.TransactionTest","shouldNotCommitOnSetStatement","shouldNotCommitOnSetStatement()",""
"passed","Fri Sep 26 03:58:50 GMT 2025","Fri Sep 26 03:58:50 GMT 2025","92","","integration.tests.TimestampTest","","integration.tests.TimestampTest","shouldReturnTimestampFromDate","shouldReturnTimestampFromDate()",""
"passed","Fri Sep 26 03:48:23 GMT 2025","Fri Sep 26 03:48:23 GMT 2025","52","","integration.tests.SystemEngineDatabaseMetaDataTest","","integration.tests.SystemEngineDatabaseMetaDataTest","getTables","getTables(String, String, String, String, String, String) [26] {database}, null, %in%, VIEW, engines, tables",""
"failed","Fri Sep 26 03:49:33 GMT 2025","Fri Sep 26 03:49:34 GMT 2025","1665","","integration.tests.SystemEngineTest","","integration.tests.SystemEngineTest","connectToAccountWithoutUser","connectToAccountWithoutUser()",""
"passed","Fri Sep 26 03:46:33 GMT 2025","Fri Sep 26 03:46:34 GMT 2025","729","","integration.tests.PreparedStatementArrayTest","","integration.tests.PreparedStatementArrayTest","emptyIntegerAndStringValues","emptyIntegerAndStringValues(PreparedStatementValueSetter) set OBJECT",""
"passed","Fri Sep 26 03:48:20 GMT 2025","Fri Sep 26 03:48:21 GMT 2025","524","","integration.tests.StatementTest","","integration.tests.StatementTest","shouldReturnFalseWhenExecutingMultiStatementWithFirstStatementNotReturningAResultSet","shouldReturnFalseWhenExecutingMultiStatementWithFirstStatementNotReturningAResultSet()",""
"passed","Fri Sep 26 03:47:55 GMT 2025","Fri Sep 26 03:48:06 GMT 2025","10839","","integration.tests.StatementTest","","integration.tests.StatementTest","canSetQueryLabelMultipleTimes","canSetQueryLabelMultipleTimes()",""
"passed","Fri Sep 26 03:48:25 GMT 2025","Fri Sep 26 03:48:25 GMT 2025","59","","integration.tests.SystemEngineDatabaseMetaDataTest","","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns","getColumns(String, String, String, String, String, String) [18] {database}, information%, %in%, null, information_schema.engines.engine_name, information_schema.tables.table_name",""
"passed","Fri Sep 26 03:46:47 GMT 2025","Fri Sep 26 03:46:48 GMT 2025","593","","integration.tests.PreparedStatementFbNumericTest","","integration.tests.PreparedStatementFbNumericTest","shouldInsertRecordsUsingDifferentNumericTypes","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) int",""
"passed","Fri Sep 26 03:46:29 GMT 2025","Fri Sep 26 03:46:29 GMT 2025","3","","integration.tests.MissingDataTest","","integration.tests.MissingDataTest","missingAccount","missingAccount()",""
"passed","Fri Sep 26 03:46:27 GMT 2025","Fri Sep 26 03:46:27 GMT 2025","52","","integration.tests.DatabaseMetaDataTest","","integration.tests.DatabaseMetaDataTest","getTables","getTables(String, String, String, String, String, String) [2] null, null, null, TABLE;VIEW, tables;views;integration_test, null",""
"passed","Fri Sep 26 03:46:27 GMT 2025","Fri Sep 26 03:46:27 GMT 2025","58","","integration.tests.DatabaseMetaDataTest","","integration.tests.DatabaseMetaDataTest","shouldReturnTable","shouldReturnTable()",""
"passed","Fri Sep 26 03:47:09 GMT 2025","Fri Sep 26 03:47:09 GMT 2025","42","","integration.tests.SpecialValuesTest","","integration.tests.SpecialValuesTest","nanDoubleUserEngine","nanDoubleUserEngine(String) [3] select '-nan'::double",""
"passed","Fri Sep 26 03:48:24 GMT 2025","Fri Sep 26 03:48:24 GMT 2025","84","","integration.tests.SystemEngineDatabaseMetaDataTest","","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns","getColumns(String, String, String, String, String, String) [4] null, %schema, null, null, information_schema.columns.column_name, null",""
"passed","Fri Sep 26 03:48:06 GMT 2025","Fri Sep 26 03:48:06 GMT 2025","313","","integration.tests.StatementTest","","integration.tests.StatementTest","mixedCaseSelect","mixedCaseSelect(String, String) [1] select 1 as lower, 2 as UPPER, 3 AS MiXeD, lower,upper,mixed",""
"passed","Fri Sep 26 03:46:45 GMT 2025","Fri Sep 26 03:46:46 GMT 2025","1611","","integration.tests.PreparedStatementFbNumericTest","","integration.tests.PreparedStatementFbNumericTest","shouldInsertAndSelectComplexStruct","shouldInsertAndSelectComplexStruct()",""
"passed","Fri Sep 26 03:48:21 GMT 2025","Fri Sep 26 03:48:21 GMT 2025","51","","integration.tests.SystemEngineDatabaseMetaDataTest","","integration.tests.SystemEngineDatabaseMetaDataTest","getSchemasInformationSchema","getSchemasInformationSchema(String, String, String) [4] null, %schema, information_schema",""
"passed","Fri Sep 26 03:47:03 GMT 2025","Fri Sep 26 03:47:03 GMT 2025","521","","integration.tests.PreparedStatementTest","","integration.tests.PreparedStatementTest","shouldInsertRecordsUsingDifferentNumericTypes","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) long",""
"passed","Fri Sep 26 03:50:46 GMT 2025","Fri Sep 26 03:51:53 GMT 2025","66461","","integration.tests.SystemEngineTest","","integration.tests.SystemEngineTest","useEngineMixedCaseToLowerCase","useEngineMixedCaseToLowerCase()",""
"passed","Fri Sep 26 03:46:36 GMT 2025","Fri Sep 26 03:46:36 GMT 2025","311","","integration.tests.PreparedStatementArrayTest","","integration.tests.PreparedStatementArrayTest","byteaArray","byteaArray()",""
"passed","Fri Sep 26 03:46:48 GMT 2025","Fri Sep 26 03:46:49 GMT 2025","589","","integration.tests.PreparedStatementFbNumericTest","","integration.tests.PreparedStatementFbNumericTest","shouldReplaceParamMarkers","shouldReplaceParamMarkers()",""
"passed","Fri Sep 26 03:47:50 GMT 2025","Fri Sep 26 03:47:50 GMT 2025","428","","integration.tests.StatementTest","","integration.tests.StatementTest","shouldSelect1WithQueryTimeout","shouldSelect1WithQueryTimeout()",""
"passed","Fri Sep 26 03:48:26 GMT 2025","Fri Sep 26 03:49:33 GMT 2025","66457","","integration.tests.SystemEngineTest","","integration.tests.SystemEngineTest","useEngineMixedCase","useEngineMixedCase()",""
"passed","Fri Sep 26 03:46:29 GMT 2025","Fri Sep 26 03:46:30 GMT 2025","534","","integration.tests.NullableValuesTest","","integration.tests.NullableValuesTest","preparedStatementUsingStringValueContainsStringNull","preparedStatementUsingStringValueContainsStringNull()",""
