"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","73","infRealUserEngine(String) [1] select 'inf'::real","","Tue Nov 11 13:32:24 UTC 2025","passed","Tue Nov 11 13:32:24 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infRealUserEngine"
"","1933","unlimitedMaxFieldSize(int) [1] 0","","Tue Nov 11 13:32:43 UTC 2025","passed","Tue Nov 11 13:32:45 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","unlimitedMaxFieldSize"
"","1566","setCorrectThenWrongParameterOnSystemEngine()","","Tue Nov 11 13:32:52 UTC 2025","passed","Tue Nov 11 13:32:53 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","setCorrectThenWrongParameterOnSystemEngine"
"","2745","shouldInsertAndSelectStreams()","","Tue Nov 11 13:31:59 UTC 2025","passed","Tue Nov 11 13:32:02 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertAndSelectStreams"
"","73","infDoubleUserEngine(String) [1] select 'inf'::double","","Tue Nov 11 13:32:25 UTC 2025","passed","Tue Nov 11 13:32:25 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infDoubleUserEngine"
"","1125","byteaArray()","","Tue Nov 11 13:31:29 UTC 2025","passed","Tue Nov 11 13:31:30 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","byteaArray"
"","227","getTables(String, String, String, String, String, String) [11] null, public, null, TABLE;VIEW, integration_test, tables;columns;views","","Tue Nov 11 13:31:02 UTC 2025","passed","Tue Nov 11 13:31:02 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","240","getTables(String, String, String, String, String, String) [7] null, null, %test, null, integration_test, tables;columns;views","","Tue Nov 11 13:31:01 UTC 2025","passed","Tue Nov 11 13:31:01 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","73","nanRealUserEngine(String) [2] select '+nan'::real","","Tue Nov 11 13:32:24 UTC 2025","passed","Tue Nov 11 13:32:24 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanRealUserEngine"
"","0","readOnly()","","Tue Nov 11 13:33:51 UTC 2025","passed","Tue Nov 11 13:33:51 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","readOnly"
"","2352","shouldFetchTimestampAndDate(Object, Object, boolean) [4] 2019-07-31 11:15:13.0, 2019-07-31, false","","Tue Nov 11 13:31:56 UTC 2025","passed","Tue Nov 11 13:31:59 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchTimestampAndDate"
