"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","84","infFloatAsDoubleUserEngine(String) [1] select 'inf'::float","","Fri Jan 23 04:27:55 UTC 2026","passed","Fri Jan 23 04:27:55 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infFloatAsDoubleUserEngine"
"","475","shouldReturnTrueWhenExecutingMultiStatementWithFirstStatementReturningAResultSet()","","Fri Jan 23 04:28:33 UTC 2026","passed","Fri Jan 23 04:28:33 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","shouldReturnTrueWhenExecutingMultiStatementWithFirstStatementReturningAResultSet"
"","1007","shouldInsertAndSelectBlobClob()","","Fri Jan 23 04:27:51 UTC 2026","passed","Fri Jan 23 04:27:52 UTC 2026","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertAndSelectBlobClob"
"","131","getColumns(String, String, String, String, String, String) [6] {database}, null, null, null, information_schema.columns.column_name, null","","Fri Jan 23 04:29:23 UTC 2026","passed","Fri Jan 23 04:29:23 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","93","successfulConnect(boolean, boolean) V2 using db:false engine:false","","Fri Jan 23 04:26:19 UTC 2026","passed","Fri Jan 23 04:26:19 UTC 2026","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","successfulConnect"
"","829","shouldFetchTimestampAndDate(Object, Object, boolean) [4] 2019-07-31 11:15:13.0, 2019-07-31, false","","Fri Jan 23 04:27:39 UTC 2026","passed","Fri Jan 23 04:27:40 UTC 2026","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchTimestampAndDate"
"","85","nanRealUserEngine(String) [3] select '-nan'::real","","Fri Jan 23 04:27:55 UTC 2026","passed","Fri Jan 23 04:27:55 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanRealUserEngine"
"","195","connectToNotExistingDbV2(EngineType) SYSTEM_ENGINE","","Fri Jan 23 04:26:16 UTC 2026","passed","Fri Jan 23 04:26:16 UTC 2026","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","connectToNotExistingDbV2"
"","162","shouldRemoveOffsetDIffWhenTimestampOffsetHasChanged()","","Fri Jan 23 04:39:57 UTC 2026","passed","Fri Jan 23 04:39:57 UTC 2026","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldRemoveOffsetDIffWhenTimestampOffsetHasChanged"
"","1198","shouldInsertRecordsInBatch()","","Fri Jan 23 04:27:27 UTC 2026","passed","Fri Jan 23 04:27:28 UTC 2026","","integration.tests.PreparedStatementFbNumericTest","integration.tests.PreparedStatementFbNumericTest","shouldInsertRecordsInBatch"
"","2246","useDatabase(String) [2] DATABASE","","Fri Jan 23 04:30:37 UTC 2026","passed","Fri Jan 23 04:30:39 UTC 2026","","integration.tests.SystemEngineTest","integration.tests.SystemEngineTest","useDatabase"
"","556","shouldReuseStatementWhenNotCloseOnCompletion()","","Fri Jan 23 04:29:13 UTC 2026","passed","Fri Jan 23 04:29:14 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","shouldReuseStatementWhenNotCloseOnCompletion"
"","92","getTables(String, String, String, String, String, String) [9] null, information_schema, null, null, tables;columns, integration_test","","Fri Jan 23 04:26:42 UTC 2026","passed","Fri Jan 23 04:26:42 UTC 2026","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","88","getSchemasInformationSchema(String, String, String) [9] {database}, %schema, information_schema","","Fri Jan 23 04:29:19 UTC 2026","passed","Fri Jan 23 04:29:19 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getSchemasInformationSchema"
"","87","getSchemasInformationSchema(String, String, String) [8] {database}, information%, information_schema","","Fri Jan 23 04:29:19 UTC 2026","passed","Fri Jan 23 04:29:19 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getSchemasInformationSchema"
"","88","shouldHandleLargeDecimals()","","Fri Jan 23 04:26:51 UTC 2026","passed","Fri Jan 23 04:26:51 UTC 2026","","integration.tests.NumericTypesTest","integration.tests.NumericTypesTest","shouldHandleLargeDecimals"
"","860","mixedCaseTable(String, String, String, String) [2] CREATE FACT TABLE ""Case_Test"" (x long), Case_Test, case_test, ""Case_Test""","","Fri Jan 23 04:29:15 UTC 2026","passed","Fri Jan 23 04:29:16 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","mixedCaseTable"
"","87","getTables(String, String, String, String, String, String) [23] null, information%, %in%, VIEW, engines, tables","","Fri Jan 23 04:29:21 UTC 2026","passed","Fri Jan 23 04:29:21 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","564","shouldSelect1WithQueryTimeout()","","Fri Jan 23 04:28:43 UTC 2026","passed","Fri Jan 23 04:28:43 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","shouldSelect1WithQueryTimeout"
