"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1039","unlimitedMaxFieldSize(int) [3] 100","","Thu Dec 11 10:29:17 UTC 2025","passed","Thu Dec 11 10:29:18 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","unlimitedMaxFieldSize"
"","1999","setWrongParameterOnSystemEngineOnUserEngine()","","Thu Dec 11 10:30:14 UTC 2025","passed","Thu Dec 11 10:30:16 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","setWrongParameterOnSystemEngineOnUserEngine"
"","880","successfulConnectV1(boolean, boolean) using db:true engine:false","","Thu Dec 11 10:27:16 UTC 2025","passed","Thu Dec 11 10:27:17 UTC 2025","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","successfulConnectV1"
"","44","nanDoubleUserEngine(String) [3] select '-nan'::double","","Thu Dec 11 10:28:52 UTC 2025","passed","Thu Dec 11 10:28:52 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanDoubleUserEngine"
"","46","minusInfDoubleUserEngine(String) [1] select '-inf'::double","","Thu Dec 11 10:28:52 UTC 2025","passed","Thu Dec 11 10:28:52 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","minusInfDoubleUserEngine"
"","3527","shouldInsertAndRetrieveUrl()","","Thu Dec 11 10:28:04 UTC 2025","passed","Thu Dec 11 10:28:07 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertAndRetrieveUrl"
"","926","unlimitedMaxFieldSize(int) [1] 0","","Thu Dec 11 10:29:15 UTC 2025","passed","Thu Dec 11 10:29:16 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","unlimitedMaxFieldSize"
"","1059","byteaArray()","","Thu Dec 11 10:27:45 UTC 2025","passed","Thu Dec 11 10:27:46 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","byteaArray"
"","44","nanRealUserEngine(String) [3] select '-nan'::real","","Thu Dec 11 10:28:52 UTC 2025","passed","Thu Dec 11 10:28:52 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanRealUserEngine"
"","956","shouldGetBooleans()","","Thu Dec 11 10:29:53 UTC 2025","passed","Thu Dec 11 10:29:54 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldGetBooleans"
"","1441","shouldReturnTrueWhenExecutingAStatementThatReturnsAResultSet()","","Thu Dec 11 10:29:30 UTC 2025","passed","Thu Dec 11 10:29:31 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldReturnTrueWhenExecutingAStatementThatReturnsAResultSet"
"","105","shouldHaveCorrectInfo()","","Thu Dec 11 10:27:29 UTC 2025","passed","Thu Dec 11 10:27:29 UTC 2025","","integration.tests.NumericTypesTest","integration.tests.NumericTypesTest","shouldHaveCorrectInfo"
"","275","shouldRemoveOffsetDIffWhenTimestampOffsetHasChanged()","","Thu Dec 11 10:37:36 UTC 2025","passed","Thu Dec 11 10:37:37 UTC 2025","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldRemoveOffsetDIffWhenTimestampOffsetHasChanged"
"","1783","shouldThrowExceptionWhenTryingToExecuteQueryThatWouldReturnMultipleResultSets()","","Thu Dec 11 10:29:31 UTC 2025","passed","Thu Dec 11 10:29:33 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldThrowExceptionWhenTryingToExecuteQueryThatWouldReturnMultipleResultSets"
"","45","infDoubleUserEngine(String) [1] select 'inf'::double","","Thu Dec 11 10:28:52 UTC 2025","passed","Thu Dec 11 10:28:52 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infDoubleUserEngine"
"","2210","shouldReturnFalseWhenExecutingMultiStatementWithFirstStatementNotReturningAResultSet()","","Thu Dec 11 10:30:28 UTC 2025","passed","Thu Dec 11 10:30:30 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldReturnFalseWhenExecutingMultiStatementWithFirstStatementNotReturningAResultSet"
"","977","setWrongParameterOnUserEngineForV1()","","Thu Dec 11 10:29:42 UTC 2025","passed","Thu Dec 11 10:29:43 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","setWrongParameterOnUserEngineForV1"
"","1227","shouldFetchSpecialCharacters()","","Thu Dec 11 10:28:14 UTC 2025","passed","Thu Dec 11 10:28:15 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchSpecialCharacters"
"","1165","shouldGetMultipleResultSets()","","Thu Dec 11 10:29:54 UTC 2025","passed","Thu Dec 11 10:29:55 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldGetMultipleResultSets"
"","148","getTables(String, String, String, String, String, String) [9] null, information_schema, null, null, tables;columns, integration_test","","Thu Dec 11 10:27:19 UTC 2025","passed","Thu Dec 11 10:27:19 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","2152","maxFieldSize(int) [4] 50","","Thu Dec 11 10:29:40 UTC 2025","passed","Thu Dec 11 10:29:42 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","maxFieldSize"
"","1037","setCorrectThenWrongParameterOnSystemEngine()","","Thu Dec 11 10:29:22 UTC 2025","passed","Thu Dec 11 10:29:23 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","setCorrectThenWrongParameterOnSystemEngine"
"","1951","shouldSelect1WithQueryTimeout()","","Thu Dec 11 10:29:43 UTC 2025","passed","Thu Dec 11 10:29:45 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldSelect1WithQueryTimeout"
