"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21","nanDoubleUserEngine(String) [3] select '-nan'::double","","Mon Dec 08 18:06:03 UTC 2025","passed","Mon Dec 08 18:06:03 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanDoubleUserEngine"
"","20","nanFloatUserEngine(String) [1] select 'nan'::float","","Mon Dec 08 18:06:04 UTC 2025","passed","Mon Dec 08 18:06:04 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanFloatUserEngine"
"","66","shouldReturnTimestampFromTimestampTzWithTzWithHoursAndMinutesAndSecondsWhenUsingTime_ZoneSetting()","","Mon Dec 08 18:19:58 UTC 2025","passed","Mon Dec 08 18:19:58 UTC 2025","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldReturnTimestampFromTimestampTzWithTzWithHoursAndMinutesAndSecondsWhenUsingTime_ZoneSetting"
"","57","getTables(String, String, String, String, String, String) [2] null, null, null, TABLE;VIEW, tables;views;integration_test, null","","Mon Dec 08 17:56:29 UTC 2025","passed","Mon Dec 08 17:56:29 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","70","shouldReturnTimestampFromTimestampTzWithTzWithHoursAndMinutesWhenUsingTime_ZoneSettings()","","Mon Dec 08 18:19:58 UTC 2025","passed","Mon Dec 08 18:19:58 UTC 2025","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldReturnTimestampFromTimestampTzWithTzWithHoursAndMinutesWhenUsingTime_ZoneSettings"
"","108","shouldReturnColumnsFromSelect()","","Mon Dec 08 17:56:28 UTC 2025","passed","Mon Dec 08 17:56:29 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","shouldReturnColumnsFromSelect"
"","68","shouldGetTimeObjectsInDefaultUTCTimezone()","","Mon Dec 08 18:19:57 UTC 2025","passed","Mon Dec 08 18:19:57 UTC 2025","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldGetTimeObjectsInDefaultUTCTimezone"
"","750","mixedCaseTable(String, String, String, String) [2] CREATE FACT TABLE ""Case_Test"" (x long), Case_Test, case_test, ""Case_Test""","","Mon Dec 08 18:12:54 UTC 2025","passed","Mon Dec 08 18:12:54 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","mixedCaseTable"
"","614","connectToNotExistingDbV1(EngineType) SYSTEM_ENGINE","","Mon Dec 08 17:56:27 UTC 2025","passed","Mon Dec 08 17:56:27 UTC 2025","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","connectToNotExistingDbV1"
"","483","successfulConnectV1(boolean, boolean) using db:true engine:false","","Mon Dec 08 17:56:28 UTC 2025","passed","Mon Dec 08 17:56:28 UTC 2025","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","successfulConnectV1"
