"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25","getColumns(String, String, String, String, String, String) [25] null, %form%, %in%, table_schema, information_schema.indexes.table_schema, information_schema.indexes.table_name","","Wed Jul 22 05:10:24 UTC 2026","passed","Wed Jul 22 05:10:24 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","40","getColumns(String, String, String, String, String, String) [18] {database}, information%, %in%, null, information_schema.engines.engine_name, information_schema.tables.table_name","","Wed Jul 22 05:10:24 UTC 2026","passed","Wed Jul 22 05:10:24 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","1427","shouldCompareAllTimeStampsWithMultipleThreads()","","Wed Jul 22 05:17:58 UTC 2026","passed","Wed Jul 22 05:17:59 UTC 2026","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldCompareAllTimeStampsWithMultipleThreads"
"","17","nanFloatAsDoubleUserEngine(String) [3] select '-nan'::float","","Wed Jul 22 05:09:18 UTC 2026","passed","Wed Jul 22 05:09:18 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanFloatAsDoubleUserEngine"
"","631","shouldInsertAndRetrieveUrl()","","Wed Jul 22 05:09:05 UTC 2026","passed","Wed Jul 22 05:09:06 UTC 2026","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertAndRetrieveUrl"
"","450","shouldFetchTimestampWithTimezone()","","Wed Jul 22 05:09:17 UTC 2026","passed","Wed Jul 22 05:09:17 UTC 2026","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchTimestampWithTimezone"
"","24","getTables(String, String, String, String, String, String) [12] null, public, null, VIEW, null, tables;columns;views","","Wed Jul 22 05:08:33 UTC 2026","passed","Wed Jul 22 05:08:33 UTC 2026","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","492","preparedStatementUsingDefaultNulls()","","Wed Jul 22 05:08:38 UTC 2026","passed","Wed Jul 22 05:08:38 UTC 2026","","integration.tests.NullableValuesTest","integration.tests.NullableValuesTest","preparedStatementUsingDefaultNulls"
"","29","getTables(String, String, String, String, String, String) [7] {database}, information_schema, null, null, tables, null","","Wed Jul 22 05:10:22 UTC 2026","passed","Wed Jul 22 05:10:22 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","18282","useEngine()","","Wed Jul 22 05:10:46 UTC 2026","passed","Wed Jul 22 05:11:05 UTC 2026","","integration.tests.SystemEngineTest","integration.tests.SystemEngineTest","useEngine"
"","464","executeCancelServerSideAsyncQueryWorksOnDifferentEngines()","","Wed Jul 22 05:07:21 UTC 2026","passed","Wed Jul 22 05:07:21 UTC 2026","","integration.tests.AsyncQueryTest","integration.tests.AsyncQueryTest","executeCancelServerSideAsyncQueryWorksOnDifferentEngines"
"","26","getTables(String, String, String, String, String, String) [24] null, %schema, %in%, VIEW, engines, tables","","Wed Jul 22 05:10:23 UTC 2026","passed","Wed Jul 22 05:10:23 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","0","shouldFetchBooleanFromVariousObjects(Object, Object)","","Wed Jul 22 05:09:17 UTC 2026","skipped","Wed Jul 22 05:09:17 UTC 2026","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchBooleanFromVariousObjects"
"","27","getSchemasInformationSchema(String, String, String) [8] {database}, information%, information_schema","","Wed Jul 22 05:10:22 UTC 2026","passed","Wed Jul 22 05:10:22 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getSchemasInformationSchema"
"","10354","canSetQueryLabelMultipleTimes()","","Wed Jul 22 05:09:57 UTC 2026","passed","Wed Jul 22 05:10:07 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","canSetQueryLabelMultipleTimes"
"","24","getColumns(String, String, String, String, String, String) [23] null, information%, %in%, description, information_schema.engines.description, information_schema.engines.engine_name","","Wed Jul 22 05:10:24 UTC 2026","passed","Wed Jul 22 05:10:24 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","28","getTables(String, String, String, String, String, String) [18] {database}, information%, %in%, null, engines, tables","","Wed Jul 22 05:10:23 UTC 2026","passed","Wed Jul 22 05:10:23 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","1","readOnly()","","Wed Jul 22 05:10:22 UTC 2026","passed","Wed Jul 22 05:10:22 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","readOnly"
"","200","shouldThrowExceptionWhenFilesMapIsEmpty()","","Wed Jul 22 05:08:40 UTC 2026","passed","Wed Jul 22 05:08:40 UTC 2026","","integration.tests.ParquetStatementTest","integration.tests.ParquetStatementTest","shouldThrowExceptionWhenFilesMapIsEmpty"
"","25","getTables(String, String, String, String, String, String) [33] null, null, null, TABLE, null, null","","Wed Jul 22 05:10:23 UTC 2026","passed","Wed Jul 22 05:10:23 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","28","getTables(String, String, String, String, String, String) [15] null, %form%, %in%, null, engines, tables","","Wed Jul 22 05:10:23 UTC 2026","passed","Wed Jul 22 05:10:23 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","63","getColumns(String, String, String, String, String, String) [6] {database}, null, null, null, information_schema.columns.column_name, null","","Wed Jul 22 05:10:23 UTC 2026","passed","Wed Jul 22 05:10:24 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","38","getColumns(String, String, String, String, String, String) [12] null, information_schema, %in%, null, information_schema.engines.engine_name, information_schema.tables.table_name","","Wed Jul 22 05:10:24 UTC 2026","passed","Wed Jul 22 05:10:24 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","24","getColumns(String, String, String, String, String, String) [32] null, null, %in%, no-one, null, information_schema.columns.column_name","","Wed Jul 22 05:10:25 UTC 2026","passed","Wed Jul 22 05:10:25 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","28","getTables(String, String, String, String, String, String) [34] wrong_catalog, %form%, %in%, VIEW, null, engines","","Wed Jul 22 05:10:23 UTC 2026","passed","Wed Jul 22 05:10:23 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","294","successfulSettingOfPropertyThatRequiresAdvancedModePreviouslySetAtRuntime()","","Wed Jul 22 05:09:49 UTC 2026","passed","Wed Jul 22 05:09:50 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","successfulSettingOfPropertyThatRequiresAdvancedModePreviouslySetAtRuntime"
"","472","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) long","","Wed Jul 22 05:09:13 UTC 2026","passed","Wed Jul 22 05:09:14 UTC 2026","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertRecordsUsingDifferentNumericTypes"
"","19","nanRealUserEngine(String) [2] select '+nan'::real","","Wed Jul 22 05:09:18 UTC 2026","passed","Wed Jul 22 05:09:18 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanRealUserEngine"
"","239","setWrongParameterOnSystemEngineOnUserEngine()","","Wed Jul 22 05:10:19 UTC 2026","passed","Wed Jul 22 05:10:19 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","setWrongParameterOnSystemEngineOnUserEngine"
"","73","getColumns(String, String, String, String, String, String) [4] null, %schema, null, null, information_schema.columns.column_name, null","","Wed Jul 22 05:10:23 UTC 2026","passed","Wed Jul 22 05:10:23 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","1972","canUsePreparedStatementsToInsertTrueValueInBooleanColumn()","","Wed Jul 22 05:18:15 UTC 2026","passed","Wed Jul 22 05:18:17 UTC 2026","","integration.tests.datatype.BooleanTest","integration.tests.datatype.BooleanTest","canUsePreparedStatementsToInsertTrueValueInBooleanColumn"
"","243","empty(String) query:     ;","","Wed Jul 22 05:09:53 UTC 2026","passed","Wed Jul 22 05:09:54 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","empty"
"","52","shouldThrowExceptionWhenExecutingWrongQueryWithJsonError()","","Wed Jul 22 05:10:44 UTC 2026","passed","Wed Jul 22 05:10:44 UTC 2026","","integration.tests.SystemEngineTest","integration.tests.SystemEngineTest","shouldThrowExceptionWhenExecutingWrongQueryWithJsonError"
"","26","getTables(String, String, String, String, String, String) [30] {database}, %form%, %in%, VIEW, engines, tables","","Wed Jul 22 05:10:23 UTC 2026","passed","Wed Jul 22 05:10:23 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","267","setCorrectThenWrongParameterOnSystemEngine()","","Wed Jul 22 05:09:47 UTC 2026","passed","Wed Jul 22 05:09:48 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","setCorrectThenWrongParameterOnSystemEngine"
"","847","shouldNotCommitTransactionWhenCommitWasManuallyExecuted()","","Wed Jul 22 05:18:05 UTC 2026","passed","Wed Jul 22 05:18:06 UTC 2026","","integration.tests.TransactionTest","integration.tests.TransactionTest","shouldNotCommitTransactionWhenCommitWasManuallyExecuted"
"","26","getTables(String, String, String, String, String, String) [6] {database}, null, null, null, tables, null","","Wed Jul 22 05:10:22 UTC 2026","passed","Wed Jul 22 05:10:22 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","38","shouldReturnTimestampFromDateWhenUsingTime_zoneSetting()","","Wed Jul 22 05:17:57 UTC 2026","passed","Wed Jul 22 05:17:57 UTC 2026","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldReturnTimestampFromDateWhenUsingTime_zoneSetting"
"","1574","executeCancelServerSideAsyncQueryTest()","","Wed Jul 22 05:07:07 UTC 2026","passed","Wed Jul 22 05:07:08 UTC 2026","","integration.tests.AsyncQueryTest","integration.tests.AsyncQueryTest","executeCancelServerSideAsyncQueryTest"
"","1291","useDatabase(String) [1] ","","Wed Jul 22 05:10:44 UTC 2026","passed","Wed Jul 22 05:10:45 UTC 2026","","integration.tests.SystemEngineTest","integration.tests.SystemEngineTest","useDatabase"
"","20505","createTwoConnections()","","Wed Jul 22 05:07:41 UTC 2026","passed","Wed Jul 22 05:08:02 UTC 2026","","integration.tests.CachedConnectionTest","integration.tests.CachedConnectionTest","createTwoConnections"
"","62","connectToNotExistingDbV2(EngineType) SYSTEM_ENGINE","","Wed Jul 22 05:08:09 UTC 2026","passed","Wed Jul 22 05:08:09 UTC 2026","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","connectToNotExistingDbV2"
"","25","getTables(String, String, String, String, String, String) [13] null, information_schema, null, TABLE, null, integration_test","","Wed Jul 22 05:08:33 UTC 2026","passed","Wed Jul 22 05:08:33 UTC 2026","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","19","nanFloatAsDoubleUserEngine(String) [2] select '+nan'::float","","Wed Jul 22 05:09:18 UTC 2026","passed","Wed Jul 22 05:09:18 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanFloatAsDoubleUserEngine"
"","33","getTables(String, String, String, String, String, String) [10] {database}, %form%, null, null, tables, null","","Wed Jul 22 05:10:22 UTC 2026","passed","Wed Jul 22 05:10:22 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","442","shouldExecuteWithByteArraysForInsert()","","Wed Jul 22 05:08:48 UTC 2026","passed","Wed Jul 22 05:08:48 UTC 2026","","integration.tests.ParquetStatementTest","integration.tests.ParquetStatementTest","shouldExecuteWithByteArraysForInsert"
"","23","nanFloatAsDoubleSystemEngine(String) [2] select '+nan'::float","","Wed Jul 22 05:09:19 UTC 2026","passed","Wed Jul 22 05:09:19 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanFloatAsDoubleSystemEngine"
"","5","getMetadata()","","Wed Jul 22 05:08:33 UTC 2026","passed","Wed Jul 22 05:08:33 UTC 2026","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getMetadata"
"","270","maxFieldSize(int) [2] 3","","Wed Jul 22 05:09:51 UTC 2026","passed","Wed Jul 22 05:09:51 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","maxFieldSize"
"","438","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) int","","Wed Jul 22 05:09:13 UTC 2026","passed","Wed Jul 22 05:09:13 UTC 2026","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertRecordsUsingDifferentNumericTypes"
"","161","connectToNotExistingDbV2(EngineType) CUSTOM_ENGINE","","Wed Jul 22 05:08:09 UTC 2026","passed","Wed Jul 22 05:08:09 UTC 2026","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","connectToNotExistingDbV2"
"","26","getColumns(String, String, String, String, String, String) [26] {database}, null, %in%, table_catalog, information_schema.indexes.table_catalog, information_schema.indexes.table_schema","","Wed Jul 22 05:10:24 UTC 2026","passed","Wed Jul 22 05:10:24 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","19","infDoubleUserEngine(String) [1] select 'inf'::double","","Wed Jul 22 05:09:18 UTC 2026","passed","Wed Jul 22 05:09:18 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infDoubleUserEngine"
"","23","shouldReturnTimestampFromTimestampntz()","","Wed Jul 22 05:17:59 UTC 2026","passed","Wed Jul 22 05:17:59 UTC 2026","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldReturnTimestampFromTimestampntz"
"","27","getColumns(String, String, String, String, String, String) [27] {database}, information_schema, %ac%, account_id, information_schema.accounts.account_id, information_schema.accounts.region","","Wed Jul 22 05:10:24 UTC 2026","passed","Wed Jul 22 05:10:24 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","18","nanDoubleUserEngine(String) [1] select 'nan'::double","","Wed Jul 22 05:09:18 UTC 2026","passed","Wed Jul 22 05:09:18 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanDoubleUserEngine"
"","30","shouldReturnColumns()","","Wed Jul 22 05:08:33 UTC 2026","passed","Wed Jul 22 05:08:33 UTC 2026","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","shouldReturnColumns"
"","324","caseInsensitiveGetter()","","Wed Jul 22 05:09:49 UTC 2026","passed","Wed Jul 22 05:09:49 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","caseInsensitiveGetter"
"","25","getColumns(String, String, String, String, String, String) [31] null, null, null, nobody, null, information_schema.columns.column_name","","Wed Jul 22 05:10:25 UTC 2026","passed","Wed Jul 22 05:10:25 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","25","getTables(String, String, String, String, String, String) [15] null, information_schema, null, VIEW, tables;columns, null","","Wed Jul 22 05:08:33 UTC 2026","passed","Wed Jul 22 05:08:33 UTC 2026","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","10475","willUseRandomQueryLabelIfNoneExplicitlySet()","","Wed Jul 22 05:10:08 UTC 2026","passed","Wed Jul 22 05:10:19 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","willUseRandomQueryLabelIfNoneExplicitlySet"
"","18","infFloatAsDoubleUserEngine(String) [1] select 'inf'::float","","Wed Jul 22 05:09:18 UTC 2026","passed","Wed Jul 22 05:09:18 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infFloatAsDoubleUserEngine"
"","406","shouldInsertAndSelectDateTime()","","Wed Jul 22 05:09:06 UTC 2026","passed","Wed Jul 22 05:09:06 UTC 2026","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertAndSelectDateTime"
"","10148","successfulConnectWithoutStartingTheEngine()","","Wed Jul 22 05:08:22 UTC 2026","passed","Wed Jul 22 05:08:32 UTC 2026","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","successfulConnectWithoutStartingTheEngine"
"","490","shouldFetchTimestampAndDate(Object, Object, boolean) [1] 2019-07-31T11:15:13, 2019-07-31, true","","Wed Jul 22 05:09:08 UTC 2026","passed","Wed Jul 22 05:09:08 UTC 2026","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchTimestampAndDate"
"","232","shouldThrowExceptionWhenFilesMapIsNull()","","Wed Jul 22 05:08:39 UTC 2026","passed","Wed Jul 22 05:08:39 UTC 2026","","integration.tests.ParquetStatementTest","integration.tests.ParquetStatementTest","shouldThrowExceptionWhenFilesMapIsNull"
"","294","unlimitedMaxFieldSize(int) [2] -1","","Wed Jul 22 05:09:46 UTC 2026","passed","Wed Jul 22 05:09:46 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","unlimitedMaxFieldSize"
"","71","shouldThrowExceptionWhenCommitingWithNoTransaction()","","Wed Jul 22 05:18:10 UTC 2026","passed","Wed Jul 22 05:18:10 UTC 2026","","integration.tests.TransactionTest","integration.tests.TransactionTest","shouldThrowExceptionWhenCommitingWithNoTransaction"
"","244","shouldSelect1()","","Wed Jul 22 05:10:21 UTC 2026","passed","Wed Jul 22 05:10:21 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","shouldSelect1"
"","1033","shouldHandleSequentialTransactions()","","Wed Jul 22 05:18:04 UTC 2026","passed","Wed Jul 22 05:18:05 UTC 2026","","integration.tests.TransactionTest","integration.tests.TransactionTest","shouldHandleSequentialTransactions"
"","64","shouldGetParsedTimeStampExtTimeObjects()","","Wed Jul 22 05:17:57 UTC 2026","passed","Wed Jul 22 05:17:57 UTC 2026","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldGetParsedTimeStampExtTimeObjects"
