"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1411","setWrongParameterOnUserEngineForV1()","","Sat Dec 20 05:56:24 UTC 2025","passed","Sat Dec 20 05:56:25 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","setWrongParameterOnUserEngineForV1"
"","1598","maxFieldSize(int) [2] 3","","Sat Dec 20 05:56:19 UTC 2025","passed","Sat Dec 20 05:56:21 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","maxFieldSize"
"","1961","unlimitedMaxFieldSize(int) [3] 100","","Sat Dec 20 05:55:59 UTC 2025","passed","Sat Dec 20 05:56:01 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","unlimitedMaxFieldSize"
"","106","getTables(String, String, String, String, String, String) [5] null, null, null, VIEW, views;tables, integration_test","","Sat Dec 20 05:53:30 UTC 2025","passed","Sat Dec 20 05:53:30 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","54","infFloatUserEngine(String) [1] select 'inf'::float","","Sat Dec 20 05:55:37 UTC 2025","passed","Sat Dec 20 05:55:37 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infFloatUserEngine"
"","141","shouldReturnTimestampFromDateWhenUsingTime_zoneSetting()","","Sat Dec 20 06:04:08 UTC 2025","passed","Sat Dec 20 06:04:08 UTC 2025","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldReturnTimestampFromDateWhenUsingTime_zoneSetting"
"","107","getTables(String, String, String, String, String, String) [7] null, null, %test, null, integration_test, tables;columns;views","","Sat Dec 20 05:53:30 UTC 2025","passed","Sat Dec 20 05:53:30 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","3122","shouldInsertAndSelectDateTime()","","Sat Dec 20 05:54:37 UTC 2025","passed","Sat Dec 20 05:54:40 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertAndSelectDateTime"
"","118","getTables(String, String, String, String, String, String) [2] null, null, null, TABLE;VIEW, tables;views;integration_test, null","","Sat Dec 20 05:53:30 UTC 2025","passed","Sat Dec 20 05:53:30 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","1615","empty(String) query:/* {""app"": ""dbt"", ""dbt_version"": ""0.20.0"", ""profile_name"": ""jaffle_shop"", ""target_name"": ""fb_app"", ""connection_name"": ""macro_stage_external_sources""} */;","","Sat Dec 20 05:56:33 UTC 2025","passed","Sat Dec 20 05:56:35 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","empty"
