"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","96","getColumns(String, String, String, String, String, String) [11] null, null, %in%, null, information_schema.engines.engine_name, information_schema.tables.table_name","","Sun Nov 23 04:08:40 UTC 2025","passed","Sun Nov 23 04:08:40 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","393","mixedCaseSelect(String, String) [1] select 1 as lower, 2 as UPPER, 3 AS MiXeD, lower,upper,mixed","","Sun Nov 23 04:08:20 UTC 2025","passed","Sun Nov 23 04:08:20 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","mixedCaseSelect"
"","100","getColumns(String, String, String, String, String, String) [2] null, information_schema, null, null, information_schema.columns.column_name, null","","Sun Nov 23 04:08:39 UTC 2025","passed","Sun Nov 23 04:08:39 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","25933","useEngine()","","Sun Nov 23 04:09:15 UTC 2025","passed","Sun Nov 23 04:09:40 UTC 2025","","integration.tests.SystemEngineTest","integration.tests.SystemEngineTest","useEngine"
"","5901","executeServerSideAsyncTestFetchStatusWorksOnDifferentEngines()","","Sun Nov 23 04:05:14 UTC 2025","passed","Sun Nov 23 04:05:20 UTC 2025","","integration.tests.AsyncQueryTest","integration.tests.AsyncQueryTest","executeServerSideAsyncTestFetchStatusWorksOnDifferentEngines"
"","439","failedSettingPropertyThatRequiresAdvancedModeThatWasUnset()","","Sun Nov 23 04:07:58 UTC 2025","passed","Sun Nov 23 04:07:58 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","failedSettingPropertyThatRequiresAdvancedModeThatWasUnset"
"","566","shouldFailToSelectFromCustomDbUsingSystemEngine()","","Sun Nov 23 04:10:06 UTC 2025","passed","Sun Nov 23 04:10:06 UTC 2025","","integration.tests.SystemEngineTest","integration.tests.SystemEngineTest","shouldFailToSelectFromCustomDbUsingSystemEngine"
"","71","getSchemasInformationSchema(String, String, String) [8] {database}, information%, information_schema","","Sun Nov 23 04:08:36 UTC 2025","passed","Sun Nov 23 04:08:36 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getSchemasInformationSchema"
"","1777","executeCancelServerSideAsyncQueryAfterQueryHasFinishedTest()","","Sun Nov 23 04:05:12 UTC 2025","passed","Sun Nov 23 04:05:14 UTC 2025","","integration.tests.AsyncQueryTest","integration.tests.AsyncQueryTest","executeCancelServerSideAsyncQueryAfterQueryHasFinishedTest"
"","70","getColumns(String, String, String, String, String, String) [30] {database}, %form%, %in%, type, information_schema.engines.type, information_schema.engines.status","","Sun Nov 23 04:08:42 UTC 2025","passed","Sun Nov 23 04:08:42 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","156","connectToNotExistingDbV2(EngineType) SYSTEM_ENGINE","","Sun Nov 23 04:06:09 UTC 2025","passed","Sun Nov 23 04:06:09 UTC 2025","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","connectToNotExistingDbV2"
"","389","nullSortOrder()","","Sun Nov 23 04:08:32 UTC 2025","passed","Sun Nov 23 04:08:33 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","nullSortOrder"
"","378","byteaArray()","","Sun Nov 23 04:06:47 UTC 2025","passed","Sun Nov 23 04:06:48 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","byteaArray"
"","74","successfulConnect(boolean, boolean) V2 using db:false engine:false","","Sun Nov 23 04:06:12 UTC 2025","passed","Sun Nov 23 04:06:12 UTC 2025","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","successfulConnect"
"","70","getTables(String, String, String, String, String, String) [11] null, null, %in%, null, engines, tables","","Sun Nov 23 04:08:37 UTC 2025","passed","Sun Nov 23 04:08:37 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","891","shouldInsertRecordsInBatch()","","Sun Nov 23 04:07:20 UTC 2025","passed","Sun Nov 23 04:07:21 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertRecordsInBatch"
"","457","failedSettingPropertyThatRequiresAdvancedModeThatWasNotSet()","","Sun Nov 23 04:08:02 UTC 2025","passed","Sun Nov 23 04:08:03 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","failedSettingPropertyThatRequiresAdvancedModeThatWasNotSet"
"","540","emptyIntAndStringValues(PreparedStatementValueSetter) set ARRAY","","Sun Nov 23 04:06:48 UTC 2025","passed","Sun Nov 23 04:06:48 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","emptyIntAndStringValues"
"","79","getColumns(String, String, String, String, String, String) [13] null, information%, %in%, null, information_schema.engines.engine_name, information_schema.tables.table_name","","Sun Nov 23 04:08:40 UTC 2025","passed","Sun Nov 23 04:08:40 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","665","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) getObject(i, java.util.Map.of(""long"", Integer.class)","","Sun Nov 23 04:07:18 UTC 2025","passed","Sun Nov 23 04:07:18 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertRecordsUsingDifferentNumericTypes"
"","451","shouldSelect1WithQueryTimeout()","","Sun Nov 23 04:08:03 UTC 2025","passed","Sun Nov 23 04:08:03 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldSelect1WithQueryTimeout"
