"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 26 07:05:12 GMT 2025","Tue Aug 26 07:05:12 GMT 2025","73","","integration.tests.client.RetryPolicyTest","","integration.tests.client.RetryPolicyTest","shouldThrowExceptionOn400WithoutRetry","shouldThrowExceptionOn400WithoutRetry()",""
"passed","Tue Aug 26 06:56:08 GMT 2025","Tue Aug 26 06:56:10 GMT 2025","1665","","integration.tests.PreparedStatementTest","","integration.tests.PreparedStatementTest","shouldFetchSpecialCharacters","shouldFetchSpecialCharacters()",""
"passed","Tue Aug 26 06:57:18 GMT 2025","Tue Aug 26 06:57:18 GMT 2025","526","","integration.tests.StatementTest","","integration.tests.StatementTest","shouldThrowExceptionWhenTryingToExecuteQueryThatWouldReturnMultipleResultSets","shouldThrowExceptionWhenTryingToExecuteQueryThatWouldReturnMultipleResultSets()",""
"passed","Tue Aug 26 06:56:35 GMT 2025","Tue Aug 26 06:56:37 GMT 2025","2061","","integration.tests.PreparedStatementTest","","integration.tests.PreparedStatementTest","shouldInsertAndSelectBlobClob","shouldInsertAndSelectBlobClob()",""
"passed","Tue Aug 26 07:05:09 GMT 2025","Tue Aug 26 07:05:10 GMT 2025","161","","integration.tests.TimestampTest","","integration.tests.TimestampTest","shouldRemoveOffsetDIffWhenTimestampOffsetHasChanged","shouldRemoveOffsetDIffWhenTimestampOffsetHasChanged()",""
"passed","Tue Aug 26 06:57:59 GMT 2025","Tue Aug 26 06:57:59 GMT 2025","1","","integration.tests.SystemEngineDatabaseMetaDataTest","","integration.tests.SystemEngineDatabaseMetaDataTest","readOnly","readOnly()",""
"passed","Tue Aug 26 06:56:39 GMT 2025","Tue Aug 26 06:56:39 GMT 2025","20","","integration.tests.SpecialValuesTest","","integration.tests.SpecialValuesTest","nanFloatUserEngine","nanFloatUserEngine(String) [2] select '+nan'::float",""
"passed","Tue Aug 26 06:55:56 GMT 2025","Tue Aug 26 06:55:58 GMT 2025","2079","","integration.tests.PreparedStatementArrayTest","","integration.tests.PreparedStatementArrayTest","nullableBiDimensionalArray","nullableBiDimensionalArray()",""
"passed","Tue Aug 26 06:57:48 GMT 2025","Tue Aug 26 06:57:49 GMT 2025","571","","integration.tests.StatementTest","","integration.tests.StatementTest","shouldReuseStatementWhenNotCloseOnCompletion","shouldReuseStatementWhenNotCloseOnCompletion()",""
"passed","Tue Aug 26 06:57:10 GMT 2025","Tue Aug 26 06:57:12 GMT 2025","1302","","integration.tests.StatementTest","","integration.tests.StatementTest","shouldReturnTrueWhenExecutingMultiStatementWithFirstStatementReturningAResultSet","shouldReturnTrueWhenExecutingMultiStatementWithFirstStatementReturningAResultSet()",""
"passed","Tue Aug 26 06:55:20 GMT 2025","Tue Aug 26 06:55:22 GMT 2025","1988","","integration.tests.ConnectionTest","","integration.tests.ConnectionTest","unsuccessfulConnectV1","unsuccessfulConnectV1(boolean, boolean) using db:false engine:false",""
"passed","Tue Aug 26 06:56:26 GMT 2025","Tue Aug 26 06:56:28 GMT 2025","1686","","integration.tests.PreparedStatementTest","","integration.tests.PreparedStatementTest","shouldInsertRecordsUsingDifferentNumericTypes","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) getObject(Long.class)",""
"passed","Tue Aug 26 06:55:44 GMT 2025","Tue Aug 26 06:55:45 GMT 2025","879","","integration.tests.PreparedStatementArrayTest","","integration.tests.PreparedStatementArrayTest","integerAndStringWithNullValues","integerAndStringWithNullValues(PreparedStatementValueSetter) set OBJECT",""
"passed","Tue Aug 26 06:55:35 GMT 2025","Tue Aug 26 06:55:35 GMT 2025","44","","integration.tests.NumericTypesTest","","integration.tests.NumericTypesTest","shouldHaveCorrectInfo","shouldHaveCorrectInfo()",""
"passed","Tue Aug 26 06:55:24 GMT 2025","Tue Aug 26 06:55:24 GMT 2025","465","","integration.tests.ConnectionTest","","integration.tests.ConnectionTest","successfulConnectUnsuccessfulSelectV1","successfulConnectUnsuccessfulSelectV1(boolean, boolean) using db:false engine:true",""
"passed","Tue Aug 26 06:57:46 GMT 2025","Tue Aug 26 06:57:46 GMT 2025","541","","integration.tests.StatementTest","","integration.tests.StatementTest","mixedCaseSelect","mixedCaseSelect(String, String) [2] select 1 as ""lower"", 2 as ""UPPER"", 3 AS ""MiXeD"", lower,UPPER,MiXeD",""
