"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","68","successfulConnectV1(boolean, boolean) using db:true engine:true","","Tue Nov 04 12:43:22 UTC 2025","passed","Tue Nov 04 12:43:22 UTC 2025","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","successfulConnectV1"
"","1523","emptyIntegerAndStringValues(PreparedStatementValueSetter) set OBJECT","","Tue Nov 04 12:43:36 UTC 2025","passed","Tue Nov 04 12:43:38 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","emptyIntegerAndStringValues"
"","1128","empty(String) query:     ;","","Tue Nov 04 12:45:14 UTC 2025","passed","Tue Nov 04 12:45:15 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","empty"
"","18","nanRealUserEngine(String) [3] select '-nan'::real","","Tue Nov 04 12:44:30 UTC 2025","passed","Tue Nov 04 12:44:30 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanRealUserEngine"
"","17","nanRealUserEngine(String) [1] select 'nan'::real","","Tue Nov 04 12:44:30 UTC 2025","passed","Tue Nov 04 12:44:30 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanRealUserEngine"
"","0","shouldFetchBooleanFromVariousObjects(Object, Object)","","Tue Nov 04 12:44:28 UTC 2025","skipped","Tue Nov 04 12:44:28 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchBooleanFromVariousObjects"
"","60","shouldGetTimeObjectsInDefaultUTCTimezone()","","Tue Nov 04 12:52:53 UTC 2025","passed","Tue Nov 04 12:52:53 UTC 2025","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldGetTimeObjectsInDefaultUTCTimezone"
"","1662","shouldInsertAndSelectDateTime()","","Tue Nov 04 12:43:57 UTC 2025","passed","Tue Nov 04 12:43:58 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertAndSelectDateTime"
"","18","nanFloatUserEngine(String) [1] select 'nan'::float","","Tue Nov 04 12:44:30 UTC 2025","passed","Tue Nov 04 12:44:31 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanFloatUserEngine"
"","1594","shouldReplaceParamMarkers()","","Tue Nov 04 12:44:22 UTC 2025","passed","Tue Nov 04 12:44:24 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldReplaceParamMarkers"
"","1752","shouldFetchTimestampAndDate(Object, Object, boolean) [2] 2019-07-31 11:15:13.0, 2019-07-31, true","","Tue Nov 04 12:44:05 UTC 2025","passed","Tue Nov 04 12:44:07 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchTimestampAndDate"
"","585","shouldGetMultipleResultSets()","","Tue Nov 04 12:45:20 UTC 2025","passed","Tue Nov 04 12:45:20 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldGetMultipleResultSets"
"","1318","shouldReturnTrueWhenExecutingMultiStatementWithFirstStatementReturningAResultSet()","","Tue Nov 04 12:44:59 UTC 2025","passed","Tue Nov 04 12:45:00 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldReturnTrueWhenExecutingMultiStatementWithFirstStatementReturningAResultSet"
"","64","shouldThrowExceptionOn400WithoutRetry()","","Tue Nov 04 12:52:56 UTC 2025","passed","Tue Nov 04 12:52:56 UTC 2025","","integration.tests.client.RetryPolicyTest","integration.tests.client.RetryPolicyTest","shouldThrowExceptionOn400WithoutRetry"
"","18","infDoubleUserEngine(String) [2] select '+inf'::double","","Tue Nov 04 12:44:30 UTC 2025","passed","Tue Nov 04 12:44:30 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infDoubleUserEngine"
"","594","mixedCaseSelect(String, String) [2] select 1 as ""lower"", 2 as ""UPPER"", 3 AS ""MiXeD"", lower,UPPER,MiXeD","","Tue Nov 04 12:45:32 UTC 2025","passed","Tue Nov 04 12:45:33 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","mixedCaseSelect"
"","17","minusInfFloatUserEngine(String) [1] select '-inf'::float","","Tue Nov 04 12:44:31 UTC 2025","passed","Tue Nov 04 12:44:31 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","minusInfFloatUserEngine"
"","1801","preparedStatementUsingStringValueContainsStringNull()","","Tue Nov 04 12:43:24 UTC 2025","passed","Tue Nov 04 12:43:26 UTC 2025","","integration.tests.NullableValuesTest","integration.tests.NullableValuesTest","preparedStatementUsingStringValueContainsStringNull"
"","1502","shouldFetchTimestampAndDate(Object, Object, boolean) [1] 2019-07-31T11:15:13, 2019-07-31, true","","Tue Nov 04 12:44:04 UTC 2025","passed","Tue Nov 04 12:44:05 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchTimestampAndDate"
"","68","shouldReturnTimestampFromTimestampTzWithTzWithHoursAndMinutesWhenUsingTime_ZoneSettings()","","Tue Nov 04 12:52:54 UTC 2025","passed","Tue Nov 04 12:52:54 UTC 2025","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldReturnTimestampFromTimestampTzWithTzWithHoursAndMinutesWhenUsingTime_ZoneSettings"
"","1502","shouldReturnTrueWhenExecutingAStatementThatReturnsAResultSet()","","Tue Nov 04 12:45:05 UTC 2025","passed","Tue Nov 04 12:45:07 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldReturnTrueWhenExecutingAStatementThatReturnsAResultSet"
