"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","405302","shouldExecuteRequestWithoutTimeoutV1()","","Thu Nov 06 08:53:50 UTC 2025","passed","Thu Nov 06 09:00:35 UTC 2025","","integration.tests.TimeoutTest","integration.tests.TimeoutTest","shouldExecuteRequestWithoutTimeoutV1"
"","149","shouldReturnTimestampFromTimestampTzWithTzWithHoursAndMinutesWhenUsingTime_ZoneSettings()","","Thu Nov 06 09:00:39 UTC 2025","passed","Thu Nov 06 09:00:39 UTC 2025","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldReturnTimestampFromTimestampTzWithTzWithHoursAndMinutesWhenUsingTime_ZoneSettings"
"","34","nanFloatUserEngine(String) [3] select '-nan'::float","","Thu Nov 06 08:52:24 UTC 2025","passed","Thu Nov 06 08:52:24 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanFloatUserEngine"
"","1534","setWrongParameterOnUserEngineForV1()","","Thu Nov 06 08:53:09 UTC 2025","passed","Thu Nov 06 08:53:11 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","setWrongParameterOnUserEngineForV1"
"","151","shouldReturnTimestampFromTimestampTzWithTzWithHoursAndMinutesAndSecondsWhenUsingTime_ZoneSetting()","","Thu Nov 06 09:00:39 UTC 2025","passed","Thu Nov 06 09:00:39 UTC 2025","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldReturnTimestampFromTimestampTzWithTzWithHoursAndMinutesAndSecondsWhenUsingTime_ZoneSetting"
"","1530","nullArrays(PreparedStatementValueSetter) set OBJECT","","Thu Nov 06 08:51:37 UTC 2025","passed","Thu Nov 06 08:51:39 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","nullArrays"
"","1641","setCorrectThenWrongParameterOnUserEngine()","","Thu Nov 06 08:52:51 UTC 2025","passed","Thu Nov 06 08:52:52 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","setCorrectThenWrongParameterOnUserEngine"
"","1417","emptyIntAndStringValues(PreparedStatementValueSetter) set ARRAY","","Thu Nov 06 08:51:33 UTC 2025","passed","Thu Nov 06 08:51:34 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","emptyIntAndStringValues"
"","113","getTables(String, String, String, String, String, String) [13] null, information_schema, null, TABLE, null, integration_test","","Thu Nov 06 08:51:09 UTC 2025","passed","Thu Nov 06 08:51:09 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","0","shouldFetchBooleanFromVariousObjects(Object, Object)","","Thu Nov 06 08:52:21 UTC 2025","skipped","Thu Nov 06 08:52:21 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchBooleanFromVariousObjects"
"","1476","empty(String) query:;","","Thu Nov 06 08:53:12 UTC 2025","passed","Thu Nov 06 08:53:14 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","empty"
"","2293","shouldInsertAndSelectByteArray()","","Thu Nov 06 08:52:21 UTC 2025","passed","Thu Nov 06 08:52:23 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertAndSelectByteArray"
"","193","shouldReturnTimestampFromTimestamptzWithTime_zoneSettings()","","Thu Nov 06 09:00:39 UTC 2025","passed","Thu Nov 06 09:00:39 UTC 2025","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldReturnTimestampFromTimestamptzWithTime_zoneSettings"
"","2883","nullableBiDimensionalArray()","","Thu Nov 06 08:51:39 UTC 2025","passed","Thu Nov 06 08:51:42 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","nullableBiDimensionalArray"
"","37","nanDoubleUserEngine(String) [3] select '-nan'::double","","Thu Nov 06 08:52:23 UTC 2025","passed","Thu Nov 06 08:52:23 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanDoubleUserEngine"
"","1758","intAndStringValues(PreparedStatementValueSetter) set OBJECT","","Thu Nov 06 08:51:19 UTC 2025","passed","Thu Nov 06 08:51:21 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","intAndStringValues"
"","1540","successfulSettingOfPropertyThatRequiresAdvancedModeConfiguredWhenConnectionIsCreated()","","Thu Nov 06 08:52:53 UTC 2025","passed","Thu Nov 06 08:52:55 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","successfulSettingOfPropertyThatRequiresAdvancedModeConfiguredWhenConnectionIsCreated"
"","1820","intAndStringValues(PreparedStatementValueSetter) set ARRAY","","Thu Nov 06 08:51:18 UTC 2025","passed","Thu Nov 06 08:51:19 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","intAndStringValues"
"","2177","shouldInsertAndSelectBlobClob()","","Thu Nov 06 08:52:19 UTC 2025","passed","Thu Nov 06 08:52:21 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertAndSelectBlobClob"
"","1912","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) int","","Thu Nov 06 08:52:07 UTC 2025","passed","Thu Nov 06 08:52:09 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertRecordsUsingDifferentNumericTypes"
"","130","shouldReturnTable()","","Thu Nov 06 08:51:08 UTC 2025","passed","Thu Nov 06 08:51:08 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","shouldReturnTable"
"","36","nanRealUserEngine(String) [1] select 'nan'::real","","Thu Nov 06 08:52:23 UTC 2025","passed","Thu Nov 06 08:52:23 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanRealUserEngine"
"","2035","integerAndStringWithNullValues(PreparedStatementValueSetter) set OBJECT","","Thu Nov 06 08:51:27 UTC 2025","passed","Thu Nov 06 08:51:29 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","integerAndStringWithNullValues"
"","7869","shouldExecuteBatch()","","Thu Nov 06 08:53:22 UTC 2025","passed","Thu Nov 06 08:53:30 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldExecuteBatch"
"","35","nanFloatUserEngine(String) [1] select 'nan'::float","","Thu Nov 06 08:52:24 UTC 2025","passed","Thu Nov 06 08:52:24 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanFloatUserEngine"
"","1","readOnly()","","Thu Nov 06 08:53:50 UTC 2025","passed","Thu Nov 06 08:53:50 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","readOnly"
"","1683","unlimitedMaxFieldSize(int) [2] -1","","Thu Nov 06 08:52:48 UTC 2025","passed","Thu Nov 06 08:52:50 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","unlimitedMaxFieldSize"
"","315","shouldUseTLS()","","Thu Nov 06 09:00:41 UTC 2025","passed","Thu Nov 06 09:00:41 UTC 2025","","integration.tests.client.TLSTest","integration.tests.client.TLSTest","shouldUseTLS"
"","1082","empty(String) query:-- SELECT 1;","","Thu Nov 06 08:53:16 UTC 2025","passed","Thu Nov 06 08:53:17 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","empty"
"","1206","shouldThrowExceptionWhenExecutingWrongQueryV1()","","Thu Nov 06 08:53:44 UTC 2025","passed","Thu Nov 06 08:53:45 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldThrowExceptionWhenExecutingWrongQueryV1"
"","1983","shouldInsertRecordsInBatch()","","Thu Nov 06 08:52:17 UTC 2025","passed","Thu Nov 06 08:52:19 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertRecordsInBatch"
"","113","getTables(String, String, String, String, String, String) [7] null, null, %test, null, integration_test, tables;columns;views","","Thu Nov 06 08:51:08 UTC 2025","passed","Thu Nov 06 08:51:09 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","118","getTables(String, String, String, String, String, String) [1] null, null, null, null, tables;views;integration_test, null","","Thu Nov 06 08:51:08 UTC 2025","passed","Thu Nov 06 08:51:08 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","1707","nullSortOrder()","","Thu Nov 06 08:53:38 UTC 2025","passed","Thu Nov 06 08:53:40 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","nullSortOrder"
"","1569","shouldReturnTrueWhenExecutingMultiStatementWithFirstStatementReturningAResultSet()","","Thu Nov 06 08:52:56 UTC 2025","passed","Thu Nov 06 08:52:58 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldReturnTrueWhenExecutingMultiStatementWithFirstStatementReturningAResultSet"
"","1171","successfulSettingOfPropertyThatRequiresAdvancedModePreviouslySetAtRuntime()","","Thu Nov 06 08:53:00 UTC 2025","passed","Thu Nov 06 08:53:01 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","successfulSettingOfPropertyThatRequiresAdvancedModePreviouslySetAtRuntime"
"","1936","shouldFailSQLInjectionAttempt()","","Thu Nov 06 08:51:42 UTC 2025","passed","Thu Nov 06 08:51:44 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFailSQLInjectionAttempt"
"","40","infFloatUserEngine(String) [2] select '+inf'::float","","Thu Nov 06 08:52:23 UTC 2025","passed","Thu Nov 06 08:52:23 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infFloatUserEngine"
