"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1533","shouldCompareAllTimeStampsWithMultipleThreads()","","Wed Nov 05 15:55:17 UTC 2025","passed","Wed Nov 05 15:55:19 UTC 2025","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldCompareAllTimeStampsWithMultipleThreads"
"","55","emptyIntegerAndStringValues(PreparedStatementValueSetter) set OBJECT","","Wed Nov 05 15:54:48 UTC 2025","passed","Wed Nov 05 15:54:48 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","emptyIntegerAndStringValues"
"","10033","willUseRandomQueryLabelIfNoneExplicitlySet()","","Wed Nov 05 15:55:03 UTC 2025","passed","Wed Nov 05 15:55:13 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","willUseRandomQueryLabelIfNoneExplicitlySet"
"","49","intAndStringValues(PreparedStatementValueSetter) set OBJECT","","Wed Nov 05 15:54:48 UTC 2025","passed","Wed Nov 05 15:54:48 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","intAndStringValues"
"","3","nanDoubleUserEngine(String) [2] select '+nan'::double","","Wed Nov 05 15:54:51 UTC 2025","passed","Wed Nov 05 15:54:51 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanDoubleUserEngine"
"","8","shouldGetParsedTimeStampExtTimeObjects()","","Wed Nov 05 15:55:17 UTC 2025","passed","Wed Nov 05 15:55:17 UTC 2025","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldGetParsedTimeStampExtTimeObjects"
"","7","shouldRemoveOffsetDIffWhenTimestampOffsetHasChanged()","","Wed Nov 05 15:55:17 UTC 2025","passed","Wed Nov 05 15:55:17 UTC 2025","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldRemoveOffsetDIffWhenTimestampOffsetHasChanged"
"","21","getTables(String, String, String, String, String, String) [15] null, information_schema, null, VIEW, tables;columns, null","","Wed Nov 05 15:54:48 UTC 2025","passed","Wed Nov 05 15:54:48 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","3","nanRealUserEngine(String) [3] select '-nan'::real","","Wed Nov 05 15:54:52 UTC 2025","passed","Wed Nov 05 15:54:52 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanRealUserEngine"
"","27","shouldSetParametersWithRepeatingValues()","","Wed Nov 05 15:54:49 UTC 2025","passed","Wed Nov 05 15:54:49 UTC 2025","","integration.tests.PreparedStatementFbNumericTest","integration.tests.PreparedStatementFbNumericTest","shouldSetParametersWithRepeatingValues"
"","46","maxFieldSize(int) [1] 1","","Wed Nov 05 15:54:52 UTC 2025","passed","Wed Nov 05 15:54:52 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","maxFieldSize"
"","2","cannotConnectToFireboltCoreWithInvalidUrl(String, String) [3] http://172.0.0.1:, Invalid URL format. URL must be in the form: <protocol>://<host>:<port>. You must specify the port.","","Wed Nov 05 15:54:37 UTC 2025","passed","Wed Nov 05 15:54:37 UTC 2025","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","cannotConnectToFireboltCoreWithInvalidUrl"
"","3","minusInfFloatAsDoubleUserEngine(String) [1] select '-inf'::float","","Wed Nov 05 15:54:52 UTC 2025","passed","Wed Nov 05 15:54:52 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","minusInfFloatAsDoubleUserEngine"
"","3","nanRealUserEngine(String) [2] select '+nan'::real","","Wed Nov 05 15:54:52 UTC 2025","passed","Wed Nov 05 15:54:52 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanRealUserEngine"
"","23","empty(String) query:;","","Wed Nov 05 15:54:52 UTC 2025","passed","Wed Nov 05 15:54:52 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","empty"
"","33","forcePgdateTimestampntzIsNotAKnownSettingForCore()","","Wed Nov 05 15:54:52 UTC 2025","passed","Wed Nov 05 15:54:52 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","forcePgdateTimestampntzIsNotAKnownSettingForCore"
"","41","mixedCaseTable(String, String, String, String) [1] CREATE FACT TABLE Case_Test (x long), case_test, Case_Test, case_test","","Wed Nov 05 15:55:13 UTC 2025","passed","Wed Nov 05 15:55:13 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","mixedCaseTable"
"","53","shouldInsertAndSelectGeography()","","Wed Nov 05 15:54:51 UTC 2025","passed","Wed Nov 05 15:54:51 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertAndSelectGeography"
"","26","shouldFetchSpecialCharacters()","","Wed Nov 05 15:54:50 UTC 2025","passed","Wed Nov 05 15:54:50 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchSpecialCharacters"
"","69","shouldThrowExceptionOn400WithoutRetry()","","Wed Nov 05 15:55:19 UTC 2025","passed","Wed Nov 05 15:55:19 UTC 2025","","integration.tests.client.RetryPolicyTest","integration.tests.client.RetryPolicyTest","shouldThrowExceptionOn400WithoutRetry"
"","43","shouldReplaceParamMarkers()","","Wed Nov 05 15:54:51 UTC 2025","passed","Wed Nov 05 15:54:51 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldReplaceParamMarkers"
"","20","shouldFetchBoolean()","","Wed Nov 05 15:54:50 UTC 2025","passed","Wed Nov 05 15:54:50 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchBoolean"
"","41","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) short","","Wed Nov 05 15:54:51 UTC 2025","passed","Wed Nov 05 15:54:51 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertRecordsUsingDifferentNumericTypes"
"","30","setWrongParameterOnUserEngineForCore()","","Wed Nov 05 15:54:52 UTC 2025","passed","Wed Nov 05 15:54:52 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","setWrongParameterOnUserEngineForCore"
"","21","getTables(String, String, String, String, String, String) [12] null, public, null, VIEW, null, tables;columns;views","","Wed Nov 05 15:54:48 UTC 2025","passed","Wed Nov 05 15:54:48 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","74","preparedStatementUsingStringValueContainsStringNull()","","Wed Nov 05 15:54:48 UTC 2025","passed","Wed Nov 05 15:54:48 UTC 2025","","integration.tests.NullableValuesTest","integration.tests.NullableValuesTest","preparedStatementUsingStringValueContainsStringNull"
"","28","shouldReturnColumns()","","Wed Nov 05 15:54:48 UTC 2025","passed","Wed Nov 05 15:54:48 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","shouldReturnColumns"
"","13","shouldRetryOn502()","","Wed Nov 05 15:55:19 UTC 2025","passed","Wed Nov 05 15:55:19 UTC 2025","","integration.tests.client.RetryPolicyTest","integration.tests.client.RetryPolicyTest","shouldRetryOn502"
"","20","shouldReturnTrueWhenExecutingMultiStatementWithFirstStatementReturningAResultSet()","","Wed Nov 05 15:54:52 UTC 2025","passed","Wed Nov 05 15:54:52 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldReturnTrueWhenExecutingMultiStatementWithFirstStatementReturningAResultSet"
