"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","275","shouldUseTLS()","","Wed Nov 05 16:08:31 UTC 2025","passed","Wed Nov 05 16:08:31 UTC 2025","","integration.tests.client.TLSTest","integration.tests.client.TLSTest","shouldUseTLS"
"","983","successfulConnectUnsuccessfulSelectV1(boolean, boolean) using db:false engine:true","","Wed Nov 05 15:58:07 UTC 2025","passed","Wed Nov 05 15:58:08 UTC 2025","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","successfulConnectUnsuccessfulSelectV1"
"","2030","preparedStatementUsingExplicitNulls()","","Wed Nov 05 15:58:18 UTC 2025","passed","Wed Nov 05 15:58:20 UTC 2025","","integration.tests.NullableValuesTest","integration.tests.NullableValuesTest","preparedStatementUsingExplicitNulls"
"","260","getTables(String, String, String, String, String, String) [14] null, information_schema, null, TABLE;VIEW, tables;columns, integration_test","","Wed Nov 05 15:58:14 UTC 2025","passed","Wed Nov 05 15:58:14 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","1736","maxFieldSize(int) [1] 1","","Wed Nov 05 16:00:31 UTC 2025","passed","Wed Nov 05 16:00:33 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","maxFieldSize"
"","1483","maxFieldSize(int) [3] 5","","Wed Nov 05 16:00:34 UTC 2025","passed","Wed Nov 05 16:00:36 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","maxFieldSize"
"","1337","setCorrectThenWrongParameterOnUserEngine()","","Wed Nov 05 16:00:15 UTC 2025","passed","Wed Nov 05 16:00:16 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","setCorrectThenWrongParameterOnUserEngine"
"","1298","unlimitedMaxFieldSize(int) [2] -1","","Wed Nov 05 16:00:13 UTC 2025","passed","Wed Nov 05 16:00:14 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","unlimitedMaxFieldSize"
"","84","minusInfDoubleUserEngine(String) [1] select '-inf'::double","","Wed Nov 05 15:59:45 UTC 2025","passed","Wed Nov 05 15:59:45 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","minusInfDoubleUserEngine"
"","262","getTables(String, String, String, String, String, String) [5] null, null, null, VIEW, views;tables, integration_test","","Wed Nov 05 15:58:12 UTC 2025","passed","Wed Nov 05 15:58:12 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","1188","shouldFetchBoolean()","","Wed Nov 05 15:59:02 UTC 2025","passed","Wed Nov 05 15:59:04 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchBoolean"
"","1520","successfulSettingOfPropertyThatRequiresAdvancedModeConfiguredWhenConnectionIsCreated()","","Wed Nov 05 16:00:18 UTC 2025","passed","Wed Nov 05 16:00:19 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","successfulSettingOfPropertyThatRequiresAdvancedModeConfiguredWhenConnectionIsCreated"
"","272","getTables(String, String, String, String, String, String) [6] null, null, %account%, null, accounts;service_accounts, tables;columns;views","","Wed Nov 05 15:58:12 UTC 2025","passed","Wed Nov 05 15:58:12 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","1998","mixedCaseTable(String, String, String, String) [1] CREATE FACT TABLE Case_Test (x long), case_test, Case_Test, case_test","","Wed Nov 05 16:01:12 UTC 2025","passed","Wed Nov 05 16:01:14 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","mixedCaseTable"
"","2379","shouldFetchTimestampAndDate(Object, Object, boolean) [3] 2019-07-31T11:15:13, 2019-07-31, false","","Wed Nov 05 15:59:13 UTC 2025","passed","Wed Nov 05 15:59:16 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchTimestampAndDate"
"","2289","unlimitedMaxFieldSize(int) [1] 0","","Wed Nov 05 16:00:10 UTC 2025","passed","Wed Nov 05 16:00:12 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","unlimitedMaxFieldSize"
