"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","467","nullSortOrder()","","Mon Dec 08 08:59:50 UTC 2025","passed","Mon Dec 08 08:59:50 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","nullSortOrder"
"","14","shouldSendRequestWithUserAgentHeaderContainingDriverAndClientInfo()","","Mon Dec 08 09:07:12 UTC 2025","passed","Mon Dec 08 09:07:12 UTC 2025","","integration.tests.client.UsageTrackingTest","integration.tests.client.UsageTrackingTest","shouldSendRequestWithUserAgentHeaderContainingDriverAndClientInfo"
"","469","failingQuery(String) [1] SELECT CONVERT(varchar, 3.14)","","Mon Dec 08 08:59:49 UTC 2025","passed","Mon Dec 08 08:59:49 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","failingQuery"
"","19","nanFloatUserEngine(String) [1] select 'nan'::float","","Mon Dec 08 08:53:06 UTC 2025","passed","Mon Dec 08 08:53:06 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanFloatUserEngine"
"","10988","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) getObject(i, java.util.Map.of(""long"", Integer.class)","","Mon Dec 08 08:50:40 UTC 2025","passed","Mon Dec 08 08:50:51 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertRecordsUsingDifferentNumericTypes"
"","19","infRealUserEngine(String) [1] select 'inf'::real","","Mon Dec 08 08:53:05 UTC 2025","passed","Mon Dec 08 08:53:05 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infRealUserEngine"
"","484","maxFieldSize(int) [2] 3","","Mon Dec 08 08:55:24 UTC 2025","passed","Mon Dec 08 08:55:25 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","maxFieldSize"
"","490","shouldThrowExceptionWhenExecutingWrongQueryV1()","","Mon Dec 08 08:59:52 UTC 2025","passed","Mon Dec 08 08:59:52 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldThrowExceptionWhenExecutingWrongQueryV1"
"","10836","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) int","","Mon Dec 08 08:50:08 UTC 2025","passed","Mon Dec 08 08:50:19 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertRecordsUsingDifferentNumericTypes"
"","59","getTables(String, String, String, String, String, String) [3] null, null, null, VIEW;TABLE, integration_test;tables;views, null","","Mon Dec 08 08:43:32 UTC 2025","passed","Mon Dec 08 08:43:32 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","112","shouldReturnColumnsFromSelect()","","Mon Dec 08 08:43:32 UTC 2025","passed","Mon Dec 08 08:43:32 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","shouldReturnColumnsFromSelect"
"","13","shouldRetryOn502()","","Mon Dec 08 09:07:12 UTC 2025","passed","Mon Dec 08 09:07:12 UTC 2025","","integration.tests.client.RetryPolicyTest","integration.tests.client.RetryPolicyTest","shouldRetryOn502"
