"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","78","shouldReturnTimestampFromTimestampTzWithTzWithHoursAndMinutes()","","Thu Dec 25 04:09:15 UTC 2025","passed","Thu Dec 25 04:09:15 UTC 2025","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldReturnTimestampFromTimestampTzWithTzWithHoursAndMinutes"
"","36","nanFloatAsDoubleUserEngine(String) [3] select '-nan'::float","","Thu Dec 25 03:57:15 UTC 2025","passed","Thu Dec 25 03:57:15 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanFloatAsDoubleUserEngine"
"","84","getColumns(String, String, String, String, String, String) [8] {database}, information%, null, null, information_schema.columns.column_name, null","","Thu Dec 25 03:58:20 UTC 2025","passed","Thu Dec 25 03:58:20 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","46","getTables(String, String, String, String, String, String) [9] {database}, %schema, null, null, tables, null","","Thu Dec 25 03:58:18 UTC 2025","passed","Thu Dec 25 03:58:18 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","514","shouldFetchTimestampAndDate(Object, Object, boolean) [4] 2019-07-31 11:15:13.0, 2019-07-31, false","","Thu Dec 25 03:57:05 UTC 2025","passed","Thu Dec 25 03:57:05 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchTimestampAndDate"
"","107","getColumns(String, String, String, String, String, String) [1] null, null, null, null, information_schema.columns.column_name, null","","Thu Dec 25 03:58:20 UTC 2025","passed","Thu Dec 25 03:58:20 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","282","shouldReturnTrueWhenExecutingAStatementThatReturnsAResultSet()","","Thu Dec 25 03:57:44 UTC 2025","passed","Thu Dec 25 03:57:45 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldReturnTrueWhenExecutingAStatementThatReturnsAResultSet"
"","279","shouldResetTheParameterIndex()","","Thu Dec 25 03:56:52 UTC 2025","passed","Thu Dec 25 03:56:53 UTC 2025","","integration.tests.PreparedStatementFbNumericTest","integration.tests.PreparedStatementFbNumericTest","shouldResetTheParameterIndex"
"","37","infDoubleUserEngine(String) [2] select '+inf'::double","","Thu Dec 25 03:57:15 UTC 2025","passed","Thu Dec 25 03:57:15 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infDoubleUserEngine"
"","463","integerAndStringValues(PreparedStatementValueSetter) set OBJECT","","Thu Dec 25 03:56:46 UTC 2025","passed","Thu Dec 25 03:56:46 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","integerAndStringValues"
