"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 25 14:56:47 GMT 2025","Mon Aug 25 14:56:47 GMT 2025","118","","integration.tests.SystemEngineDatabaseMetaDataTest","","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns","getColumns(String, String, String, String, String, String) [10] {database}, %form%, null, null, information_schema.columns.column_name, null",""
"passed","Mon Aug 25 14:54:21 GMT 2025","Mon Aug 25 14:54:22 GMT 2025","770","","integration.tests.PreparedStatementFbNumericTest","","integration.tests.PreparedStatementFbNumericTest","shouldFailSQLInjectionAttempt","shouldFailSQLInjectionAttempt()",""
"passed","Mon Aug 25 14:55:08 GMT 2025","Mon Aug 25 14:55:08 GMT 2025","85","","integration.tests.SpecialValuesTest","","integration.tests.SpecialValuesTest","nanFloatAsDoubleSystemEngine","nanFloatAsDoubleSystemEngine(String) [3] select '-nan'::float",""
"passed","Mon Aug 25 14:53:30 GMT 2025","Mon Aug 25 14:53:31 GMT 2025","1502","","integration.tests.ConnectionTest","","integration.tests.ConnectionTest","networkPolicyBlockedServiceAccountThrowsError","networkPolicyBlockedServiceAccountThrowsError()",""
"passed","Mon Aug 25 14:56:48 GMT 2025","Mon Aug 25 14:56:48 GMT 2025","90","","integration.tests.SystemEngineDatabaseMetaDataTest","","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns","getColumns(String, String, String, String, String, String) [27] {database}, information_schema, %ac%, account_id, information_schema.accounts.account_id, information_schema.accounts.region",""
"passed","Mon Aug 25 14:54:39 GMT 2025","Mon Aug 25 14:54:41 GMT 2025","1779","","integration.tests.PreparedStatementTest","","integration.tests.PreparedStatementTest","canUseTimestampParameterWithSqlType","canUseTimestampParameterWithSqlType()",""
"passed","Mon Aug 25 14:54:47 GMT 2025","Mon Aug 25 14:54:48 GMT 2025","877","","integration.tests.PreparedStatementTest","","integration.tests.PreparedStatementTest","shouldFetchTimestampAndDate","shouldFetchTimestampAndDate(Object, Object, boolean) [3] 2019-07-31T11:15:13, 2019-07-31, false",""
"passed","Mon Aug 25 15:09:04 GMT 2025","Mon Aug 25 15:09:06 GMT 2025","1568","","integration.tests.TimestampTest","","integration.tests.TimestampTest","shouldCompareAllTimeStampsWithMultipleThreads","shouldCompareAllTimeStampsWithMultipleThreads()",""
"passed","Mon Aug 25 14:56:44 GMT 2025","Mon Aug 25 14:56:44 GMT 2025","97","","integration.tests.SystemEngineDatabaseMetaDataTest","","integration.tests.SystemEngineDatabaseMetaDataTest","getTables","getTables(String, String, String, String, String, String) [18] {database}, information%, %in%, null, engines, tables",""
"passed","Mon Aug 25 14:56:42 GMT 2025","Mon Aug 25 14:56:43 GMT 2025","100","","integration.tests.SystemEngineDatabaseMetaDataTest","","integration.tests.SystemEngineDatabaseMetaDataTest","getTables","getTables(String, String, String, String, String, String) [3] null, information%, null, null, tables, null",""
"passed","Mon Aug 25 15:09:20 GMT 2025","Mon Aug 25 15:09:25 GMT 2025","4618","","integration.tests.TransactionTest","","integration.tests.TransactionTest","shouldParallelTransactions","shouldParallelTransactions()",""
"passed","Mon Aug 25 14:56:48 GMT 2025","Mon Aug 25 14:56:48 GMT 2025","89","","integration.tests.SystemEngineDatabaseMetaDataTest","","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns","getColumns(String, String, String, String, String, String) [25] null, %form%, %in%, table_schema, information_schema.indexes.table_schema, information_schema.indexes.table_name",""
"passed","Mon Aug 25 15:09:03 GMT 2025","Mon Aug 25 15:09:03 GMT 2025","247","","integration.tests.TimestampTest","","integration.tests.TimestampTest","shouldReturnTimestampFromTimestamptz","shouldReturnTimestampFromTimestamptz()",""
