"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","921","shouldInsertAndRetrieveUrl()","","Tue Dec 16 03:57:37 UTC 2025","passed","Tue Dec 16 03:57:38 UTC 2025","","integration.tests.PreparedStatementFbNumericTest","integration.tests.PreparedStatementFbNumericTest","shouldInsertAndRetrieveUrl"
"","47","getTables(String, String, String, String, String, String) [11] null, public, null, TABLE;VIEW, integration_test, tables;columns;views","","Tue Dec 16 03:57:08 UTC 2025","passed","Tue Dec 16 03:57:08 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","322","caseInsensitiveGetter()","","Tue Dec 16 03:58:37 UTC 2025","passed","Tue Dec 16 03:58:38 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","caseInsensitiveGetter"
"","123","shouldReturnTimestampFromTimestamptzWithTime_zoneSettings()","","Tue Dec 16 04:11:52 UTC 2025","passed","Tue Dec 16 04:11:52 UTC 2025","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldReturnTimestampFromTimestamptzWithTime_zoneSettings"
"","49","getSchemasInformationSchema(String, String, String) [11] wrong_catalog, null, null","","Tue Dec 16 03:59:14 UTC 2025","passed","Tue Dec 16 03:59:15 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getSchemasInformationSchema"
"","1329","shouldInsertAndSelectStreams()","","Tue Dec 16 03:57:55 UTC 2025","passed","Tue Dec 16 03:57:57 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertAndSelectStreams"
"","42","infDoubleUserEngine(String) [2] select '+inf'::double","","Tue Dec 16 03:58:07 UTC 2025","passed","Tue Dec 16 03:58:07 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infDoubleUserEngine"
"","121","getSchemasInformationSchema(String, String, String) [10] {database}, %form%, information_schema","","Tue Dec 16 03:59:14 UTC 2025","passed","Tue Dec 16 03:59:14 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getSchemasInformationSchema"
"","10213","successfulConnectWithoutStartingTheEngine()","","Tue Dec 16 03:56:57 UTC 2025","passed","Tue Dec 16 03:57:07 UTC 2025","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","successfulConnectWithoutStartingTheEngine"
"","40","nanFloatAsDoubleUserEngine(String) [1] select 'nan'::float","","Tue Dec 16 03:58:06 UTC 2025","passed","Tue Dec 16 03:58:06 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanFloatAsDoubleUserEngine"
