"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19","cannotConnectToFireboltCoreWithInvalidUrl(String, String) [1] http://172.0.1.280, Invalid URL format. URL must be in the form: <protocol>://<host>:<port>. You must specify the port.","","Mon Nov 24 16:17:54 UTC 2025","passed","Mon Nov 24 16:17:54 UTC 2025","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","cannotConnectToFireboltCoreWithInvalidUrl"
"","176","canUsePreparedStatementsToInsertFalseValueInBooleanColumn()","","Mon Nov 24 16:18:36 UTC 2025","passed","Mon Nov 24 16:18:36 UTC 2025","","integration.tests.datatype.BooleanTest","integration.tests.datatype.BooleanTest","canUsePreparedStatementsToInsertFalseValueInBooleanColumn"
"","29","shouldFetchSpecialCharacters()","","Mon Nov 24 16:18:06 UTC 2025","passed","Mon Nov 24 16:18:06 UTC 2025","","integration.tests.PreparedStatementFbNumericTest","integration.tests.PreparedStatementFbNumericTest","shouldFetchSpecialCharacters"
"","67","shouldInsertAndSelectBlobClob()","","Mon Nov 24 16:18:08 UTC 2025","passed","Mon Nov 24 16:18:08 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertAndSelectBlobClob"
"","13","getTables(String, String, String, String, String, String) [4] null, null, null, TABLE, integration_test, views;tables","","Mon Nov 24 16:18:04 UTC 2025","passed","Mon Nov 24 16:18:04 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","32","shouldFailWhenParameterNotProvided()","","Mon Nov 24 16:18:06 UTC 2025","passed","Mon Nov 24 16:18:06 UTC 2025","","integration.tests.PreparedStatementFbNumericTest","integration.tests.PreparedStatementFbNumericTest","shouldFailWhenParameterNotProvided"
"","20","empty(String) query:     ;","","Mon Nov 24 16:18:09 UTC 2025","passed","Mon Nov 24 16:18:09 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","empty"
"","20","empty(String) query:;","","Mon Nov 24 16:18:09 UTC 2025","passed","Mon Nov 24 16:18:09 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","empty"
"","48","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) short","","Mon Nov 24 16:18:06 UTC 2025","passed","Mon Nov 24 16:18:06 UTC 2025","","integration.tests.PreparedStatementFbNumericTest","integration.tests.PreparedStatementFbNumericTest","shouldInsertRecordsUsingDifferentNumericTypes"
"","20","shouldGetBooleans()","","Mon Nov 24 16:18:09 UTC 2025","passed","Mon Nov 24 16:18:09 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldGetBooleans"
