"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13","nanDoubleUserEngine(String) [2] select '+nan'::double","","Mon Nov 24 16:24:39 UTC 2025","passed","Mon Nov 24 16:24:39 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanDoubleUserEngine"
"","0","canInsertBigDecimalUsingPreparedStatement()","","Mon Nov 24 16:33:44 UTC 2025","skipped","Mon Nov 24 16:33:44 UTC 2025","","integration.tests.datatype.BigDecimalTest","integration.tests.datatype.BigDecimalTest","canInsertBigDecimalUsingPreparedStatement"
"","19","getSchemasInformationSchema(String, String, String) [4] null, %schema, information_schema","","Mon Nov 24 16:25:41 UTC 2025","passed","Mon Nov 24 16:25:41 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getSchemasInformationSchema"
"","364","intAndStringValues(PreparedStatementValueSetter) set OBJECT","","Mon Nov 24 16:24:15 UTC 2025","passed","Mon Nov 24 16:24:15 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","intAndStringValues"
"","17","infDoubleSystemEngine(String) [2] select '+inf'::double","","Mon Nov 24 16:24:40 UTC 2025","passed","Mon Nov 24 16:24:40 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infDoubleSystemEngine"
"","428","shouldCommitTransactionWhenSwitchingToAutoCommit()","","Mon Nov 24 16:33:41 UTC 2025","passed","Mon Nov 24 16:33:42 UTC 2025","","integration.tests.TransactionTest","integration.tests.TransactionTest","shouldCommitTransactionWhenSwitchingToAutoCommit"
"","19","getTables(String, String, String, String, String, String) [15] null, %form%, %in%, null, engines, tables","","Mon Nov 24 16:25:41 UTC 2025","passed","Mon Nov 24 16:25:41 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","1806","executeCancelServerSideAsyncQueryTest()","","Mon Nov 24 16:20:48 UTC 2025","passed","Mon Nov 24 16:20:50 UTC 2025","","integration.tests.AsyncQueryTest","integration.tests.AsyncQueryTest","executeCancelServerSideAsyncQueryTest"
"","325","preparedStatementUsingDefaultNulls()","","Mon Nov 24 16:23:02 UTC 2025","passed","Mon Nov 24 16:23:03 UTC 2025","","integration.tests.NullableValuesTest","integration.tests.NullableValuesTest","preparedStatementUsingDefaultNulls"
"","24","getTables(String, String, String, String, String, String) [1] null, null, null, null, tables;views;integration_test, null","","Mon Nov 24 16:22:57 UTC 2025","passed","Mon Nov 24 16:22:57 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","17","shouldGetParsedTimeStampExtTimeObjects()","","Mon Nov 24 16:33:31 UTC 2025","passed","Mon Nov 24 16:33:31 UTC 2025","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldGetParsedTimeStampExtTimeObjects"
"","18","getTables(String, String, String, String, String, String) [9] null, information_schema, null, null, tables;columns, integration_test","","Mon Nov 24 16:22:57 UTC 2025","passed","Mon Nov 24 16:22:57 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
