"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1960","shouldReturnFalseWhenExecutingMultiStatementWithFirstStatementNotReturningAResultSet()","","Fri Nov 07 09:04:13 UTC 2025","passed","Fri Nov 07 09:04:15 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldReturnFalseWhenExecutingMultiStatementWithFirstStatementNotReturningAResultSet"
"","23","nanRealUserEngine(String) [2] select '+nan'::real","","Fri Nov 07 09:03:05 UTC 2025","passed","Fri Nov 07 09:03:05 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanRealUserEngine"
"","724","shouldReuseStatementWhenNotCloseOnCompletion()","","Fri Nov 07 09:04:04 UTC 2025","passed","Fri Nov 07 09:04:05 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldReuseStatementWhenNotCloseOnCompletion"
"","1516","emptyIntegerAndStringValues(PreparedStatementValueSetter) set OBJECT","","Fri Nov 07 09:02:14 UTC 2025","passed","Fri Nov 07 09:02:15 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","emptyIntegerAndStringValues"
"","539","connectToNotExistingDbV1(EngineType) SYSTEM_ENGINE","","Fri Nov 07 09:01:59 UTC 2025","passed","Fri Nov 07 09:01:59 UTC 2025","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","connectToNotExistingDbV1"
"","1519","shouldReplaceParamMarkers()","","Fri Nov 07 09:02:57 UTC 2025","passed","Fri Nov 07 09:02:59 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldReplaceParamMarkers"
"","1581","preparedStatementUsingExplicitTypedNulls()","","Fri Nov 07 09:02:06 UTC 2025","passed","Fri Nov 07 09:02:08 UTC 2025","","integration.tests.NullableValuesTest","integration.tests.NullableValuesTest","preparedStatementUsingExplicitTypedNulls"
"","66","getTables(String, String, String, String, String, String) [13] null, information_schema, null, TABLE, null, integration_test","","Fri Nov 07 09:02:02 UTC 2025","passed","Fri Nov 07 09:02:02 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","613","mixedCaseSelect(String, String) [2] select 1 as ""lower"", 2 as ""UPPER"", 3 AS ""MiXeD"", lower,UPPER,MiXeD","","Fri Nov 07 09:04:01 UTC 2025","passed","Fri Nov 07 09:04:02 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","mixedCaseSelect"
"","571","shouldFetchSpecialCharacters()","","Fri Nov 07 09:02:39 UTC 2025","passed","Fri Nov 07 09:02:39 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchSpecialCharacters"
"","81","shouldReturnColumns()","","Fri Nov 07 09:02:02 UTC 2025","passed","Fri Nov 07 09:02:03 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","shouldReturnColumns"
"","84","shouldReturnTable()","","Fri Nov 07 09:02:01 UTC 2025","passed","Fri Nov 07 09:02:01 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","shouldReturnTable"
"","981","unlimitedMaxFieldSize(int) [3] 100","","Fri Nov 07 09:03:27 UTC 2025","passed","Fri Nov 07 09:03:28 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","unlimitedMaxFieldSize"
"","70","getTables(String, String, String, String, String, String) [7] null, null, %test, null, integration_test, tables;columns;views","","Fri Nov 07 09:02:02 UTC 2025","passed","Fri Nov 07 09:02:02 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","21","minusInfFloatUserEngine(String) [1] select '-inf'::float","","Fri Nov 07 09:03:05 UTC 2025","passed","Fri Nov 07 09:03:05 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","minusInfFloatUserEngine"
"","75","getTables(String, String, String, String, String, String) [15] null, information_schema, null, VIEW, tables;columns, null","","Fri Nov 07 09:02:02 UTC 2025","passed","Fri Nov 07 09:02:02 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","66","shouldThrowExceptionOn400WithoutRetry()","","Fri Nov 07 09:11:28 UTC 2025","passed","Fri Nov 07 09:11:28 UTC 2025","","integration.tests.client.RetryPolicyTest","integration.tests.client.RetryPolicyTest","shouldThrowExceptionOn400WithoutRetry"
"","1888","nullableBiDimensionalArray()","","Fri Nov 07 09:02:28 UTC 2025","passed","Fri Nov 07 09:02:30 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","nullableBiDimensionalArray"
"","1917","preparedStatementUsingStringValueContainsStringNull()","","Fri Nov 07 09:02:03 UTC 2025","passed","Fri Nov 07 09:02:05 UTC 2025","","integration.tests.NullableValuesTest","integration.tests.NullableValuesTest","preparedStatementUsingStringValueContainsStringNull"
"","996","successfulSettingOfPropertyThatRequiresAdvancedModePreviouslySetAtRuntime()","","Fri Nov 07 09:03:35 UTC 2025","passed","Fri Nov 07 09:03:36 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","successfulSettingOfPropertyThatRequiresAdvancedModePreviouslySetAtRuntime"
"","71","getTables(String, String, String, String, String, String) [4] null, null, null, TABLE, integration_test, views;tables","","Fri Nov 07 09:02:02 UTC 2025","passed","Fri Nov 07 09:02:02 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","2134","shouldInsertAndSelectByteArray()","","Fri Nov 07 09:03:03 UTC 2025","passed","Fri Nov 07 09:03:05 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertAndSelectByteArray"
"","1154","empty(String) query:     ;","","Fri Nov 07 09:03:45 UTC 2025","passed","Fri Nov 07 09:03:46 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","empty"
