"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","35","getColumns(String, String, String, String, String, String) [32] null, null, %in%, no-one, null, information_schema.columns.column_name","","Tue Nov 11 15:07:54 UTC 2025","passed","Tue Nov 11 15:07:55 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","592","shouldFetchTimestampAndDate(Object, Object, boolean) [2] 2019-07-31 11:15:13.0, 2019-07-31, true","","Tue Nov 11 15:06:29 UTC 2025","passed","Tue Nov 11 15:06:30 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchTimestampAndDate"
"","40","getTables(String, String, String, String, String, String) [4] null, null, null, TABLE, integration_test, views;tables","","Tue Nov 11 15:04:48 UTC 2025","passed","Tue Nov 11 15:04:48 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","483","shouldInsertAndSelectDateTime()","","Tue Nov 11 15:05:04 UTC 2025","passed","Tue Nov 11 15:05:05 UTC 2025","","integration.tests.PreparedStatementFbNumericTest","integration.tests.PreparedStatementFbNumericTest","shouldInsertAndSelectDateTime"
"","285","shouldSelect1WithQueryTimeout()","","Tue Nov 11 15:07:22 UTC 2025","passed","Tue Nov 11 15:07:23 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldSelect1WithQueryTimeout"
"","71","shouldThrowExceptionWhenCommitingWithNoTransaction()","","Tue Nov 11 15:16:04 UTC 2025","passed","Tue Nov 11 15:16:04 UTC 2025","","integration.tests.TransactionTest","integration.tests.TransactionTest","shouldThrowExceptionWhenCommitingWithNoTransaction"
"","250","byteaArray()","","Tue Nov 11 15:04:58 UTC 2025","passed","Tue Nov 11 15:04:59 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","byteaArray"
"","20452","createTwoConnections()","","Tue Nov 11 15:03:57 UTC 2025","passed","Tue Nov 11 15:04:17 UTC 2025","","integration.tests.CachedConnectionTest","integration.tests.CachedConnectionTest","createTwoConnections"
"","246","successfulSettingOfPropertyThatRequiresAdvancedModeConfiguredWhenConnectionIsCreated()","","Tue Nov 11 15:07:17 UTC 2025","passed","Tue Nov 11 15:07:17 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","successfulSettingOfPropertyThatRequiresAdvancedModeConfiguredWhenConnectionIsCreated"
"","541","shouldFetchTimestampWithTimezone()","","Tue Nov 11 15:06:46 UTC 2025","passed","Tue Nov 11 15:06:47 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchTimestampWithTimezone"
