"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","36","nanRealUserEngine(String) [3] select '-nan'::real","","Fri Nov 21 05:54:21 UTC 2025","passed","Fri Nov 21 05:54:21 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanRealUserEngine"
"","255","shouldUseTLS()","","Fri Nov 21 06:03:16 UTC 2025","passed","Fri Nov 21 06:03:17 UTC 2025","","integration.tests.client.TLSTest","integration.tests.client.TLSTest","shouldUseTLS"
"","3553","shouldInsertAndSelectByteArray()","","Fri Nov 21 05:54:17 UTC 2025","passed","Fri Nov 21 05:54:21 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertAndSelectByteArray"
"","3115","nullArrays(PreparedStatementValueSetter) set OBJECT","","Fri Nov 21 05:53:01 UTC 2025","passed","Fri Nov 21 05:53:05 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","nullArrays"
"","3267","shouldFetchTimestampAndDate(Object, Object, boolean) [4] 2019-07-31 11:15:13.0, 2019-07-31, false","","Fri Nov 21 05:53:39 UTC 2025","passed","Fri Nov 21 05:53:42 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchTimestampAndDate"
"","4835","shouldInsertAndSelectStreams()","","Fri Nov 21 05:53:42 UTC 2025","passed","Fri Nov 21 05:53:47 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertAndSelectStreams"
"","34","nanDoubleUserEngine(String) [2] select '+nan'::double","","Fri Nov 21 05:54:21 UTC 2025","passed","Fri Nov 21 05:54:21 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanDoubleUserEngine"
"","2463","preparedStatementUsingExplicitNulls()","","Fri Nov 21 05:52:20 UTC 2025","passed","Fri Nov 21 05:52:22 UTC 2025","","integration.tests.NullableValuesTest","integration.tests.NullableValuesTest","preparedStatementUsingExplicitNulls"
"","3561","emptyIntAndStringValues(PreparedStatementValueSetter) set ARRAY","","Fri Nov 21 05:52:52 UTC 2025","passed","Fri Nov 21 05:52:56 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","emptyIntAndStringValues"
"","3079","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) getObject(Long.class)","","Fri Nov 21 05:53:58 UTC 2025","passed","Fri Nov 21 05:54:01 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertRecordsUsingDifferentNumericTypes"
