"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15452","shouldInsertRecordsInBatchWithMergeV2(String, String, List, String, String) Multiple whitespaces","","Mon Nov 17 03:49:29 UTC 2025","passed","Mon Nov 17 03:49:45 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertRecordsInBatchWithMergeV2"
"","308","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) long","","Mon Nov 17 03:50:54 UTC 2025","passed","Mon Nov 17 03:50:54 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertRecordsUsingDifferentNumericTypes"
"","561","shouldInsertAndRetrieveUrl()","","Mon Nov 17 03:50:47 UTC 2025","passed","Mon Nov 17 03:50:48 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertAndRetrieveUrl"
"","23","getColumns(String, String, String, String, String, String) [32] null, null, %in%, no-one, null, information_schema.columns.column_name","","Mon Nov 17 03:52:14 UTC 2025","passed","Mon Nov 17 03:52:14 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","201","shouldGetBooleans()","","Mon Nov 17 03:51:46 UTC 2025","passed","Mon Nov 17 03:51:46 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldGetBooleans"
"","20","nanFloatAsDoubleSystemEngine(String) [2] select '+nan'::float","","Mon Nov 17 03:51:06 UTC 2025","passed","Mon Nov 17 03:51:06 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanFloatAsDoubleSystemEngine"
"","24","getColumns(String, String, String, String, String, String) [23] null, information%, %in%, description, information_schema.engines.description, information_schema.engines.engine_name","","Mon Nov 17 03:52:14 UTC 2025","passed","Mon Nov 17 03:52:14 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","244","shouldSetParametersWithRepeatingValues()","","Mon Nov 17 03:48:35 UTC 2025","passed","Mon Nov 17 03:48:35 UTC 2025","","integration.tests.PreparedStatementFbNumericTest","integration.tests.PreparedStatementFbNumericTest","shouldSetParametersWithRepeatingValues"
"","370","preparedStatementUsingStringValueContainsStringNull()","","Mon Nov 17 03:48:27 UTC 2025","passed","Mon Nov 17 03:48:28 UTC 2025","","integration.tests.NullableValuesTest","integration.tests.NullableValuesTest","preparedStatementUsingStringValueContainsStringNull"
"","29","getTables(String, String, String, String, String, String) [12] null, information_schema, %in%, null, engines, tables","","Mon Nov 17 03:52:12 UTC 2025","passed","Mon Nov 17 03:52:12 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","24","getColumns(String, String, String, String, String, String) [29] {database}, %schema, %in%, region, information_schema.engines.region, information_schema.engines.status","","Mon Nov 17 03:52:14 UTC 2025","passed","Mon Nov 17 03:52:14 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","623","shouldReplaceParamMarkersInMultistatementStatement()","","Mon Nov 17 03:48:35 UTC 2025","passed","Mon Nov 17 03:48:36 UTC 2025","","integration.tests.PreparedStatementFbNumericTest","integration.tests.PreparedStatementFbNumericTest","shouldReplaceParamMarkersInMultistatementStatement"
"","37","shouldReturnTimestampFromTimestampTzWithTzWithHoursAndMinutes()","","Mon Nov 17 04:00:11 UTC 2025","passed","Mon Nov 17 04:00:11 UTC 2025","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldReturnTimestampFromTimestampTzWithTzWithHoursAndMinutes"
"","209","empty(String) query:;","","Mon Nov 17 03:51:45 UTC 2025","passed","Mon Nov 17 03:51:45 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","empty"
"","23","getTables(String, String, String, String, String, String) [7] {database}, information_schema, null, null, tables, null","","Mon Nov 17 03:52:12 UTC 2025","passed","Mon Nov 17 03:52:12 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","235","setWrongParameterOnSystemEngineForV2(String, String, String) [2] set foo=bar, Unknown setting foo, 1","","Mon Nov 17 03:51:44 UTC 2025","passed","Mon Nov 17 03:51:44 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","setWrongParameterOnSystemEngineForV2"
"","62","connectToNotExistingDbV2(EngineType) CUSTOM_ENGINE","","Mon Nov 17 03:48:00 UTC 2025","passed","Mon Nov 17 03:48:00 UTC 2025","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","connectToNotExistingDbV2"
"","204","shouldSetParametersWithRandomIndex()","","Mon Nov 17 03:48:42 UTC 2025","passed","Mon Nov 17 03:48:42 UTC 2025","","integration.tests.PreparedStatementFbNumericTest","integration.tests.PreparedStatementFbNumericTest","shouldSetParametersWithRandomIndex"
"","24","getTables(String, String, String, String, String, String) [13] null, information_schema, null, TABLE, null, integration_test","","Mon Nov 17 03:48:23 UTC 2025","passed","Mon Nov 17 03:48:23 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","191","setCorrectThenWrongParameterOnUserEngine()","","Mon Nov 17 03:51:40 UTC 2025","passed","Mon Nov 17 03:51:40 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","setCorrectThenWrongParameterOnUserEngine"
"","21","getColumns(String, String, String, String, String, String) [28] {database}, information%, %in%, engine_name, information_schema.engines.engine_name, information_schema.engines.description","","Mon Nov 17 03:52:14 UTC 2025","passed","Mon Nov 17 03:52:14 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","396","shouldReplaceParamMarkers()","","Mon Nov 17 03:51:03 UTC 2025","passed","Mon Nov 17 03:51:03 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldReplaceParamMarkers"
