"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","35","getTables(String, String, String, String, String, String) [28] {database}, information%, %in%, VIEW, engines, tables","","Thu Mar 12 05:05:00 UTC 2026","passed","Thu Mar 12 05:05:00 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","44","getColumns(String, String, String, String, String, String) [20] {database}, %form%, %in%, null, information_schema.engines.engine_name, information_schema.tables.table_name","","Thu Mar 12 05:05:02 UTC 2026","passed","Thu Mar 12 05:05:02 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","390","shouldInsertAndSelectDateTime()","","Thu Mar 12 05:03:46 UTC 2026","passed","Thu Mar 12 05:03:46 UTC 2026","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertAndSelectDateTime"
"","678","shouldInsertAndSelectGeography()","","Thu Mar 12 05:03:42 UTC 2026","passed","Thu Mar 12 05:03:43 UTC 2026","","integration.tests.PreparedStatementFbNumericTest","integration.tests.PreparedStatementFbNumericTest","shouldInsertAndSelectGeography"
"","27","infRealUserEngine(String) [1] select 'inf'::real","","Thu Mar 12 05:03:58 UTC 2026","passed","Thu Mar 12 05:03:58 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infRealUserEngine"
"","40","getSchemasInformationSchema(String, String, String) [12] wrong_catalog, %form%, null","","Thu Mar 12 05:04:59 UTC 2026","passed","Thu Mar 12 05:04:59 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getSchemasInformationSchema"
"","27","infFloatAsDoubleUserEngine(String) [1] select 'inf'::float","","Thu Mar 12 05:03:58 UTC 2026","passed","Thu Mar 12 05:03:58 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infFloatAsDoubleUserEngine"
"","263","failingQuery(String) [1] SELECT CONVERT(varchar, 3.14)","","Thu Mar 12 05:04:56 UTC 2026","passed","Thu Mar 12 05:04:56 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","failingQuery"
"","35","getTables(String, String, String, String, String, String) [8] null, public, null, null, integration_test, tables;columns;views","","Thu Mar 12 05:03:12 UTC 2026","passed","Thu Mar 12 05:03:12 UTC 2026","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","292","shouldReuseStatementWhenNotCloseOnCompletion()","","Thu Mar 12 05:04:56 UTC 2026","passed","Thu Mar 12 05:04:56 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","shouldReuseStatementWhenNotCloseOnCompletion"
