"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","124","shouldReturnColumns()","","Fri Mar 20 06:24:35 UTC 2026","passed","Fri Mar 20 06:24:35 UTC 2026","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","shouldReturnColumns"
"","128","getTables(String, String, String, String, String, String) [15] null, information_schema, null, VIEW, tables;columns, null","","Fri Mar 20 06:24:35 UTC 2026","passed","Fri Mar 20 06:24:35 UTC 2026","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","1823","shouldInsertAndSelectByteArray()","","Fri Mar 20 06:26:03 UTC 2026","passed","Fri Mar 20 06:26:05 UTC 2026","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertAndSelectByteArray"
"","407288","shouldExecuteRequestWithoutTimeoutV1()","","Fri Mar 20 06:27:24 UTC 2026","passed","Fri Mar 20 06:34:12 UTC 2026","","integration.tests.TimeoutTest","integration.tests.TimeoutTest","shouldExecuteRequestWithoutTimeoutV1"
"","2721","shouldInsertAndRetrieveUrl()","","Fri Mar 20 06:25:20 UTC 2026","passed","Fri Mar 20 06:25:23 UTC 2026","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertAndRetrieveUrl"
"","1484","setWrongParameterOnUserEngineForV1()","","Fri Mar 20 06:26:47 UTC 2026","passed","Fri Mar 20 06:26:49 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","setWrongParameterOnUserEngineForV1"
"","1095","maxFieldSize(int) [2] 3","","Fri Mar 20 06:26:44 UTC 2026","passed","Fri Mar 20 06:26:45 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","maxFieldSize"
"","1207","mixedCaseSelect(String, String) [1] select 1 as lower, 2 as UPPER, 3 AS MiXeD, lower,upper,mixed","","Fri Mar 20 06:27:07 UTC 2026","passed","Fri Mar 20 06:27:08 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","mixedCaseSelect"
"","123","getTables(String, String, String, String, String, String) [13] null, information_schema, null, TABLE, null, integration_test","","Fri Mar 20 06:24:34 UTC 2026","passed","Fri Mar 20 06:24:35 UTC 2026","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","958","shouldThrowExceptionWhenTryingToExecuteQueryThatWouldReturnMultipleResultSets()","","Fri Mar 20 06:26:42 UTC 2026","passed","Fri Mar 20 06:26:43 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","shouldThrowExceptionWhenTryingToExecuteQueryThatWouldReturnMultipleResultSets"
"","2235","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) short","","Fri Mar 20 06:25:46 UTC 2026","passed","Fri Mar 20 06:25:49 UTC 2026","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertRecordsUsingDifferentNumericTypes"
"","2249","nullArrays(PreparedStatementValueSetter) set ARRAY","","Fri Mar 20 06:25:09 UTC 2026","passed","Fri Mar 20 06:25:11 UTC 2026","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","nullArrays"
"","118","shouldReturnTimestampFromTimestampntz()","","Fri Mar 20 06:34:18 UTC 2026","passed","Fri Mar 20 06:34:19 UTC 2026","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldReturnTimestampFromTimestampntz"
"","19","nanDoubleUserEngine(String) [2] select '+nan'::double","","Fri Mar 20 06:26:06 UTC 2026","passed","Fri Mar 20 06:26:06 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanDoubleUserEngine"
"","161","shouldReturnTimestampFromTimestampTzWithTzWithHoursAndMinutesWhenUsingTime_ZoneSettings()","","Fri Mar 20 06:34:16 UTC 2026","passed","Fri Mar 20 06:34:17 UTC 2026","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldReturnTimestampFromTimestampTzWithTzWithHoursAndMinutesWhenUsingTime_ZoneSettings"
"","93","shouldHandleLargeDecimals()","","Fri Mar 20 06:24:45 UTC 2026","passed","Fri Mar 20 06:24:45 UTC 2026","","integration.tests.NumericTypesTest","integration.tests.NumericTypesTest","shouldHandleLargeDecimals"
"","0","shouldFetchBooleanFromVariousObjects(Object, Object)","","Fri Mar 20 06:26:03 UTC 2026","skipped","Fri Mar 20 06:26:03 UTC 2026","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchBooleanFromVariousObjects"
"","122","getTables(String, String, String, String, String, String) [10] null, public, null, TABLE, integration_test, tables;columns;views","","Fri Mar 20 06:24:34 UTC 2026","passed","Fri Mar 20 06:24:34 UTC 2026","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","1061","shouldSelect1WithQueryTimeout()","","Fri Mar 20 06:26:49 UTC 2026","passed","Fri Mar 20 06:26:50 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","shouldSelect1WithQueryTimeout"
"","1572","maxFieldSize(int) [1] 1","","Fri Mar 20 06:26:43 UTC 2026","passed","Fri Mar 20 06:26:44 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","maxFieldSize"
"","1779","shouldReturnLimitedNumberOfLines()","","Fri Mar 20 06:26:37 UTC 2026","passed","Fri Mar 20 06:26:39 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","shouldReturnLimitedNumberOfLines"
"","22203","shouldCancelQueryV1()","","Fri Mar 20 06:26:06 UTC 2026","passed","Fri Mar 20 06:26:28 UTC 2026","","integration.tests.StatementCancelTest","integration.tests.StatementCancelTest","shouldCancelQueryV1"
"","19","nanDoubleUserEngine(String) [1] select 'nan'::double","","Fri Mar 20 06:26:06 UTC 2026","passed","Fri Mar 20 06:26:06 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanDoubleUserEngine"
"","1910","shouldReplaceParamMarkers()","","Fri Mar 20 06:25:57 UTC 2026","passed","Fri Mar 20 06:25:59 UTC 2026","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldReplaceParamMarkers"
"","2440","integerAndStringValues(PreparedStatementValueSetter) set ARRAY","","Fri Mar 20 06:24:59 UTC 2026","passed","Fri Mar 20 06:25:02 UTC 2026","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","integerAndStringValues"
"","19","nanFloatUserEngine(String) [1] select 'nan'::float","","Fri Mar 20 06:26:06 UTC 2026","passed","Fri Mar 20 06:26:06 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanFloatUserEngine"
"","2351","nullableBiDimensionalArray()","","Fri Mar 20 06:25:14 UTC 2026","passed","Fri Mar 20 06:25:16 UTC 2026","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","nullableBiDimensionalArray"
"","158","shouldRemoveOffsetDIffWhenTimestampOffsetHasChangedCET()","","Fri Mar 20 06:34:16 UTC 2026","passed","Fri Mar 20 06:34:16 UTC 2026","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldRemoveOffsetDIffWhenTimestampOffsetHasChangedCET"
"","30","infDoubleUserEngine(String) [2] select '+inf'::double","","Fri Mar 20 06:26:06 UTC 2026","passed","Fri Mar 20 06:26:06 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infDoubleUserEngine"
"","22","minusInfDoubleUserEngine(String) [1] select '-inf'::double","","Fri Mar 20 06:26:06 UTC 2026","passed","Fri Mar 20 06:26:06 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","minusInfDoubleUserEngine"
"","919","maxFieldSize(int) [4] 50","","Fri Mar 20 06:26:46 UTC 2026","passed","Fri Mar 20 06:26:47 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","maxFieldSize"
"","1256","maxFieldSize(int) [3] 5","","Fri Mar 20 06:26:45 UTC 2026","passed","Fri Mar 20 06:26:46 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","maxFieldSize"
"","7","shouldRetryOn502()","","Fri Mar 20 06:34:19 UTC 2026","passed","Fri Mar 20 06:34:19 UTC 2026","","integration.tests.client.RetryPolicyTest","integration.tests.client.RetryPolicyTest","shouldRetryOn502"
"","1912","shouldReturnFalseWhenExecutingMultiStatementWithFirstStatementNotReturningAResultSet()","","Fri Mar 20 06:27:22 UTC 2026","passed","Fri Mar 20 06:27:24 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","shouldReturnFalseWhenExecutingMultiStatementWithFirstStatementNotReturningAResultSet"
"","135","shouldGetParsedTimeStampExtTimeObjects()","","Fri Mar 20 06:34:16 UTC 2026","passed","Fri Mar 20 06:34:16 UTC 2026","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldGetParsedTimeStampExtTimeObjects"
"","2284","emptyIntegerAndStringValues(PreparedStatementValueSetter) set ARRAY","","Fri Mar 20 06:24:50 UTC 2026","passed","Fri Mar 20 06:24:52 UTC 2026","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","emptyIntegerAndStringValues"
"","2413","shouldFetchTimestampAndDate(Object, Object, boolean) [1] 2019-07-31T11:15:13, 2019-07-31, true","","Fri Mar 20 06:25:31 UTC 2026","passed","Fri Mar 20 06:25:34 UTC 2026","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchTimestampAndDate"
"","2174","integerAndStringValues(PreparedStatementValueSetter) set OBJECT","","Fri Mar 20 06:25:02 UTC 2026","passed","Fri Mar 20 06:25:04 UTC 2026","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","integerAndStringValues"
"","20","nanRealUserEngine(String) [1] select 'nan'::real","","Fri Mar 20 06:26:06 UTC 2026","passed","Fri Mar 20 06:26:06 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanRealUserEngine"
"","2120","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) long","","Fri Mar 20 06:25:51 UTC 2026","passed","Fri Mar 20 06:25:53 UTC 2026","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertRecordsUsingDifferentNumericTypes"
"","1146","shouldReturnTrueWhenExecutingMultiStatementWithFirstStatementReturningAResultSet()","","Fri Mar 20 06:26:36 UTC 2026","passed","Fri Mar 20 06:26:37 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","shouldReturnTrueWhenExecutingMultiStatementWithFirstStatementReturningAResultSet"
"","1602","nullSortOrder()","","Fri Mar 20 06:27:13 UTC 2026","passed","Fri Mar 20 06:27:15 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","nullSortOrder"
"","926","shouldReturnTrueWhenExecutingAStatementThatReturnsAResultSet()","","Fri Mar 20 06:26:41 UTC 2026","passed","Fri Mar 20 06:26:42 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","shouldReturnTrueWhenExecutingAStatementThatReturnsAResultSet"
"","109","getMetadata()","","Fri Mar 20 06:24:35 UTC 2026","passed","Fri Mar 20 06:24:35 UTC 2026","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getMetadata"
"","18","minusInfFloatUserEngine(String) [1] select '-inf'::float","","Fri Mar 20 06:26:06 UTC 2026","passed","Fri Mar 20 06:26:06 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","minusInfFloatUserEngine"
"","1571","failingQuery(String) [1] SELECT CONVERT(varchar, 3.14)","","Fri Mar 20 06:27:11 UTC 2026","passed","Fri Mar 20 06:27:12 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","failingQuery"
"","141","shouldReturnSchema()","","Fri Mar 20 06:24:33 UTC 2026","passed","Fri Mar 20 06:24:33 UTC 2026","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","shouldReturnSchema"
"","2415","preparedStatementUsingExplicitTypedNulls()","","Fri Mar 20 06:24:40 UTC 2026","passed","Fri Mar 20 06:24:43 UTC 2026","","integration.tests.NullableValuesTest","integration.tests.NullableValuesTest","preparedStatementUsingExplicitTypedNulls"
"","125","getTables(String, String, String, String, String, String) [12] null, public, null, VIEW, null, tables;columns;views","","Fri Mar 20 06:24:34 UTC 2026","passed","Fri Mar 20 06:24:34 UTC 2026","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","1170","shouldThrowExceptionWhenExecutingWrongQueryV1()","","Fri Mar 20 06:27:19 UTC 2026","passed","Fri Mar 20 06:27:20 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","shouldThrowExceptionWhenExecutingWrongQueryV1"
"","1663","shouldFetchSpecialCharacters()","","Fri Mar 20 06:25:29 UTC 2026","passed","Fri Mar 20 06:25:31 UTC 2026","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchSpecialCharacters"
"","2307","shouldFetchTimestampAndDate(Object, Object, boolean) [3] 2019-07-31T11:15:13, 2019-07-31, false","","Fri Mar 20 06:25:36 UTC 2026","passed","Fri Mar 20 06:25:38 UTC 2026","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchTimestampAndDate"
"","18","minusInfRealUserEngine(String) [1] select '-inf'::real","","Fri Mar 20 06:26:06 UTC 2026","passed","Fri Mar 20 06:26:06 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","minusInfRealUserEngine"
"","21","infFloatUserEngine(String) [2] select '+inf'::float","","Fri Mar 20 06:26:05 UTC 2026","passed","Fri Mar 20 06:26:06 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infFloatUserEngine"
"","2063","emptyIntAndStringValues(PreparedStatementValueSetter) set ARRAY","","Fri Mar 20 06:25:05 UTC 2026","passed","Fri Mar 20 06:25:07 UTC 2026","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","emptyIntAndStringValues"
