"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1592","mixedCaseSelect(String, String) [1] select 1 as lower, 2 as UPPER, 3 AS MiXeD, lower,upper,mixed","","Sat Jan 03 05:57:16 UTC 2026","passed","Sat Jan 03 05:57:17 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","mixedCaseSelect"
"","87","infDoubleUserEngine(String) [1] select 'inf'::double","","Sat Jan 03 05:55:50 UTC 2026","passed","Sat Jan 03 05:55:50 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infDoubleUserEngine"
"","3105","shouldFetchTimestampAndDate(Object, Object, boolean) [4] 2019-07-31 11:15:13.0, 2019-07-31, false","","Sat Jan 03 05:55:09 UTC 2026","passed","Sat Jan 03 05:55:12 UTC 2026","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchTimestampAndDate"
"","3238","integerAndStringValues(PreparedStatementValueSetter) set ARRAY","","Sat Jan 03 05:54:15 UTC 2026","passed","Sat Jan 03 05:54:19 UTC 2026","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","integerAndStringValues"
"","2886","shouldInsertAndSelectDateTime()","","Sat Jan 03 05:54:49 UTC 2026","passed","Sat Jan 03 05:54:52 UTC 2026","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertAndSelectDateTime"
"","87","nanDoubleUserEngine(String) [1] select 'nan'::double","","Sat Jan 03 05:55:49 UTC 2026","passed","Sat Jan 03 05:55:49 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanDoubleUserEngine"
"","1508","shouldReturnTrueWhenExecutingAStatementThatReturnsAResultSet()","","Sat Jan 03 05:56:33 UTC 2026","passed","Sat Jan 03 05:56:34 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","shouldReturnTrueWhenExecutingAStatementThatReturnsAResultSet"
"","268","getTables(String, String, String, String, String, String) [1] null, null, null, null, tables;views;integration_test, null","","Sat Jan 03 05:53:38 UTC 2026","passed","Sat Jan 03 05:53:38 UTC 2026","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","2892","emptyIntAndStringValues(PreparedStatementValueSetter) set ARRAY","","Sat Jan 03 05:54:23 UTC 2026","passed","Sat Jan 03 05:54:26 UTC 2026","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","emptyIntAndStringValues"
"","1557","setCorrectThenWrongParameterOnUserEngine()","","Sat Jan 03 05:56:18 UTC 2026","passed","Sat Jan 03 05:56:20 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","setCorrectThenWrongParameterOnUserEngine"
