"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1987","emptyIntAndStringValues(PreparedStatementValueSetter) set OBJECT","","Tue Jan 06 05:55:45 UTC 2026","passed","Tue Jan 06 05:55:47 UTC 2026","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","emptyIntAndStringValues"
"","1053","empty(String) query:     ;","","Tue Jan 06 05:57:36 UTC 2026","passed","Tue Jan 06 05:57:37 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","empty"
"","142","shouldGetTimeObjectsInDefaultUTCTimezone()","","Tue Jan 06 06:05:24 UTC 2026","passed","Tue Jan 06 06:05:24 UTC 2026","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldGetTimeObjectsInDefaultUTCTimezone"
"","1226","setWrongParameterOnUserEngineForV1()","","Tue Jan 06 05:57:32 UTC 2026","passed","Tue Jan 06 05:57:33 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","setWrongParameterOnUserEngineForV1"
"","1","readOnly()","","Tue Jan 06 05:58:22 UTC 2026","passed","Tue Jan 06 05:58:22 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","readOnly"
"","0","shouldFetchBooleanFromVariousObjects(Object, Object)","","Tue Jan 06 05:56:40 UTC 2026","skipped","Tue Jan 06 05:56:40 UTC 2026","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchBooleanFromVariousObjects"
"","743","successfulConnectUnsuccessfulSelectV1(boolean, boolean) using db:false engine:true","","Tue Jan 06 05:55:05 UTC 2026","passed","Tue Jan 06 05:55:05 UTC 2026","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","successfulConnectUnsuccessfulSelectV1"
"","1887","setCorrectThenWrongParameterOnSystemEngine()","","Tue Jan 06 05:57:12 UTC 2026","passed","Tue Jan 06 05:57:14 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","setCorrectThenWrongParameterOnSystemEngine"
"","3145","preparedStatementUsingExplicitNulls()","","Tue Jan 06 05:55:13 UTC 2026","passed","Tue Jan 06 05:55:16 UTC 2026","","integration.tests.NullableValuesTest","integration.tests.NullableValuesTest","preparedStatementUsingExplicitNulls"
"","991","shouldThrowExceptionWhenTryingToReuseStatementClosedOnCompletion()","","Tue Jan 06 05:57:10 UTC 2026","passed","Tue Jan 06 05:57:11 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","shouldThrowExceptionWhenTryingToReuseStatementClosedOnCompletion"
