"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","255","shouldReturnTimestampFromTimestampntz()","","Fri Dec 19 06:22:59 UTC 2025","passed","Fri Dec 19 06:22:59 UTC 2025","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldReturnTimestampFromTimestampntz"
"","264","getTables(String, String, String, String, String, String) [10] null, public, null, TABLE, integration_test, tables;columns;views","","Fri Dec 19 06:12:28 UTC 2025","passed","Fri Dec 19 06:12:28 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","19653","shouldExecuteBatch()","","Fri Dec 19 06:15:25 UTC 2025","passed","Fri Dec 19 06:15:44 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldExecuteBatch"
"","2771","emptyIntAndStringValues(PreparedStatementValueSetter) set ARRAY","","Fri Dec 19 06:13:06 UTC 2025","passed","Fri Dec 19 06:13:08 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","emptyIntAndStringValues"
"","1601","empty(String) query:--;","","Fri Dec 19 06:15:15 UTC 2025","passed","Fri Dec 19 06:15:16 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","empty"
"","2082","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) byte","","Fri Dec 19 06:13:46 UTC 2025","passed","Fri Dec 19 06:13:48 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertRecordsUsingDifferentNumericTypes"
"","2326","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) short","","Fri Dec 19 06:13:48 UTC 2025","passed","Fri Dec 19 06:13:50 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertRecordsUsingDifferentNumericTypes"
"","2381","emptyIntAndStringValues(PreparedStatementValueSetter) set OBJECT","","Fri Dec 19 06:13:08 UTC 2025","passed","Fri Dec 19 06:13:11 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","emptyIntAndStringValues"
"","87","infDoubleUserEngine(String) [1] select 'inf'::double","","Fri Dec 19 06:14:15 UTC 2025","passed","Fri Dec 19 06:14:15 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infDoubleUserEngine"
"","1409","shouldThrowExceptionWhenTryingToReuseStatementClosedOnCompletion()","","Fri Dec 19 06:14:46 UTC 2025","passed","Fri Dec 19 06:14:47 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldThrowExceptionWhenTryingToReuseStatementClosedOnCompletion"
"","2870","integerAndStringValues(PreparedStatementValueSetter) set ARRAY","","Fri Dec 19 06:12:58 UTC 2025","passed","Fri Dec 19 06:13:00 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","integerAndStringValues"
"","2822","preparedStatementUsingExplicitTypedNulls()","","Fri Dec 19 06:12:36 UTC 2025","passed","Fri Dec 19 06:12:39 UTC 2025","","integration.tests.NullableValuesTest","integration.tests.NullableValuesTest","preparedStatementUsingExplicitTypedNulls"
"","264","getTables(String, String, String, String, String, String) [7] null, null, %test, null, integration_test, tables;columns;views","","Fri Dec 19 06:12:27 UTC 2025","passed","Fri Dec 19 06:12:28 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","86","infRealUserEngine(String) [1] select 'inf'::real","","Fri Dec 19 06:14:15 UTC 2025","passed","Fri Dec 19 06:14:15 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infRealUserEngine"
"","442","shouldReturnTimestampFromTimestamptzWithTime_zoneSettings()","","Fri Dec 19 06:22:56 UTC 2025","passed","Fri Dec 19 06:22:56 UTC 2025","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldReturnTimestampFromTimestamptzWithTime_zoneSettings"
"","270","getTables(String, String, String, String, String, String) [5] null, null, null, VIEW, views;tables, integration_test","","Fri Dec 19 06:12:27 UTC 2025","passed","Fri Dec 19 06:12:27 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","271","getTables(String, String, String, String, String, String) [4] null, null, null, TABLE, integration_test, views;tables","","Fri Dec 19 06:12:27 UTC 2025","passed","Fri Dec 19 06:12:27 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","1292","shouldReturnTrueWhenExecutingAStatementThatReturnsAResultSet()","","Fri Dec 19 06:14:58 UTC 2025","passed","Fri Dec 19 06:14:59 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldReturnTrueWhenExecutingAStatementThatReturnsAResultSet"
"","815","successfulConnectV1(boolean, boolean) using db:true engine:false","","Fri Dec 19 06:12:23 UTC 2025","passed","Fri Dec 19 06:12:24 UTC 2025","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","successfulConnectV1"
"","2403","preparedStatementUsingDefaultNulls()","","Fri Dec 19 06:12:39 UTC 2025","passed","Fri Dec 19 06:12:41 UTC 2025","","integration.tests.NullableValuesTest","integration.tests.NullableValuesTest","preparedStatementUsingDefaultNulls"
"","2887","shouldReturnFalseWhenExecutingMultiStatementWithFirstStatementNotReturningAResultSet()","","Fri Dec 19 06:16:06 UTC 2025","passed","Fri Dec 19 06:16:09 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldReturnFalseWhenExecutingMultiStatementWithFirstStatementNotReturningAResultSet"
"","1590","successfulSettingOfPropertyThatRequiresAdvancedModeConfiguredWhenConnectionIsCreated()","","Fri Dec 19 06:14:47 UTC 2025","passed","Fri Dec 19 06:14:49 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","successfulSettingOfPropertyThatRequiresAdvancedModeConfiguredWhenConnectionIsCreated"
"","2843","preparedStatementUsingExplicitNulls()","","Fri Dec 19 06:12:33 UTC 2025","passed","Fri Dec 19 06:12:36 UTC 2025","","integration.tests.NullableValuesTest","integration.tests.NullableValuesTest","preparedStatementUsingExplicitNulls"
"","1510","shouldReuseStatementWhenNotCloseOnCompletion()","","Fri Dec 19 06:15:54 UTC 2025","passed","Fri Dec 19 06:15:55 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldReuseStatementWhenNotCloseOnCompletion"
"","267","shouldGetParsedTimeStampExtTimeObjects()","","Fri Dec 19 06:22:55 UTC 2025","passed","Fri Dec 19 06:22:55 UTC 2025","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldGetParsedTimeStampExtTimeObjects"
"","2876","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) getObject(i, java.util.Map.of(""long"", Integer.class)","","Fri Dec 19 06:13:59 UTC 2025","passed","Fri Dec 19 06:14:02 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertRecordsUsingDifferentNumericTypes"
"","3609","shouldSelect1WithEngine()","","Fri Dec 19 06:15:44 UTC 2025","passed","Fri Dec 19 06:15:48 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldSelect1WithEngine"
"","90","infFloatUserEngine(String) [2] select '+inf'::float","","Fri Dec 19 06:14:14 UTC 2025","passed","Fri Dec 19 06:14:14 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infFloatUserEngine"
"","263","getTables(String, String, String, String, String, String) [6] null, null, %account%, null, accounts;service_accounts, tables;columns;views","","Fri Dec 19 06:12:27 UTC 2025","passed","Fri Dec 19 06:12:27 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","13","shouldSendRequestWithUserAgentHeaderContainingDriverAndClientInfo()","","Fri Dec 19 06:22:59 UTC 2025","passed","Fri Dec 19 06:22:59 UTC 2025","","integration.tests.client.UsageTrackingTest","integration.tests.client.UsageTrackingTest","shouldSendRequestWithUserAgentHeaderContainingDriverAndClientInfo"
"","1438","failingQuery(String) [1] SELECT CONVERT(varchar, 3.14)","","Fri Dec 19 06:15:53 UTC 2025","passed","Fri Dec 19 06:15:54 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","failingQuery"
"","401330","shouldExecuteRequestWithoutTimeoutV1()","","Fri Dec 19 06:16:09 UTC 2025","passed","Fri Dec 19 06:22:50 UTC 2025","","integration.tests.TimeoutTest","integration.tests.TimeoutTest","shouldExecuteRequestWithoutTimeoutV1"
"","2941","shouldInsertAndSelectByteArray()","","Fri Dec 19 06:14:11 UTC 2025","passed","Fri Dec 19 06:14:14 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertAndSelectByteArray"
"","270","successfulConnectV1(boolean, boolean) using db:true engine:true","","Fri Dec 19 06:12:24 UTC 2025","passed","Fri Dec 19 06:12:24 UTC 2025","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","successfulConnectV1"
"","86","nanDoubleUserEngine(String) [2] select '+nan'::double","","Fri Dec 19 06:14:14 UTC 2025","passed","Fri Dec 19 06:14:14 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanDoubleUserEngine"
"","1678","maxFieldSize(int) [1] 1","","Fri Dec 19 06:15:01 UTC 2025","passed","Fri Dec 19 06:15:02 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","maxFieldSize"
"","86","nanDoubleUserEngine(String) [1] select 'nan'::double","","Fri Dec 19 06:14:14 UTC 2025","passed","Fri Dec 19 06:14:14 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanDoubleUserEngine"
"","267","getTables(String, String, String, String, String, String) [8] null, public, null, null, integration_test, tables;columns;views","","Fri Dec 19 06:12:28 UTC 2025","passed","Fri Dec 19 06:12:28 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","174","shouldHaveCorrectInfo()","","Fri Dec 19 06:12:41 UTC 2025","passed","Fri Dec 19 06:12:42 UTC 2025","","integration.tests.NumericTypesTest","integration.tests.NumericTypesTest","shouldHaveCorrectInfo"
"","2518","emptyIntegerAndStringValues(PreparedStatementValueSetter) set ARRAY","","Fri Dec 19 06:12:47 UTC 2025","passed","Fri Dec 19 06:12:50 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","emptyIntegerAndStringValues"
"","3241","shouldReturnLimitedNumberOfLines()","","Fri Dec 19 06:14:52 UTC 2025","passed","Fri Dec 19 06:14:55 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldReturnLimitedNumberOfLines"
"","174","shouldHandleLargeDecimals()","","Fri Dec 19 06:12:41 UTC 2025","passed","Fri Dec 19 06:12:41 UTC 2025","","integration.tests.NumericTypesTest","integration.tests.NumericTypesTest","shouldHandleLargeDecimals"
"","268","getTables(String, String, String, String, String, String) [2] null, null, null, TABLE;VIEW, tables;views;integration_test, null","","Fri Dec 19 06:12:26 UTC 2025","passed","Fri Dec 19 06:12:26 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","2277","shouldFetchTimestampAndDate(Object, Object, boolean) [2] 2019-07-31 11:15:13.0, 2019-07-31, true","","Fri Dec 19 06:13:37 UTC 2025","passed","Fri Dec 19 06:13:39 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchTimestampAndDate"
"","85","nanFloatUserEngine(String) [2] select '+nan'::float","","Fri Dec 19 06:14:15 UTC 2025","passed","Fri Dec 19 06:14:15 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanFloatUserEngine"
"","1514","empty(String) query:-- SELECT 1;","","Fri Dec 19 06:15:16 UTC 2025","passed","Fri Dec 19 06:15:18 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","empty"
"","88","nanFloatUserEngine(String) [3] select '-nan'::float","","Fri Dec 19 06:14:15 UTC 2025","passed","Fri Dec 19 06:14:16 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanFloatUserEngine"
"","263","getTables(String, String, String, String, String, String) [12] null, public, null, VIEW, null, tables;columns;views","","Fri Dec 19 06:12:29 UTC 2025","passed","Fri Dec 19 06:12:29 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","3127","empty(String) query:/* {""app"": ""dbt"", ""dbt_version"": ""0.20.0"", ""profile_name"": ""jaffle_shop"", ""target_name"": ""fb_app"", ""connection_name"": ""macro_stage_external_sources""} */;","","Fri Dec 19 06:15:18 UTC 2025","passed","Fri Dec 19 06:15:21 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","empty"
"","2466","shouldInsertAndSelectStreams()","","Fri Dec 19 06:13:44 UTC 2025","passed","Fri Dec 19 06:13:46 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertAndSelectStreams"
"","1529","setWrongParameterOnSystemEngineOnUserEngine()","","Fri Dec 19 06:15:51 UTC 2025","passed","Fri Dec 19 06:15:53 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","setWrongParameterOnSystemEngineOnUserEngine"
"","979","successfulConnectUnsuccessfulSelectV1(boolean, boolean) using db:false engine:true","","Fri Dec 19 06:12:22 UTC 2025","passed","Fri Dec 19 06:12:23 UTC 2025","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","successfulConnectUnsuccessfulSelectV1"
"","1422","maxFieldSize(int) [2] 3","","Fri Dec 19 06:15:02 UTC 2025","passed","Fri Dec 19 06:15:04 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","maxFieldSize"
"","1760","setCorrectThenWrongParameterOnUserEngine()","","Fri Dec 19 06:14:44 UTC 2025","passed","Fri Dec 19 06:14:46 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","setCorrectThenWrongParameterOnUserEngine"
"","3286","nullableBiDimensionalArray()","","Fri Dec 19 06:13:16 UTC 2025","passed","Fri Dec 19 06:13:19 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","nullableBiDimensionalArray"
"","1428","shouldReturnTrueWhenExecutingMultiStatementWithFirstStatementReturningAResultSet()","","Fri Dec 19 06:14:50 UTC 2025","passed","Fri Dec 19 06:14:52 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldReturnTrueWhenExecutingMultiStatementWithFirstStatementReturningAResultSet"
"","808","connectToNotExistingDbV1(EngineType) CUSTOM_ENGINE","","Fri Dec 19 06:12:21 UTC 2025","passed","Fri Dec 19 06:12:22 UTC 2025","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","connectToNotExistingDbV1"
"","1350","empty(String) query:;","","Fri Dec 19 06:15:12 UTC 2025","passed","Fri Dec 19 06:15:13 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","empty"
"","4061","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) getObject(Long.class)","","Fri Dec 19 06:13:55 UTC 2025","passed","Fri Dec 19 06:13:59 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertRecordsUsingDifferentNumericTypes"
"","264","getTables(String, String, String, String, String, String) [9] null, information_schema, null, null, tables;columns, integration_test","","Fri Dec 19 06:12:28 UTC 2025","passed","Fri Dec 19 06:12:28 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","176","getMetadata()","","Fri Dec 19 06:12:30 UTC 2025","passed","Fri Dec 19 06:12:30 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getMetadata"
"","0","shouldFetchBooleanFromVariousObjects(Object, Object)","","Fri Dec 19 06:14:11 UTC 2025","skipped","Fri Dec 19 06:14:11 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchBooleanFromVariousObjects"
"","265","shouldUseTLS()","","Fri Dec 19 06:22:59 UTC 2025","passed","Fri Dec 19 06:22:59 UTC 2025","","integration.tests.client.TLSTest","integration.tests.client.TLSTest","shouldUseTLS"
"","2396","byteaArray()","","Fri Dec 19 06:13:03 UTC 2025","passed","Fri Dec 19 06:13:06 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","byteaArray"
"","1488","mixedCaseSelect(String, String) [2] select 1 as ""lower"", 2 as ""UPPER"", 3 AS ""MiXeD"", lower,UPPER,MiXeD","","Fri Dec 19 06:15:50 UTC 2025","passed","Fri Dec 19 06:15:51 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","mixedCaseSelect"
"","2491","unlimitedMaxFieldSize(int) [1] 0","","Fri Dec 19 06:14:37 UTC 2025","passed","Fri Dec 19 06:14:40 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","unlimitedMaxFieldSize"
"","263","getTables(String, String, String, String, String, String) [14] null, information_schema, null, TABLE;VIEW, tables;columns, integration_test","","Fri Dec 19 06:12:29 UTC 2025","passed","Fri Dec 19 06:12:30 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","86","infDoubleUserEngine(String) [2] select '+inf'::double","","Fri Dec 19 06:14:15 UTC 2025","passed","Fri Dec 19 06:14:15 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infDoubleUserEngine"
"","2474","shouldFailSQLInjectionAttempt()","","Fri Dec 19 06:13:19 UTC 2025","passed","Fri Dec 19 06:13:22 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFailSQLInjectionAttempt"
"","3547","shouldParReplaceParamMarkersInMultistatementStatement()","","Fri Dec 19 06:13:30 UTC 2025","passed","Fri Dec 19 06:13:33 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldParReplaceParamMarkersInMultistatementStatement"
"","263","getTables(String, String, String, String, String, String) [15] null, information_schema, null, VIEW, tables;columns, null","","Fri Dec 19 06:12:30 UTC 2025","passed","Fri Dec 19 06:12:30 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","1405","nullSortOrder()","","Fri Dec 19 06:15:55 UTC 2025","passed","Fri Dec 19 06:15:57 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","nullSortOrder"
"","269","shouldReturnTable()","","Fri Dec 19 06:12:25 UTC 2025","passed","Fri Dec 19 06:12:26 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","shouldReturnTable"
"","2585","intAndStringValues(PreparedStatementValueSetter) set ARRAY","","Fri Dec 19 06:12:42 UTC 2025","passed","Fri Dec 19 06:12:44 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","intAndStringValues"
"","1321","shouldThrowExceptionWhenExecutingWrongQueryV1()","","Fri Dec 19 06:16:02 UTC 2025","passed","Fri Dec 19 06:16:03 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldThrowExceptionWhenExecutingWrongQueryV1"
"","88","nanRealUserEngine(String) [1] select 'nan'::real","","Fri Dec 19 06:14:14 UTC 2025","passed","Fri Dec 19 06:14:15 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanRealUserEngine"
"","2503","nullArrays(PreparedStatementValueSetter) set ARRAY","","Fri Dec 19 06:13:11 UTC 2025","passed","Fri Dec 19 06:13:13 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","nullArrays"
"","263","getTables(String, String, String, String, String, String) [3] null, null, null, VIEW;TABLE, integration_test;tables;views, null","","Fri Dec 19 06:12:26 UTC 2025","passed","Fri Dec 19 06:12:27 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","2842","integerAndStringWithNullValues(PreparedStatementValueSetter) set ARRAY","","Fri Dec 19 06:12:52 UTC 2025","passed","Fri Dec 19 06:12:55 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","integerAndStringWithNullValues"
"","2561","preparedStatementUsingStringValueContainsStringNull()","","Fri Dec 19 06:12:31 UTC 2025","passed","Fri Dec 19 06:12:33 UTC 2025","","integration.tests.NullableValuesTest","integration.tests.NullableValuesTest","preparedStatementUsingStringValueContainsStringNull"
"","662","connectToNotExistingDbV1(EngineType) SYSTEM_ENGINE","","Fri Dec 19 06:12:22 UTC 2025","passed","Fri Dec 19 06:12:22 UTC 2025","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","connectToNotExistingDbV1"
"","1444","shouldNotCloseStatementWithCloseOnCompletionIfItHasMoreResults()","","Fri Dec 19 06:16:03 UTC 2025","passed","Fri Dec 19 06:16:05 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldNotCloseStatementWithCloseOnCompletionIfItHasMoreResults"
