"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","427","maxFieldSize(int) [1] 1","","Tue Nov 11 15:52:36 UTC 2025","passed","Tue Nov 11 15:52:36 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","maxFieldSize"
"","107","getSchemasInformationSchema(String, String, String) [1] null, null, information_schema","","Tue Nov 11 15:53:13 UTC 2025","passed","Tue Nov 11 15:53:13 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getSchemasInformationSchema"
"","10263","successfulConnectWithoutStartingTheEngine()","","Tue Nov 11 15:49:23 UTC 2025","passed","Tue Nov 11 15:49:33 UTC 2025","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","successfulConnectWithoutStartingTheEngine"
"","83","getTables(String, String, String, String, String, String) [13] null, information_schema, null, TABLE, null, integration_test","","Tue Nov 11 15:49:35 UTC 2025","passed","Tue Nov 11 15:49:35 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","86","getTables(String, String, String, String, String, String) [27] {database}, information_schema, %in%, VIEW, engines, tables","","Tue Nov 11 15:53:17 UTC 2025","passed","Tue Nov 11 15:53:17 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","5917","executeServerSideAsyncTestFetchStatusWorksOnDifferentEngines()","","Tue Nov 11 15:47:33 UTC 2025","passed","Tue Nov 11 15:47:39 UTC 2025","","integration.tests.AsyncQueryTest","integration.tests.AsyncQueryTest","executeServerSideAsyncTestFetchStatusWorksOnDifferentEngines"
"","84","getColumns(String, String, String, String, String, String) [32] null, null, %in%, no-one, null, information_schema.columns.column_name","","Tue Nov 11 15:53:20 UTC 2025","passed","Tue Nov 11 15:53:20 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","80","nanRealSystemEngine(String) [1] select 'nan'::real","","Tue Nov 11 15:51:54 UTC 2025","passed","Tue Nov 11 15:51:54 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanRealSystemEngine"
"","330","executeCancelServerSideAsyncQueryWithNonExistentTokenTest()","","Tue Nov 11 15:47:33 UTC 2025","passed","Tue Nov 11 15:47:33 UTC 2025","","integration.tests.AsyncQueryTest","integration.tests.AsyncQueryTest","executeCancelServerSideAsyncQueryWithNonExistentTokenTest"
"","669","shouldInsertAndSelectDateTime()","","Tue Nov 11 15:49:57 UTC 2025","passed","Tue Nov 11 15:49:57 UTC 2025","","integration.tests.PreparedStatementFbNumericTest","integration.tests.PreparedStatementFbNumericTest","shouldInsertAndSelectDateTime"
"","74","nanFloatAsDoubleUserEngine(String) [2] select '+nan'::float","","Tue Nov 11 15:51:53 UTC 2025","passed","Tue Nov 11 15:51:53 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanFloatAsDoubleUserEngine"
"","114","getSchemas()","","Tue Nov 11 15:53:13 UTC 2025","passed","Tue Nov 11 15:53:13 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getSchemas"
"","24890","shouldExecuteEngineManagementQueries()","","Tue Nov 11 15:55:30 UTC 2025","passed","Tue Nov 11 15:55:55 UTC 2025","","integration.tests.SystemEngineTest","integration.tests.SystemEngineTest","shouldExecuteEngineManagementQueries"
"","422","shouldFetchSpecialCharacters()","","Tue Nov 11 15:49:58 UTC 2025","passed","Tue Nov 11 15:49:59 UTC 2025","","integration.tests.PreparedStatementFbNumericTest","integration.tests.PreparedStatementFbNumericTest","shouldFetchSpecialCharacters"
"","652","nullArrays(PreparedStatementValueSetter) set ARRAY","","Tue Nov 11 15:49:50 UTC 2025","passed","Tue Nov 11 15:49:51 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","nullArrays"
"","5806","executeServerSideAsyncTest()","","Tue Nov 11 15:47:25 UTC 2025","passed","Tue Nov 11 15:47:31 UTC 2025","","integration.tests.AsyncQueryTest","integration.tests.AsyncQueryTest","executeServerSideAsyncTest"
"","644","shouldRollbackTransactionSuccessfully()","","Tue Nov 11 16:02:16 UTC 2025","passed","Tue Nov 11 16:02:17 UTC 2025","","integration.tests.TransactionTest","integration.tests.TransactionTest","shouldRollbackTransactionSuccessfully"
"","2466","shouldExecuteBatch()","","Tue Nov 11 15:52:43 UTC 2025","passed","Tue Nov 11 15:52:46 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldExecuteBatch"
"","83","getSchemasInformationSchema(String, String, String) [6] {database}, null, information_schema","","Tue Nov 11 15:53:14 UTC 2025","passed","Tue Nov 11 15:53:14 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getSchemasInformationSchema"
"","84","getTables(String, String, String, String, String, String) [11] null, public, null, TABLE;VIEW, integration_test, tables;columns;views","","Tue Nov 11 15:49:35 UTC 2025","passed","Tue Nov 11 15:49:35 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","145","getColumns(String, String, String, String, String, String) [1] null, null, null, null, information_schema.columns.column_name, null","","Tue Nov 11 15:53:17 UTC 2025","passed","Tue Nov 11 15:53:17 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","418","setWrongParameterOnSystemEngineForV2(String, String, String) [2] set foo=bar, Unknown setting foo, 1","","Tue Nov 11 15:52:39 UTC 2025","passed","Tue Nov 11 15:52:39 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","setWrongParameterOnSystemEngineForV2"
"","137","getColumns(String, String, String, String, String, String) [5] null, %form%, null, null, information_schema.columns.column_name, null","","Tue Nov 11 15:53:18 UTC 2025","passed","Tue Nov 11 15:53:18 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","958","shouldInsertAndSelectGeography()","","Tue Nov 11 15:51:48 UTC 2025","passed","Tue Nov 11 15:51:49 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertAndSelectGeography"
"","506","unlimitedMaxFieldSize(int) [2] -1","","Tue Nov 11 15:52:28 UTC 2025","passed","Tue Nov 11 15:52:29 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","unlimitedMaxFieldSize"
"","76","nanRealUserEngine(String) [2] select '+nan'::real","","Tue Nov 11 15:51:52 UTC 2025","passed","Tue Nov 11 15:51:53 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanRealUserEngine"
"","132","getColumns(String, String, String, String, String, String) [8] {database}, information%, null, null, information_schema.columns.column_name, null","","Tue Nov 11 15:53:18 UTC 2025","passed","Tue Nov 11 15:53:18 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","719","shouldFetchTimestampAndDate(Object, Object, boolean) [4] 2019-07-31 11:15:13.0, 2019-07-31, false","","Tue Nov 11 15:51:31 UTC 2025","passed","Tue Nov 11 15:51:32 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchTimestampAndDate"
"","8","shouldSendRequestWithUserAgentHeaderContainingDriverAndClientInfo()","","Tue Nov 11 16:02:25 UTC 2025","passed","Tue Nov 11 16:02:25 UTC 2025","","integration.tests.client.UsageTrackingTest","integration.tests.client.UsageTrackingTest","shouldSendRequestWithUserAgentHeaderContainingDriverAndClientInfo"
"","90","getColumns(String, String, String, String, String, String) [12] null, information_schema, %in%, null, information_schema.engines.engine_name, information_schema.tables.table_name","","Tue Nov 11 15:53:19 UTC 2025","passed","Tue Nov 11 15:53:19 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","86","getTables(String, String, String, String, String, String) [5] null, %form%, null, null, tables, null","","Tue Nov 11 15:53:15 UTC 2025","passed","Tue Nov 11 15:53:15 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
