"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","422016","shouldExecuteRequestWithoutTimeoutV1()","","Wed Nov 12 05:55:22 UTC 2025","passed","Wed Nov 12 06:02:24 UTC 2025","","integration.tests.TimeoutTest","integration.tests.TimeoutTest","shouldExecuteRequestWithoutTimeoutV1"
"","89","shouldReturnTimestampFromDateWhenUsingTime_zoneSetting()","","Wed Nov 12 06:02:28 UTC 2025","passed","Wed Nov 12 06:02:29 UTC 2025","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldReturnTimestampFromDateWhenUsingTime_zoneSetting"
"","1869","emptyIntAndStringValues(PreparedStatementValueSetter) set ARRAY","","Wed Nov 12 05:52:51 UTC 2025","passed","Wed Nov 12 05:52:53 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","emptyIntAndStringValues"
"","65","getTables(String, String, String, String, String, String) [1] null, null, null, null, tables;views;integration_test, null","","Wed Nov 12 05:52:26 UTC 2025","passed","Wed Nov 12 05:52:26 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","1041","setCorrectThenWrongParameterOnUserEngine()","","Wed Nov 12 05:54:15 UTC 2025","passed","Wed Nov 12 05:54:16 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","setCorrectThenWrongParameterOnUserEngine"
"","2071","shouldReuseStatementWhenNotCloseOnCompletion()","","Wed Nov 12 05:55:08 UTC 2025","passed","Wed Nov 12 05:55:10 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldReuseStatementWhenNotCloseOnCompletion"
"","1895","setWrongParameterOnUserEngineForV1()","","Wed Nov 12 05:54:34 UTC 2025","passed","Wed Nov 12 05:54:36 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","setWrongParameterOnUserEngineForV1"
"","945","setCorrectThenWrongParameterOnSystemEngine()","","Wed Nov 12 05:54:18 UTC 2025","passed","Wed Nov 12 05:54:18 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","setCorrectThenWrongParameterOnSystemEngine"
"","2398","nullArrays(PreparedStatementValueSetter) set OBJECT","","Wed Nov 12 05:52:58 UTC 2025","passed","Wed Nov 12 05:53:00 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","nullArrays"
"","1895","unsuccessfulConnectV1(boolean, boolean) using db:false engine:false","","Wed Nov 12 05:52:21 UTC 2025","passed","Wed Nov 12 05:52:23 UTC 2025","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","unsuccessfulConnectV1"
"","12","shouldSendRequestWithUserAgentHeaderContainingDriverAndClientInfo()","","Wed Nov 12 06:02:31 UTC 2025","passed","Wed Nov 12 06:02:31 UTC 2025","","integration.tests.client.UsageTrackingTest","integration.tests.client.UsageTrackingTest","shouldSendRequestWithUserAgentHeaderContainingDriverAndClientInfo"
