"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","409","successfulSettingOfPropertyThatRequiresAdvancedModeConfiguredWhenConnectionIsCreated()","","Thu Jan 08 04:44:18 UTC 2026","passed","Thu Jan 08 04:44:18 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","successfulSettingOfPropertyThatRequiresAdvancedModeConfiguredWhenConnectionIsCreated"
"","407","shouldNotFailWhenParametersNotPresentAreSet()","","Thu Jan 08 04:43:19 UTC 2026","passed","Thu Jan 08 04:43:19 UTC 2026","","integration.tests.PreparedStatementFbNumericTest","integration.tests.PreparedStatementFbNumericTest","shouldNotFailWhenParametersNotPresentAreSet"
"","418","shouldFetchBoolean()","","Thu Jan 08 04:43:23 UTC 2026","passed","Thu Jan 08 04:43:23 UTC 2026","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchBoolean"
"","419","shouldReturnTrueWhenExecutingMultiStatementWithFirstStatementReturningAResultSet()","","Thu Jan 08 04:44:19 UTC 2026","passed","Thu Jan 08 04:44:19 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","shouldReturnTrueWhenExecutingMultiStatementWithFirstStatementReturningAResultSet"
"","658","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) byte","","Thu Jan 08 04:43:31 UTC 2026","passed","Thu Jan 08 04:43:32 UTC 2026","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertRecordsUsingDifferentNumericTypes"
"","284","shouldThrowExceptionWhenFileIdentifierIsNull()","","Thu Jan 08 04:42:46 UTC 2026","passed","Thu Jan 08 04:42:46 UTC 2026","","integration.tests.ParquetStatementTest","integration.tests.ParquetStatementTest","shouldThrowExceptionWhenFileIdentifierIsNull"
"","678","emptyIntegerAndStringValues(PreparedStatementValueSetter) set ARRAY","","Thu Jan 08 04:42:56 UTC 2026","passed","Thu Jan 08 04:42:57 UTC 2026","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","emptyIntegerAndStringValues"
"","71","getTables(String, String, String, String, String, String) [15] null, information_schema, null, VIEW, tables;columns, null","","Thu Jan 08 04:42:35 UTC 2026","passed","Thu Jan 08 04:42:35 UTC 2026","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","0","canInsertBigDecimalUsingPreparedStatement()","","Thu Jan 08 04:55:35 UTC 2026","skipped","Thu Jan 08 04:55:35 UTC 2026","","integration.tests.datatype.BigDecimalTest","integration.tests.datatype.BigDecimalTest","canInsertBigDecimalUsingPreparedStatement"
"","79","successfulConnect(boolean, boolean) V2 using db:false engine:false","","Thu Jan 08 04:42:13 UTC 2026","passed","Thu Jan 08 04:42:13 UTC 2026","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","successfulConnect"
"","529","shouldNotCloseStatementWithCloseOnCompletionIfItHasMoreResults()","","Thu Jan 08 04:44:59 UTC 2026","passed","Thu Jan 08 04:45:00 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","shouldNotCloseStatementWithCloseOnCompletionIfItHasMoreResults"
"","10528","willUseRandomQueryLabelIfNoneExplicitlySet()","","Thu Jan 08 04:44:46 UTC 2026","passed","Thu Jan 08 04:44:56 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","willUseRandomQueryLabelIfNoneExplicitlySet"
"","73","getTables(String, String, String, String, String, String) [1] null, null, null, null, tables, null","","Thu Jan 08 04:45:02 UTC 2026","passed","Thu Jan 08 04:45:02 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","1939","executeCancelServerSideAsyncQueryTest()","","Thu Jan 08 04:40:12 UTC 2026","passed","Thu Jan 08 04:40:14 UTC 2026","","integration.tests.AsyncQueryTest","integration.tests.AsyncQueryTest","executeCancelServerSideAsyncQueryTest"
"","66","successfulConnect(boolean, boolean) V2 using db:true engine:true","","Thu Jan 08 04:42:13 UTC 2026","passed","Thu Jan 08 04:42:13 UTC 2026","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","successfulConnect"
"","64","infDoubleUserEngine(String) [1] select 'inf'::double","","Thu Jan 08 04:43:42 UTC 2026","passed","Thu Jan 08 04:43:42 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infDoubleUserEngine"
"","101","getColumns(String, String, String, String, String, String) [6] {database}, null, null, null, information_schema.columns.column_name, null","","Thu Jan 08 04:45:06 UTC 2026","passed","Thu Jan 08 04:45:06 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","1481","shouldHandleSequentialTransactions()","","Thu Jan 08 04:55:24 UTC 2026","passed","Thu Jan 08 04:55:25 UTC 2026","","integration.tests.TransactionTest","integration.tests.TransactionTest","shouldHandleSequentialTransactions"
"","536","shouldNotCommitTransactionWhenConnectionClosesOnAutoCommitFalse()","","Thu Jan 08 04:55:26 UTC 2026","passed","Thu Jan 08 04:55:27 UTC 2026","","integration.tests.TransactionTest","integration.tests.TransactionTest","shouldNotCommitTransactionWhenConnectionClosesOnAutoCommitFalse"
"","70","getTables(String, String, String, String, String, String) [11] null, public, null, TABLE;VIEW, integration_test, tables;columns;views","","Thu Jan 08 04:42:35 UTC 2026","passed","Thu Jan 08 04:42:35 UTC 2026","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","63","nanRealUserEngine(String) [1] select 'nan'::real","","Thu Jan 08 04:43:41 UTC 2026","passed","Thu Jan 08 04:43:41 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanRealUserEngine"
"","688","shouldWorkWithPreparedStatements()","","Thu Jan 08 04:55:34 UTC 2026","passed","Thu Jan 08 04:55:35 UTC 2026","","integration.tests.TransactionTest","integration.tests.TransactionTest","shouldWorkWithPreparedStatements"
"","693","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) int","","Thu Jan 08 04:43:32 UTC 2026","passed","Thu Jan 08 04:43:33 UTC 2026","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertRecordsUsingDifferentNumericTypes"
"","126","getSchemasInformationSchema(String, String, String) [12] wrong_catalog, %form%, null","","Thu Jan 08 04:45:02 UTC 2026","passed","Thu Jan 08 04:45:02 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getSchemasInformationSchema"
"","293","executeCancelServerSideAsyncQueryWithNonExistentTokenTest()","","Thu Jan 08 04:40:22 UTC 2026","passed","Thu Jan 08 04:40:22 UTC 2026","","integration.tests.AsyncQueryTest","integration.tests.AsyncQueryTest","executeCancelServerSideAsyncQueryWithNonExistentTokenTest"
"","648","integerAndStringWithNullValues(PreparedStatementValueSetter) set ARRAY","","Thu Jan 08 04:42:58 UTC 2026","passed","Thu Jan 08 04:42:58 UTC 2026","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","integerAndStringWithNullValues"
"","71","getTables(String, String, String, String, String, String) [25] null, %form%, %in%, VIEW, engines, tables","","Thu Jan 08 04:45:04 UTC 2026","passed","Thu Jan 08 04:45:04 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","194","shouldReturnTimestampFromTimestamptzWithTime_zoneSettings()","","Thu Jan 08 04:55:16 UTC 2026","passed","Thu Jan 08 04:55:16 UTC 2026","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldReturnTimestampFromTimestamptzWithTime_zoneSettings"
"","67","infDoubleSystemEngine(String) [2] select '+inf'::double","","Thu Jan 08 04:43:43 UTC 2026","passed","Thu Jan 08 04:43:43 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infDoubleSystemEngine"
"","1212","shouldCommitTableCreationAndDataInsertion()","","Thu Jan 08 04:55:32 UTC 2026","passed","Thu Jan 08 04:55:33 UTC 2026","","integration.tests.TransactionTest","integration.tests.TransactionTest","shouldCommitTableCreationAndDataInsertion"
"","112","shouldThrowExceptionWhenExecutingWrongQuery()","","Thu Jan 08 04:47:11 UTC 2026","passed","Thu Jan 08 04:47:11 UTC 2026","","integration.tests.SystemEngineTest","integration.tests.SystemEngineTest","shouldThrowExceptionWhenExecutingWrongQuery"
"","767","mixedCaseTable(String, String, String, String) [1] CREATE FACT TABLE Case_Test (x long), case_test, Case_Test, case_test","","Thu Jan 08 04:44:58 UTC 2026","passed","Thu Jan 08 04:44:59 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","mixedCaseTable"
"","65","nanFloatAsDoubleSystemEngine(String) [1] select 'nan'::float","","Thu Jan 08 04:43:42 UTC 2026","passed","Thu Jan 08 04:43:43 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanFloatAsDoubleSystemEngine"
"","73","getTables(String, String, String, String, String, String) [24] null, %schema, %in%, VIEW, engines, tables","","Thu Jan 08 04:45:04 UTC 2026","passed","Thu Jan 08 04:45:04 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","71","getTables(String, String, String, String, String, String) [30] {database}, %form%, %in%, VIEW, engines, tables","","Thu Jan 08 04:45:05 UTC 2026","passed","Thu Jan 08 04:45:05 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","271","shouldThrowExceptionWhenFilesMapIsNull()","","Thu Jan 08 04:42:44 UTC 2026","passed","Thu Jan 08 04:42:44 UTC 2026","","integration.tests.ParquetStatementTest","integration.tests.ParquetStatementTest","shouldThrowExceptionWhenFilesMapIsNull"
"","442","shouldSetParametersWithRandomIndex()","","Thu Jan 08 04:43:18 UTC 2026","passed","Thu Jan 08 04:43:19 UTC 2026","","integration.tests.PreparedStatementFbNumericTest","integration.tests.PreparedStatementFbNumericTest","shouldSetParametersWithRandomIndex"
"","420","mixedCaseSelect(String, String) [1] select 1 as lower, 2 as UPPER, 3 AS MiXeD, lower,upper,mixed","","Thu Jan 08 04:44:45 UTC 2026","passed","Thu Jan 08 04:44:45 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","mixedCaseSelect"
"","249","shouldUseTLS()","","Thu Jan 08 04:55:35 UTC 2026","passed","Thu Jan 08 04:55:35 UTC 2026","","integration.tests.client.TLSTest","integration.tests.client.TLSTest","shouldUseTLS"
"","981","shouldNotRollbackTransactionWhenRollbackWasManuallyExecuted()","","Thu Jan 08 04:55:33 UTC 2026","passed","Thu Jan 08 04:55:34 UTC 2026","","integration.tests.TransactionTest","integration.tests.TransactionTest","shouldNotRollbackTransactionWhenRollbackWasManuallyExecuted"
"","120","shouldThrowExceptionWhenRollbackWithNoTransaction()","","Thu Jan 08 04:55:25 UTC 2026","passed","Thu Jan 08 04:55:25 UTC 2026","","integration.tests.TransactionTest","integration.tests.TransactionTest","shouldThrowExceptionWhenRollbackWithNoTransaction"
"","669","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) getObject(i, java.util.Map.of(""long"", Integer.class)","","Thu Jan 08 04:43:34 UTC 2026","passed","Thu Jan 08 04:43:35 UTC 2026","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertRecordsUsingDifferentNumericTypes"
"","933","shouldInsertAndSelectByteArray()","","Thu Jan 08 04:43:39 UTC 2026","passed","Thu Jan 08 04:43:40 UTC 2026","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertAndSelectByteArray"
"","779","canUseTimestampParameterWithSqlType()","","Thu Jan 08 04:43:21 UTC 2026","passed","Thu Jan 08 04:43:21 UTC 2026","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","canUseTimestampParameterWithSqlType"
"","80","getColumns(String, String, String, String, String, String) [18] {database}, information%, %in%, null, information_schema.engines.engine_name, information_schema.tables.table_name","","Thu Jan 08 04:45:07 UTC 2026","passed","Thu Jan 08 04:45:07 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","57851","useEngineMixedCase()","","Thu Jan 08 04:45:09 UTC 2026","passed","Thu Jan 08 04:46:07 UTC 2026","","integration.tests.SystemEngineTest","integration.tests.SystemEngineTest","useEngineMixedCase"
"","108","getColumns(String, String, String, String, String, String) [5] null, %form%, null, null, information_schema.columns.column_name, null","","Thu Jan 08 04:45:05 UTC 2026","passed","Thu Jan 08 04:45:06 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","64","infRealUserEngine(String) [2] select '+inf'::real","","Thu Jan 08 04:43:41 UTC 2026","passed","Thu Jan 08 04:43:42 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infRealUserEngine"
