"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 19 03:51:06 GMT 2025","Tue Aug 19 03:51:06 GMT 2025","110","","integration.tests.DatabaseMetaDataTest","","integration.tests.DatabaseMetaDataTest","shouldReturnColumnsFromSelect","shouldReturnColumnsFromSelect()",""
"passed","Tue Aug 19 04:00:26 GMT 2025","Tue Aug 19 04:06:44 GMT 2025","378081","","integration.tests.TimeoutTest","","integration.tests.TimeoutTest","shouldExecuteRequestWithoutTimeoutV2","shouldExecuteRequestWithoutTimeoutV2()",""
"passed","Tue Aug 19 03:52:17 GMT 2025","Tue Aug 19 03:52:17 GMT 2025","86","","integration.tests.SpecialValuesTest","","integration.tests.SpecialValuesTest","minusInfDoubleUserEngine","minusInfDoubleUserEngine(String) [1] select '-inf'::double",""
"passed","Tue Aug 19 03:52:16 GMT 2025","Tue Aug 19 03:52:16 GMT 2025","90","","integration.tests.SpecialValuesTest","","integration.tests.SpecialValuesTest","nanDoubleUserEngine","nanDoubleUserEngine(String) [2] select '+nan'::double",""
"passed","Tue Aug 19 04:06:49 GMT 2025","Tue Aug 19 04:06:50 GMT 2025","178","","integration.tests.TimestampTest","","integration.tests.TimestampTest","shouldReturnTimestampFromTimestampTzWithTzWithHoursAndMinutes","shouldReturnTimestampFromTimestampTzWithTzWithHoursAndMinutes()",""
"passed","Tue Aug 19 03:52:59 GMT 2025","Tue Aug 19 03:53:00 GMT 2025","472","","integration.tests.StatementTest","","integration.tests.StatementTest","caseInsensitiveGetter","caseInsensitiveGetter()",""
"passed","Tue Aug 19 03:53:46 GMT 2025","Tue Aug 19 03:53:46 GMT 2025","97","","integration.tests.SystemEngineDatabaseMetaDataTest","","integration.tests.SystemEngineDatabaseMetaDataTest","getTables","getTables(String, String, String, String, String, String) [5] null, %form%, null, null, tables, null",""
"passed","Tue Aug 19 03:51:51 GMT 2025","Tue Aug 19 03:51:52 GMT 2025","1089","","integration.tests.PreparedStatementTest","","integration.tests.PreparedStatementTest","shouldParReplaceParamMarkersInMultistatementStatement","shouldParReplaceParamMarkersInMultistatementStatement()",""
"passed","Tue Aug 19 03:53:51 GMT 2025","Tue Aug 19 03:53:51 GMT 2025","116","","integration.tests.SystemEngineDatabaseMetaDataTest","","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns","getColumns(String, String, String, String, String, String) [14] null, %schema, %in%, null, information_schema.engines.engine_name, information_schema.tables.table_name",""
"passed","Tue Aug 19 03:51:40 GMT 2025","Tue Aug 19 03:51:40 GMT 2025","783","","integration.tests.PreparedStatementFbNumericTest","","integration.tests.PreparedStatementFbNumericTest","shouldInsertRecordsUsingDifferentNumericTypes","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) int",""
"passed","Tue Aug 19 03:50:55 GMT 2025","Tue Aug 19 03:51:06 GMT 2025","10651","","integration.tests.ConnectionTest","","integration.tests.ConnectionTest","successfulConnectWithoutStartingTheEngine","successfulConnectWithoutStartingTheEngine()",""
"passed","Tue Aug 19 03:48:59 GMT 2025","Tue Aug 19 03:49:06 GMT 2025","6938","","integration.tests.AsyncQueryTest","","integration.tests.AsyncQueryTest","executeServerSideAsyncTestFetchStatusWorksOnDifferentEngines","executeServerSideAsyncTestFetchStatusWorksOnDifferentEngines()",""
"passed","Tue Aug 19 03:53:04 GMT 2025","Tue Aug 19 03:53:04 GMT 2025","485","","integration.tests.StatementTest","","integration.tests.StatementTest","maxFieldSize","maxFieldSize(int) [4] 50",""
"passed","Tue Aug 19 03:51:57 GMT 2025","Tue Aug 19 03:51:58 GMT 2025","1531","","integration.tests.PreparedStatementTest","","integration.tests.PreparedStatementTest","shouldInsertAndSelectStreams","shouldInsertAndSelectStreams()",""
"passed","Tue Aug 19 03:51:49 GMT 2025","Tue Aug 19 03:51:50 GMT 2025","941","","integration.tests.PreparedStatementTest","","integration.tests.PreparedStatementTest","shouldInsertAndRetrieveUrl","shouldInsertAndRetrieveUrl()",""
"passed","Tue Aug 19 03:53:51 GMT 2025","Tue Aug 19 03:53:51 GMT 2025","104","","integration.tests.SystemEngineDatabaseMetaDataTest","","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns","getColumns(String, String, String, String, String, String) [15] null, %form%, %in%, null, information_schema.engines.engine_name, information_schema.tables.table_name",""
