"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","458","shouldReturnColumnsFromSelect()","","Thu Apr 09 06:53:08 UTC 2026","passed","Thu Apr 09 06:53:08 UTC 2026","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","shouldReturnColumnsFromSelect"
"","78","nanFloatUserEngine(String) [1] select 'nan'::float","","Thu Apr 09 06:54:52 UTC 2026","passed","Thu Apr 09 06:54:52 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanFloatUserEngine"
"","1904","maxFieldSize(int) [1] 1","","Thu Apr 09 06:55:39 UTC 2026","passed","Thu Apr 09 06:55:41 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","maxFieldSize"
"","1422","successfulSettingOfPropertyThatRequiresAdvancedModeConfiguredWhenConnectionIsCreated()","","Thu Apr 09 06:55:23 UTC 2026","passed","Thu Apr 09 06:55:24 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","successfulSettingOfPropertyThatRequiresAdvancedModeConfiguredWhenConnectionIsCreated"
"","614","shouldReturnTimestampFromTimestamptzWithTime_zoneSettings()","","Thu Apr 09 07:03:44 UTC 2026","passed","Thu Apr 09 07:03:45 UTC 2026","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldReturnTimestampFromTimestamptzWithTime_zoneSettings"
"","2659","shouldFetchTimestampAndDate(Object, Object, boolean) [4] 2019-07-31 11:15:13.0, 2019-07-31, false","","Thu Apr 09 06:54:22 UTC 2026","passed","Thu Apr 09 06:54:25 UTC 2026","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchTimestampAndDate"
"","80","infRealUserEngine(String) [1] select 'inf'::real","","Thu Apr 09 06:54:52 UTC 2026","passed","Thu Apr 09 06:54:52 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infRealUserEngine"
"","71","shouldThrowExceptionOn400WithoutRetry()","","Thu Apr 09 07:03:48 UTC 2026","passed","Thu Apr 09 07:03:48 UTC 2026","","integration.tests.client.RetryPolicyTest","integration.tests.client.RetryPolicyTest","shouldThrowExceptionOn400WithoutRetry"
"","313","getTables(String, String, String, String, String, String) [2] null, null, null, TABLE;VIEW, tables;views;integration_test, null","","Thu Apr 09 06:53:10 UTC 2026","passed","Thu Apr 09 06:53:10 UTC 2026","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","1928","shouldThrowExceptionWhenTryingToExecuteQueryThatWouldReturnMultipleResultSets()","","Thu Apr 09 06:55:37 UTC 2026","passed","Thu Apr 09 06:55:39 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","shouldThrowExceptionWhenTryingToExecuteQueryThatWouldReturnMultipleResultSets"
"","2360","shouldNotCloseStatementWithCloseOnCompletionIfItHasMoreResults()","","Thu Apr 09 06:56:30 UTC 2026","passed","Thu Apr 09 06:56:33 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","shouldNotCloseStatementWithCloseOnCompletionIfItHasMoreResults"
"","2302","unsuccessfulConnectV1(boolean, boolean) using db:false engine:false","","Thu Apr 09 06:53:00 UTC 2026","passed","Thu Apr 09 06:53:02 UTC 2026","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","unsuccessfulConnectV1"
"","1307","shouldThrowExceptionWhenTryingToReuseStatementClosedOnCompletion()","","Thu Apr 09 06:55:21 UTC 2026","passed","Thu Apr 09 06:55:23 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","shouldThrowExceptionWhenTryingToReuseStatementClosedOnCompletion"
"","2561","shouldReplaceParamMarkers()","","Thu Apr 09 06:54:40 UTC 2026","passed","Thu Apr 09 06:54:42 UTC 2026","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldReplaceParamMarkers"
"","2856","shouldInsertAndRetrieveUrl()","","Thu Apr 09 06:54:02 UTC 2026","passed","Thu Apr 09 06:54:05 UTC 2026","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertAndRetrieveUrl"
"","2576","emptyIntAndStringValues(PreparedStatementValueSetter) set OBJECT","","Thu Apr 09 06:53:49 UTC 2026","passed","Thu Apr 09 06:53:52 UTC 2026","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","emptyIntAndStringValues"
"","1370","shouldThrowExceptionWhenExecutingWrongQueryV1()","","Thu Apr 09 06:56:29 UTC 2026","passed","Thu Apr 09 06:56:30 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","shouldThrowExceptionWhenExecutingWrongQueryV1"
"","1144","successfulConnectV1(boolean, boolean) using db:true engine:false","","Thu Apr 09 06:53:06 UTC 2026","passed","Thu Apr 09 06:53:07 UTC 2026","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","successfulConnectV1"
"","567","shouldReturnColumns()","","Thu Apr 09 06:53:15 UTC 2026","passed","Thu Apr 09 06:53:15 UTC 2026","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","shouldReturnColumns"
"","2012","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) int","","Thu Apr 09 06:54:32 UTC 2026","passed","Thu Apr 09 06:54:34 UTC 2026","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertRecordsUsingDifferentNumericTypes"
"","2176","unlimitedMaxFieldSize(int) [1] 0","","Thu Apr 09 06:55:13 UTC 2026","passed","Thu Apr 09 06:55:16 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","unlimitedMaxFieldSize"
"","401","getTables(String, String, String, String, String, String) [7] null, null, %test, null, integration_test, tables;columns;views","","Thu Apr 09 06:53:12 UTC 2026","passed","Thu Apr 09 06:53:12 UTC 2026","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","2405","nullArrays(PreparedStatementValueSetter) set OBJECT","","Thu Apr 09 06:53:54 UTC 2026","passed","Thu Apr 09 06:53:57 UTC 2026","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","nullArrays"
"","333","getTables(String, String, String, String, String, String) [3] null, null, null, VIEW;TABLE, integration_test;tables;views, null","","Thu Apr 09 06:53:10 UTC 2026","passed","Thu Apr 09 06:53:10 UTC 2026","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","6693","shouldExecuteBatch()","","Thu Apr 09 06:56:06 UTC 2026","passed","Thu Apr 09 06:56:13 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","shouldExecuteBatch"
"","79","nanRealUserEngine(String) [2] select '+nan'::real","","Thu Apr 09 06:54:52 UTC 2026","passed","Thu Apr 09 06:54:52 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanRealUserEngine"
"","301","getTables(String, String, String, String, String, String) [13] null, information_schema, null, TABLE, null, integration_test","","Thu Apr 09 06:53:14 UTC 2026","passed","Thu Apr 09 06:53:14 UTC 2026","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","2341","mixedCaseTable(String, String, String, String) [2] CREATE FACT TABLE ""Case_Test"" (x long), Case_Test, case_test, ""Case_Test""","","Thu Apr 09 06:56:27 UTC 2026","passed","Thu Apr 09 06:56:29 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","mixedCaseTable"
