"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22","nanDoubleSystemEngine(String) [3] select '-nan'::double","","Wed Jan 07 04:43:57 UTC 2026","passed","Wed Jan 07 04:43:57 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanDoubleSystemEngine"
"","10401","preparedStatementBatchesWorkIfMergeParameterProvided()","","Wed Jan 07 04:42:54 UTC 2026","passed","Wed Jan 07 04:43:04 UTC 2026","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","preparedStatementBatchesWorkIfMergeParameterProvided"
"","17","infRealUserEngine(String) [2] select '+inf'::real","","Wed Jan 07 04:43:57 UTC 2026","passed","Wed Jan 07 04:43:57 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infRealUserEngine"
"","68","getColumns(String, String, String, String, String, String) [2] null, information_schema, null, null, information_schema.columns.column_name, null","","Wed Jan 07 04:45:04 UTC 2026","passed","Wed Jan 07 04:45:04 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","67","shouldThrowExceptionWhenRollbackWithNoTransaction()","","Wed Jan 07 04:55:46 UTC 2026","passed","Wed Jan 07 04:55:46 UTC 2026","","integration.tests.TransactionTest","integration.tests.TransactionTest","shouldThrowExceptionWhenRollbackWithNoTransaction"
"","26","getTables(String, String, String, String, String, String) [2] null, information_schema, null, null, tables, null","","Wed Jan 07 04:45:03 UTC 2026","passed","Wed Jan 07 04:45:03 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","238","shouldSelect1WithQueryTimeout()","","Wed Jan 07 04:44:35 UTC 2026","passed","Wed Jan 07 04:44:35 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","shouldSelect1WithQueryTimeout"
"","234","maxFieldSize(int) [2] 3","","Wed Jan 07 04:44:33 UTC 2026","passed","Wed Jan 07 04:44:34 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","maxFieldSize"
"","21","getSchemasInformationSchema(String, String, String) [5] null, %form%, information_schema","","Wed Jan 07 04:45:03 UTC 2026","passed","Wed Jan 07 04:45:03 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getSchemasInformationSchema"
"","1860","shouldExecuteBatch()","","Wed Jan 07 04:44:37 UTC 2026","passed","Wed Jan 07 04:44:39 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","shouldExecuteBatch"
"","188","shouldThrowExceptionWhenFileIdentifierIsNull()","","Wed Jan 07 04:43:22 UTC 2026","passed","Wed Jan 07 04:43:22 UTC 2026","","integration.tests.ParquetStatementTest","integration.tests.ParquetStatementTest","shouldThrowExceptionWhenFileIdentifierIsNull"
"","350","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) int","","Wed Jan 07 04:43:41 UTC 2026","passed","Wed Jan 07 04:43:41 UTC 2026","","integration.tests.PreparedStatementFbNumericTest","integration.tests.PreparedStatementFbNumericTest","shouldInsertRecordsUsingDifferentNumericTypes"
"","19","infRealSystemEngine(String) [1] select 'inf'::real","","Wed Jan 07 04:43:57 UTC 2026","passed","Wed Jan 07 04:43:57 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infRealSystemEngine"
"","23","getSchemasInformationSchema(String, String, String) [8] {database}, information%, information_schema","","Wed Jan 07 04:45:03 UTC 2026","passed","Wed Jan 07 04:45:03 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getSchemasInformationSchema"
